episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/cur_kl_coeff,info/learner/shared_policy/cur_lr,info/learner/shared_policy/total_loss,info/learner/shared_policy/policy_loss,info/learner/shared_policy/vf_loss,info/learner/shared_policy/vf_explained_var,info/learner/shared_policy/kl,info/learner/shared_policy/entropy,info/learner/shared_policy/entropy_coeff
-66318.19592460472,-106788.86137780285,-78724.4563797859,1300.0,8,10400,False,10400,8,1,0140b576196f4b2ab4acac87c3b98e90,2024-03-12_14-02-46,1710266566,165.2230474948883,165.2230474948883,2270,COM2134,172.19.177.241,165.2230474948883,10400,1,4,558dc7da,0,-2902.6561198867857,1315.9963779449463,-554.3975801393374,54.34091255693241,3.0136236499154263,0.673905330087441,626304,10400,156016.652,143.88,8629.65,350.26,24.292796610169493,20.28262711864406,0.20000000298023224,9.999999747378752e-05,3707.6108,-0.0027629822,3707.7585,0.09729698,0.011982318,1.4734498,0.10000000149011612
16866.25547596457,-106788.86137780285,-48516.36142837681,1300.0,8,10400,False,20800,16,2,0140b576196f4b2ab4acac87c3b98e90,2024-03-12_14-05-05,1710266705,139.33959412574768,304.562641620636,2270,COM2134,172.19.177.241,304.562641620636,20800,2,4,558dc7da,0,-2902.6561198867857,1346.9796237945557,-341.6645171012452,52.14365225078231,2.940726207927489,0.6760945788664395,1126912,20800,144292.409,104.417,7640.77,176.456,24.07437185929648,21.981407035175877,0.20000000298023224,9.480000153416768e-05,6894.861,0.0006447311,6894.9985,0.19460288,0.011782688,1.540444,0.09167999774217606
31740.47558987292,-106788.86137780285,-28675.283708639294,1300.0,8,10400,False,31200,24,3,0140b576196f4b2ab4acac87c3b98e90,2024-03-12_14-07-09,1710266829,123.757985830307,428.320627450943,2270,COM2134,172.19.177.241,428.320627450943,31200,3,4,558dc7da,0,-2902.6561198867857,1346.9796237945557,-201.93861766647393,50.33781739645398,2.8819734291303267,0.6761594139986239,1569024,31200,135488.682,86.681,7020.868,118.751,24.102259887005648,22.387570621468925,0.20000000298023224,8.959999831859022e-05,7917.777,0.0012487813,7917.9077,0.25229615,0.007971094,1.6049979,0.08336000144481659
59190.03291729884,-106788.86137780285,-15074.247935384987,1300.0,8,10400,False,41600,32,4,0140b576196f4b2ab4acac87c3b98e90,2024-03-12_14-09-09,1710266949,119.89958810806274,548.2202155590057,2270,COM2134,172.19.177.241,548.2202155590057,41600,4,4,558dc7da,0,-2902.6561198867857,1356.4630630016327,-106.15667560130274,48.91009644200675,2.836929446566728,0.6770913755723698,1977088,41600,130220.529,77.389,6613.635,89.905,24.11111111111111,22.57836257309942,0.10000000149011612,8.440000237897038e-05,9045.4795,0.0018951555,9045.604,0.28795528,0.013704053,1.7022426,0.07503999769687653
60491.993028381024,-106788.86137780285,-2496.319508391758,1300.0,8,10400,False,52000,40,5,0140b576196f4b2ab4acac87c3b98e90,2024-03-12_14-10-51,1710267051,102.10085558891296,650.3210711479187,2270,COM2134,172.19.177.241,650.3210711479187,52000,5,4,558dc7da,0,-2902.6561198867857,1356.4630630016327,-17.579714847829294,47.580345554473254,2.7942160703344876,0.677000372621453,2330880,52000,123634.097,71.365,6236.815,72.567,24.002739726027396,22.663013698630134,0.10000000149011612,7.919999916339293e-05,11235.701,0.0018961343,11235.816,0.2994691,0.008217517,1.7708325,0.06672000139951706
90405.4969411022,-106788.86137780285,7980.333063988674,1300.0,8,10400,False,62400,48,6,0140b576196f4b2ab4acac87c3b98e90,2024-03-12_14-12-23,1710267143,92.08669662475586,742.4077677726746,2270,COM2134,172.19.177.241,742.4077677726746,62400,6,4,558dc7da,0,-2902.6561198867857,1356.4630630016327,56.199528619638556,46.349506674211966,2.7543673333367287,0.6759823330285996,2654976,62400,117655.636,65.412,5906.215,61.005,23.89389312977099,22.693129770992368,0.05000000074505806,7.400000322377309e-05,12441.01,0.0009336496,12441.113,0.31222135,0.0048025055,1.7895046,0.058400001376867294
90405.4969411022,-106788.86137780285,16039.726385105223,1300.0,8,10400,False,72800,56,7,0140b576196f4b2ab4acac87c3b98e90,2024-03-12_14-13-52,1710267232,88.21252131462097,830.6202890872955,2270,COM2134,172.19.177.241,830.6202890872955,72800,7,4,558dc7da,0,-2902.6561198867857,1356.4630630016327,112.95581961341706,45.24070478212709,2.7177009942593924,0.6746334929905328,2966784,72800,112876.991,60.984,5625.28,52.674,24.006349206349206,22.68174603174602,0.02500000037252903,6.880000000819564e-05,12586.409,0.0009452774,12586.5,0.32743803,0.004091559,1.8295187,0.05008000135421753
119742.81490150839,-106788.86137780285,24675.65912310192,1300.0,7,10400,False,83200,63,8,0140b576196f4b2ab4acac87c3b98e90,2024-03-12_14-15-09,1710267309,77.5883481502533,908.2086372375488,2270,COM2134,172.19.177.241,908.2086372375488,83200,8,4,558dc7da,0,-2902.6561198867857,1356.4630630016327,173.77224734578812,44.2986675884591,2.685160735016605,0.6733212210678822,3230208,83200,108026.755,57.076,5353.919,46.501,23.804504504504504,22.699099099099083,0.012500000186264515,6.359999679261819e-05,15913.241,4.560879e-05,15913.314,0.31560415,0.0020205274,1.7771089,0.041760001331567764
119742.81490150839,-106788.86137780285,32756.62587344346,1300.0,8,10400,False,93600,71,9,0140b576196f4b2ab4acac87c3b98e90,2024-03-12_14-16-23,1710267383,73.88371849060059,982.0923557281494,2270,COM2134,172.19.177.241,982.0923557281494,93600,9,4,558dc7da,0,-2902.6561198867857,1356.4630630016327,230.70334659403682,43.29230305384929,2.650291789040208,0.6717951659470361,3485568,93600,103857.001,53.887,5128.942,41.722,24.014285714285716,22.699999999999992,0.0062500000931322575,5.8400000852998346e-05,17335.627,0.00016161146,17335.686,0.32128537,0.0010135715,1.7844144,0.033440001308918
119742.81490150839,-106788.86137780285,39673.73747668499,1300.0,8,10400,False,104000,79,10,0140b576196f4b2ab4acac87c3b98e90,2024-03-12_14-17-35,1710267455,71.67024779319763,1053.762603521347,2270,COM2134,172.19.177.241,1053.762603521347,104000,10,4,558dc7da,0,-2902.6561198867857,1356.4630630016327,279.4174253952139,42.3674154261433,2.61861452427063,0.6703152195363495,3735680,104000,100306.37,51.216,4942.305,37.906,24.176470588235297,22.700980392156843,0.0031250000465661287,5.32000012753997e-05,17224.29,-0.0008620139,17224.334,0.33170235,0.0027228561,1.7674067,0.025119999423623085
