episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/cur_kl_coeff,info/learner/shared_policy/cur_lr,info/learner/shared_policy/total_loss,info/learner/shared_policy/policy_loss,info/learner/shared_policy/vf_loss,info/learner/shared_policy/vf_explained_var,info/learner/shared_policy/kl,info/learner/shared_policy/entropy,info/learner/shared_policy/entropy_coeff
-631280.0499276817,-775235.1185732853,-697287.9557608587,1300.0,8,10400,False,10400,8,1,a276047fdcbd4578a5e001e704924c53,2024-03-11_19-00-07,1710198007,166.00969171524048,166.00969171524048,32612,COM2134,172.19.177.241,166.00969171524048,10400,1,4,b4e6c934,0,-15724.003770317882,567.2930309772491,-4910.478561696188,53.58909536260497,3.0217878133780403,0.6832592490085131,617600,10400,156648.874,140.935,8799.339,337.083,23.020253164556962,26.161181434599158,0.20000000298023224,9.999999747378752e-05,81733.09,-0.004420251,81733.24,1.7306965e-07,0.009410699,1.4531479,0.10000000149011612
-496943.7476476545,-775235.1185732853,-644030.1367093974,1300.0,8,10400,False,20800,16,2,a276047fdcbd4578a5e001e704924c53,2024-03-11_19-02-56,1710198176,168.9653787612915,334.975070476532,32612,COM2134,172.19.177.241,334.975070476532,20800,2,4,b4e6c934,0,-15724.003770317882,567.2930309772491,-4716.010154393757,54.12171701799478,3.0446964545490878,0.6926795516053258,1233280,20800,158386.211,114.554,8745.066,170.305,24.66280991735537,28.69380165289256,0.10000000149011612,9.480000153416768e-05,57867.42,-0.006173924,57867.562,-2.3296618e-09,0.014668276,1.4879107,0.09167999774217606
-330937.37966581323,-775235.1185732853,-556594.8862490538,1300.0,8,10400,False,31200,24,3,a276047fdcbd4578a5e001e704924c53,2024-03-11_19-05-26,1710198326,149.9583978652954,484.9334683418274,32612,COM2134,172.19.177.241,484.9334683418274,31200,3,4,b4e6c934,0,-15724.003770317882,567.2930309772491,-4443.871347297834,53.53409354469917,3.0323675914998467,0.695505450546278,1781504,31200,152978.316,99.292,8386.858,114.456,23.980751173708917,29.143192488262905,0.10000000149011612,8.959999831859022e-05,30599.516,-0.0032703385,30599.646,-4.8707975e-09,0.008899641,1.5212913,0.08336000144481659
-313772.030964545,-775235.1185732853,-503638.92173051194,1300.0,8,10400,False,41600,32,4,a276047fdcbd4578a5e001e704924c53,2024-03-11_19-07-54,1710198474,147.89383912086487,632.8273074626923,32612,COM2134,172.19.177.241,632.8273074626923,41600,4,4,b4e6c934,0,-15724.003770317882,567.2930309772491,-4206.850821032728,53.03523527112479,3.0212925203401624,0.6978195611313729,2336768,41600,149710.278,92.369,8253.96,86.551,24.33349056603774,29.418396226415098,0.05000000074505806,8.440000237897038e-05,23280.225,-0.0024288837,23280.34,-5.2624665e-09,0.0068396437,1.5378602,0.07503999769687653
-313772.030964545,-775235.1185732853,-472665.1710368536,1300.0,8,10400,False,52000,40,5,a276047fdcbd4578a5e001e704924c53,2024-03-11_19-10-24,1710198624,149.95321083068848,782.7805182933807,32612,COM2134,172.19.177.241,782.7805182933807,52000,5,4,b4e6c934,0,-15724.003770317882,567.2930309772491,-3991.2617355866882,52.67976925949449,3.0136459833229785,0.7000862082233057,2895104,52000,148206.145,88.186,8129.805,69.791,24.45492957746479,29.69906103286385,0.02500000037252903,7.919999916339293e-05,23891.43,-0.0016570848,23891.535,-4.632273e-09,0.0060236556,1.5523999,0.06672000139951706
-265381.50645888055,-775235.1185732853,-442484.1416876819,1300.0,8,10400,False,62400,48,6,a276047fdcbd4578a5e001e704924c53,2024-03-11_19-12-45,1710198765,141.5368857383728,924.3174040317535,32612,COM2134,172.19.177.241,924.3174040317535,62400,6,4,b4e6c934,0,-15724.003770317882,567.2930309772491,-3809.0456960202173,52.33206691799165,3.005617541214665,0.7017039273973619,3423872,62400,145850.885,84.121,7998.824,58.725,24.365841584158414,29.9029702970297,0.012500000186264515,7.400000322377309e-05,18262.693,-0.0015526041,18262.785,-5.3530194e-09,0.0046185064,1.5552442,0.058400001376867294
-248768.22375213797,-775235.1185732853,-416490.71762012166,1300.0,8,10400,False,72800,56,7,a276047fdcbd4578a5e001e704924c53,2024-03-11_19-15-03,1710198903,137.32276368141174,1061.6401677131653,32612,COM2134,172.19.177.241,1061.6401677131653,72800,7,4,b4e6c934,0,-15724.003770317882,567.2930309772491,-3612.1233059821616,51.97988083834712,2.9963709877282163,0.7029942167059472,3925504,72800,143607.656,81.057,7864.289,50.841,24.847959183673463,30.00102040816326,0.0062500000931322575,6.880000000819564e-05,16938.5,-0.0015355137,16938.578,-6.935371e-09,0.0018456484,1.5407968,0.05008000135421753
-221566.2888354177,-775235.1185732853,-393988.40140626166,1300.0,8,10400,False,83200,64,8,a276047fdcbd4578a5e001e704924c53,2024-03-11_19-17-15,1710199035,132.79942774772644,1194.4395954608917,32612,COM2134,172.19.177.241,1194.4395954608917,83200,8,4,b4e6c934,0,-15724.003770317882,567.2930309772491,-3440.9467371725905,51.620584919320315,2.986235539343324,0.7039365576040795,4417024,83200,141399.233,78.421,7724.639,44.879,24.074736842105267,30.131052631578935,0.0031250000465661287,6.359999679261819e-05,14534.302,-0.0031765206,14534.369,-3.8339447e-09,0.0035620832,1.4928362,0.041760001331567764
-180609.28900551164,-775235.1185732853,-373172.29793969076,1300.0,8,10400,False,93600,72,9,a276047fdcbd4578a5e001e704924c53,2024-03-11_19-19-26,1710199166,130.53189826011658,1324.9714937210083,32612,COM2134,172.19.177.241,1324.9714937210083,93600,9,4,b4e6c934,0,-15724.003770317882,567.2930309772491,-3286.6551011202123,51.262910012990424,2.975837954646817,0.7047146262140741,4898176,93600,139424.324,76.321,7621.413,40.233,24.750537634408605,30.16021505376344,0.0015625000232830644,5.8400000852998346e-05,11718.814,-0.0032204874,11718.867,-4.5032507e-09,0.005482686,1.4359308,0.033440001308918
-175294.17590520205,-775235.1185732853,-354081.0615469742,1300.0,8,10400,False,104000,80,10,a276047fdcbd4578a5e001e704924c53,2024-03-11_19-21-30,1710199290,123.5558409690857,1448.527334690094,32612,COM2134,172.19.177.241,1448.527334690094,104000,10,4,b4e6c934,0,-15724.003770317882,567.2930309772491,-3116.2249641097837,50.90622051966978,2.9651215681260377,0.7053277580863215,5358976,104000,137186.192,74.504,7499.632,36.528,24.798295454545453,30.177840909090914,0.0007812500116415322,5.32000012753997e-05,11057.556,-0.0029787843,11057.594,-3.4769376e-10,0.0053363005,1.373664,0.025119999423623085
