episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/cur_kl_coeff,info/learner/shared_policy/cur_lr,info/learner/shared_policy/total_loss,info/learner/shared_policy/policy_loss,info/learner/shared_policy/vf_loss,info/learner/shared_policy/vf_explained_var,info/learner/shared_policy/kl,info/learner/shared_policy/entropy,info/learner/shared_policy/entropy_coeff
-658139.9998869782,-785948.6258135696,-718944.6853576063,1300.0,8,10400,False,10400,8,1,47dd114bc2494a5da3b8e231b951cba8,2024-03-11_19-00-36,1710198036,168.85165333747864,168.85165333747864,1201,COM2134,172.19.177.241,168.85165333747864,10400,1,4,c4368a46,0,-15010.108901601285,451.7122720479965,-5071.920178889639,55.92095657111773,3.079527068807271,0.6958684844266723,628736,10400,159217.335,138.918,9036.351,372.55,24.366390041493773,27.590456431535266,0.20000000298023224,9.999999747378752e-05,81937.0,-0.0052924887,81937.15,1.0237874e-07,0.010485809,1.4464226,0.10000000149011612
-434874.76628151943,-785948.6258135696,-641741.7051234087,1300.0,8,10400,False,20800,16,2,47dd114bc2494a5da3b8e231b951cba8,2024-03-11_19-03-22,1710198202,165.79758667945862,334.64924001693726,1201,COM2134,172.19.177.241,334.64924001693726,20800,2,4,c4368a46,0,-15010.108901601285,484.45204281806946,-4852.489263693072,55.56183497045687,3.0823002026438457,0.6991945332558583,1237376,20800,158327.065,112.835,8623.837,187.697,24.326160337552743,28.778902953586496,0.20000000298023224,9.480000153416768e-05,54819.727,-0.005720412,54819.87,-2.6323819e-09,0.0101247635,1.4825344,0.09167999774217606
-370350.57676460024,-785948.6258135696,-575378.243310343,1300.0,8,10400,False,31200,24,3,47dd114bc2494a5da3b8e231b951cba8,2024-03-11_19-05-59,1710198359,157.2232484817505,491.87248849868774,1201,COM2134,172.19.177.241,491.87248849868774,31200,3,4,c4368a46,0,-15010.108901601285,490.90867280960083,-4568.00457805102,54.99306113100224,3.0722165668741326,0.6998245329847381,1817600,31200,155257.156,101.137,8404.322,126.003,24.021874999999998,29.199107142857144,0.20000000298023224,8.959999831859022e-05,37001.75,-0.004356109,37001.883,-6.9821455e-09,0.0073872684,1.5084428,0.08336000144481659
-278559.4717691939,-785948.6258135696,-527151.0983581701,1300.0,7,10400,False,41600,31,4,47dd114bc2494a5da3b8e231b951cba8,2024-03-11_19-08-31,1710198511,152.12120652198792,643.9936950206757,1201,COM2134,172.19.177.241,643.9936950206757,41600,4,4,c4368a46,0,-15010.108901601285,490.90867280960083,-4355.459501360148,54.45275147565743,3.0550124637893896,0.7007288413816246,2369536,41600,152530.732,94.979,8210.969,95.244,24.44009216589862,29.45990783410138,0.10000000149011612,8.440000237897038e-05,24962.89,-0.0022387174,24963.01,-2.0319766e-09,0.0058214166,1.532214,0.07503999769687653
-273846.00221719296,-785948.6258135696,-483525.77288830164,1300.0,8,10400,False,52000,39,5,47dd114bc2494a5da3b8e231b951cba8,2024-03-11_19-11-00,1710198660,149.11787271499634,793.111567735672,1201,COM2134,172.19.177.241,793.111567735672,52000,5,4,c4368a46,0,-15010.108901601285,490.90867280960083,-4139.9572212170715,53.93726485701082,3.039542103204697,0.7019732660696919,2914176,52000,150329.82,91.239,8060.004,76.894,24.48169014084507,29.780751173708907,0.05000000074505806,7.919999916339293e-05,19496.746,-0.0023660066,19496.852,-8.362861e-09,0.005676023,1.5388547,0.06672000139951706
-273846.00221719296,-785948.6258135696,-453182.3561452722,1300.0,8,10400,False,62400,47,6,47dd114bc2494a5da3b8e231b951cba8,2024-03-11_19-13-25,1710198805,144.50613403320312,937.6177017688751,1201,COM2134,172.19.177.241,937.6177017688751,62400,6,4,c4368a46,0,-15010.108901601285,490.90867280960083,-3953.883560205643,53.505387312441144,3.027742336599822,0.7029484990527042,3454592,62400,148102.909,88.266,7941.406,64.694,24.797572815533982,29.932524271844667,0.02500000037252903,7.400000322377309e-05,18755.352,-0.0018967676,18755.441,-8.103521e-09,0.0034721612,1.5262549,0.058400001376867294
-225954.03942511347,-785948.6258135696,-423203.5542313322,1300.0,9,10400,False,72800,56,7,47dd114bc2494a5da3b8e231b951cba8,2024-03-11_19-15-50,1710198950,145.0492765903473,1082.6669783592224,1201,COM2134,172.19.177.241,1082.6669783592224,72800,7,4,c4368a46,0,-15010.108901601285,537.3270127773285,-3719.886836753194,53.05663753866078,3.018829290615124,0.7037127117712431,3967488,72800,146655.272,85.447,7800.557,55.836,24.336231884057973,30.028019323671504,0.012500000186264515,6.880000000819564e-05,17443.041,-0.001684421,17443.12,-6.738434e-09,0.0020311489,1.5064276,0.05008000135421753
-215645.28951850545,-785948.6258135696,-398664.75205137883,1300.0,8,10400,False,83200,64,8,47dd114bc2494a5da3b8e231b951cba8,2024-03-11_19-18-01,1710199081,130.9138262271881,1213.5808045864105,1201,COM2134,172.19.177.241,1213.5808045864105,83200,8,4,c4368a46,0,-15010.108901601285,537.3270127773285,-3538.7717241731275,52.64808408889254,3.009176841583029,0.7041693678455335,4454912,83200,143839.058,82.61,7659.573,49.221,24.771657754010697,30.13689839572193,0.0062500000931322575,6.359999679261819e-05,13395.612,-0.0025962743,13395.677,-2.0817799e-09,0.004919077,1.477505,0.041760001331567764
-195489.69969823555,-785948.6258135696,-377624.98856373184,1300.0,8,10400,False,93600,72,9,47dd114bc2494a5da3b8e231b951cba8,2024-03-11_19-20-08,1710199208,126.83894371986389,1340.4197483062744,1201,COM2134,172.19.177.241,1340.4197483062744,93600,9,4,c4368a46,0,-15010.108901601285,537.3270127773285,-3335.664234644668,52.236534175607176,2.998295515514913,0.704355212594741,4924544,93600,141222.324,80.597,7523.394,44.101,24.56408839779006,30.168508287292816,0.0031250000465661287,5.8400000852998346e-05,13660.771,-0.0026407572,13660.822,-8.447646e-09,0.00340944,1.4226643,0.033440001308918
-173227.6940814571,-785948.6258135696,-358833.20279536856,1300.0,8,10400,False,104000,80,10,47dd114bc2494a5da3b8e231b951cba8,2024-03-11_19-22-15,1710199335,127.29080176353455,1467.710550069809,1201,COM2134,172.19.177.241,1467.710550069809,104000,10,4,c4368a46,0,-15010.108901601285,537.3270127773285,-3179.735957424622,51.84094328378683,2.9872514495050853,0.7045103228517223,5394432,104000,139169.913,79.421,7417.845,40.006,24.80164835164835,30.190659340659344,0.0015625000232830644,5.32000012753997e-05,11115.893,-0.003513916,11115.929,-2.5978597e-09,0.005943009,1.3504266,0.025119999423623085
