episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/cur_kl_coeff,info/learner/shared_policy/cur_lr,info/learner/shared_policy/total_loss,info/learner/shared_policy/policy_loss,info/learner/shared_policy/vf_loss,info/learner/shared_policy/vf_explained_var,info/learner/shared_policy/kl,info/learner/shared_policy/entropy,info/learner/shared_policy/entropy_coeff
-205726.25572519496,-247963.0370876342,-226662.49056049171,1300.0,8,10400,False,10400,8,1,77e799500a334a7d8149d4672f15f8fe,2024-03-12_21-30-53,1710293453,323.41555762290955,323.41555762290955,7430,Kurukshetra,192.168.68.14,323.41555762290955,10400,1,4,90a0221c,0,-3442.047063840553,1255.8831102848053,-915.3457468369176,105.81647483535292,5.8398175267062244,0.8859027124102049,1249664,10400,302709.43,365.408,19691.205,464.759,35.044372294372295,30.717748917748917,0.20000000298023224,9.999999747378752e-05,3524.0557,-0.0020281405,3524.202,0.105437994,0.0081648175,1.4597089,0.10000000149011612
-140889.41431577687,-247963.0370876342,-194179.30876662335,1300.0,8,10400,False,20800,16,2,77e799500a334a7d8149d4672f15f8fe,2024-03-12_21-35-59,1710293759,305.7448801994324,629.1604378223419,7430,Kurukshetra,192.168.68.14,629.1604378223419,20800,2,4,90a0221c,0,-3442.047063840553,1342.0512096881866,-733.6172232032995,104.85307974661188,5.808382906195625,0.8835246749234535,2449280,20800,294891.059,295.63,18989.597,234.136,35.42637614678899,31.979128440366974,0.10000000149011612,9.480000153416768e-05,4782.1074,9.944588e-05,4782.246,0.28749913,0.01720231,1.5323493,0.09167999774217606
-55347.30964845217,-247963.0370876342,-157311.88377529397,1300.0,8,10400,False,31200,24,3,77e799500a334a7d8149d4672f15f8fe,2024-03-12_21-40-32,1710294032,272.6381251811981,901.79856300354,7430,Kurukshetra,192.168.68.14,901.79856300354,31200,3,4,90a0221c,0,-3442.047063840553,1349.6137726306915,-581.6492390397559,102.89360874115455,5.732744880435576,0.8822528195319679,3475712,31200,282341.35,265.152,17682.031,157.217,35.64318766066838,32.13547557840618,0.10000000149011612,8.959999831859022e-05,6926.5166,0.002882925,6926.648,0.37011036,0.018255372,1.6252038,0.08336000144481659
69703.00392571438,-247963.0370876342,-122277.60406670383,1300.0,7,10400,False,41600,31,4,77e799500a334a7d8149d4672f15f8fe,2024-03-12_21-44-30,1710294270,238.1276524066925,1139.9262154102325,7430,Kurukshetra,192.168.68.14,1139.9262154102325,41600,4,4,90a0221c,0,-3442.047063840553,1365.905659198761,-447.7974868361274,100.62249960722981,5.644177916969387,0.883215725802808,4327552,41600,267886.091,248.56,16582.638,118.831,35.12411764705882,32.06264705882353,0.10000000149011612,8.440000237897038e-05,8690.432,0.0026563958,8690.555,0.4216733,0.010842619,1.6926107,0.07503999769687653
97303.78166400107,-247963.0370876342,-91075.82105314189,1300.0,8,10400,False,52000,39,5,77e799500a334a7d8149d4672f15f8fe,2024-03-12_21-47-55,1710294475,205.23891043663025,1345.1651258468628,7430,Kurukshetra,192.168.68.14,1345.1651258468628,52000,5,4,90a0221c,0,-3442.047063840553,1365.905659198761,-331.3083687223704,97.99599437179856,5.538419010774596,0.8827128994335082,5110272,52000,253030.462,228.194,15544.228,95.79,35.53515358361774,32.08054607508533,0.10000000149011612,7.919999916339293e-05,9302.587,0.0014731255,9302.699,0.4620994,0.00425269,1.7163748,0.06672000139951706
119655.44981945708,-247963.0370876342,-63313.76852122822,1300.0,8,10400,False,62400,47,6,77e799500a334a7d8149d4672f15f8fe,2024-03-12_21-51-09,1710294669,193.90398383140564,1539.0691096782684,7430,Kurukshetra,192.168.68.14,1539.0691096782684,62400,6,4,90a0221c,0,-3442.047063840553,1365.905659198761,-229.3093257684925,95.54032294253017,5.440234100572141,0.8819497047253467,5835520,62400,241249.452,211.525,14842.776,80.365,35.13971119133574,32.08989169675091,0.05000000074505806,7.400000322377309e-05,9998.705,0.0014066756,9998.806,0.48514947,0.0040980885,1.7409228,0.058400001376867294
122994.25479500848,-247963.0370876342,-39833.98554537953,1300.0,8,10400,False,72800,55,7,77e799500a334a7d8149d4672f15f8fe,2024-03-12_21-54-15,1710294855,186.25426363945007,1725.3233733177185,7430,Kurukshetra,192.168.68.14,1725.3233733177185,72800,7,4,90a0221c,0,-3442.047063840553,1365.905659198761,-143.8238826886283,93.26913418526583,5.3505638087743685,0.8813729882435737,6513664,72800,231734.868,205.017,14341.378,69.331,34.96415094339623,32.13509433962264,0.02500000037252903,6.880000000819564e-05,10808.589,0.0011152927,10808.677,0.5033165,0.002595179,1.7550616,0.05008000135421753
158189.7192845869,-247963.0370876342,-20303.34203510032,1300.0,8,10400,False,83200,63,8,77e799500a334a7d8149d4672f15f8fe,2024-03-12_21-57-14,1710295034,178.95573592185974,1904.2791092395782,7430,Kurukshetra,192.168.68.14,1904.2791092395782,83200,8,4,90a0221c,0,-3442.047063840553,1365.905659198761,-73.13800378588371,91.204762897682,5.270463646616221,0.8814673726528865,7159808,83200,223759.695,197.424,13896.218,61.212,35.15390624999999,32.259375,0.012500000186264515,6.359999679261819e-05,11726.657,0.0005161702,11726.731,0.51442176,0.0029839342,1.7714031,0.041760001331567764
172028.98488329502,-247963.0370876342,-3279.1129888459127,1300.0,8,10400,False,93600,71,9,77e799500a334a7d8149d4672f15f8fe,2024-03-12_21-59-56,1710295196,161.53266549110413,2065.8117747306824,7430,Kurukshetra,192.168.68.14,2065.8117747306824,93600,9,4,90a0221c,0,-3442.047063840553,1365.905659198761,-11.791785970829615,89.30072164773965,5.195790432482288,0.8812818091915863,7768832,93600,215764.771,188.62,13411.432,54.953,35.557391304347824,32.32608695652174,0.0062500000931322575,5.8400000852998346e-05,12705.182,-0.0008650638,12705.241,0.51865983,0.0031269365,1.7480625,0.033440001308918
202482.36325999076,-247963.0370876342,14834.516880587398,1300.0,8,10400,False,104000,79,10,77e799500a334a7d8149d4672f15f8fe,2024-03-12_22-02-21,1710295341,144.9398717880249,2210.7516465187073,7430,Kurukshetra,192.168.68.14,2210.7516465187073,104000,10,4,90a0221c,0,-3442.047063840553,1365.905659198761,53.269401525745664,87.50634208732333,5.124926437748318,0.8809653529021917,8316544,104000,207812.512,178.773,12923.989,49.824,35.63526570048309,32.33236714975846,0.0031250000465661287,5.32000012753997e-05,14354.001,-0.00050931296,14354.045,0.50552934,0.00246452,1.6984768,0.025119999423623085
