episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/cur_kl_coeff,info/learner/shared_policy/cur_lr,info/learner/shared_policy/total_loss,info/learner/shared_policy/policy_loss,info/learner/shared_policy/vf_loss,info/learner/shared_policy/vf_explained_var,info/learner/shared_policy/kl,info/learner/shared_policy/entropy,info/learner/shared_policy/entropy_coeff
-1381822.5708188987,-1592468.2784234192,-1485403.73745793,1300.0,8,10400,False,10400,8,1,7689f0c25e3e4dfdaf433087208fe92d,2024-03-11_19-54-43,1710201283,290.1439459323883,290.1439459323883,3277,Kurukshetra,192.168.68.14,290.1439459323883,10400,1,4,0b14db46,0,-14818.133771885186,542.5713152885437,-6007.6996459370275,94.0965375548278,5.0019720846393945,0.7664421025444479,1242368,10400,272101.142,329.79,16940.104,538.044,18.3910843373494,24.107710843373486,0.20000000298023224,9.999999747378752e-05,82903.31,-0.005277381,82903.46,1.4355226e-07,0.009452497,1.4422655,0.10000000149011612
-988456.6858392347,-1592468.2784234192,-1261155.5036361495,1300.0,8,10400,False,20800,16,2,7689f0c25e3e4dfdaf433087208fe92d,2024-03-11_19-59-16,1710201556,272.36108136177063,562.5050272941589,3277,Kurukshetra,192.168.68.14,562.5050272941589,20800,2,4,0b14db46,0,-14818.133771885186,542.5713152885437,-5757.057933859742,92.8655660940016,5.12531494751587,0.8426632396814876,2306560,20800,265134.08,269.625,15398.898,270.548,24.48556701030928,25.44201030927834,0.10000000149011612,9.480000153416768e-05,55743.816,-0.005520851,55743.953,-2.83183e-09,0.012325778,1.4727595,0.09167999774217606
-684837.3844527982,-1592468.2784234192,-1082347.0552405587,1300.0,8,10400,False,31200,24,3,7689f0c25e3e4dfdaf433087208fe92d,2024-03-11_20-02-59,1710201779,223.07832956314087,785.5833568572998,3277,Kurukshetra,192.168.68.14,785.5833568572998,31200,3,4,0b14db46,0,-14818.133771885186,542.5713152885437,-5466.399268891711,90.48577081690945,5.114084541878941,0.8739123063290443,3233280,31200,247206.609,237.018,14080.564,181.561,22.812893081761008,25.166981132075474,0.10000000149011612,8.959999831859022e-05,35793.492,-0.004137749,35793.625,-7.434115e-09,0.008951483,1.497411,0.08336000144481659
-475701.055248806,-1592468.2784234192,-940828.1495504612,1300.0,8,10400,False,41600,32,4,7689f0c25e3e4dfdaf433087208fe92d,2024-03-11_20-06-07,1710201967,187.99069476127625,973.574051618576,3277,Kurukshetra,192.168.68.14,973.574051618576,41600,4,4,0b14db46,0,-14818.133771885186,542.5713152885437,-5156.98882932764,87.76359700043363,5.03903014722455,0.8792603442415992,4049024,41600,228976.16,219.094,13917.782,136.825,26.889962825278808,26.256133828996287,0.05000000074505806,8.440000237897038e-05,22633.658,-0.0022566437,22633.775,-7.3512085e-09,0.0067429356,1.526124,0.07503999769687653
-455961.12017599767,-1592468.2784234192,-849599.8275886623,1300.0,8,10400,False,52000,40,5,7689f0c25e3e4dfdaf433087208fe92d,2024-03-11_20-09-38,1710202178,211.47775626182556,1185.0518078804016,3277,Kurukshetra,192.168.68.14,1185.0518078804016,52000,5,4,0b14db46,0,-14818.133771885186,542.5713152885437,-4910.272085471245,85.71671929818912,4.987920659710121,0.8849338574963646,4876160,52000,222605.659,209.034,13947.747,110.094,36.55415282392026,28.879401993355483,0.02500000037252903,7.919999916339293e-05,18780.36,-0.0020375948,18780.463,-5.4236353e-09,0.0053675636,1.5351508,0.06672000139951706
-455961.12017599767,-1592468.2784234192,-797759.8962977383,1300.0,8,10400,False,62400,48,6,7689f0c25e3e4dfdaf433087208fe92d,2024-03-11_20-13-34,1710202414,235.31787014007568,1420.3696780204773,3277,Kurukshetra,192.168.68.14,1420.3696780204773,62400,6,4,0b14db46,0,-14818.133771885186,542.5713152885437,-4684.094803950023,84.328762567704,4.957661271410722,0.8902164914125971,5778944,62400,222153.877,206.729,14135.98,92.308,35.13392857142857,29.341666666666665,0.012500000186264515,7.400000322377309e-05,19862.889,-0.0018616891,19862.982,-6.9804957e-09,0.0038106882,1.528589,0.058400001376867294
-397990.60129692353,-1592468.2784234192,-754397.8496347251,1300.0,7,10400,False,72800,55,7,7689f0c25e3e4dfdaf433087208fe92d,2024-03-11_20-17-12,1710202632,217.81741094589233,1638.1870889663696,3277,Kurukshetra,192.168.68.14,1638.1870889663696,72800,7,4,0b14db46,0,-14818.133771885186,542.5713152885437,-4483.669951362643,83.28631900936855,4.933046038920728,0.8939492212382532,6612736,72800,219437.9,199.901,14173.028,79.995,34.72668810289389,29.53890675241157,0.0062500000931322575,6.880000000819564e-05,17094.912,-0.0023324806,17094.99,-6.8077766e-09,0.0022809603,1.5023093,0.05008000135421753
-363886.21669613343,-1592468.2784234192,-712868.8456183189,1300.0,8,10400,False,83200,63,8,7689f0c25e3e4dfdaf433087208fe92d,2024-03-11_20-20-33,1710202833,201.5271339416504,1839.71422290802,3277,Kurukshetra,192.168.68.14,1839.71422290802,83200,8,4,0b14db46,0,-14818.133771885186,542.5713152885437,-4288.64947230272,82.23159333215914,4.904663343943755,0.896314708513223,7437184,83200,215607.039,193.011,13960.633,70.475,35.04652777777778,29.53298611111111,0.0031250000465661287,6.359999679261819e-05,14599.788,-0.003232338,14599.853,-3.368435e-09,0.003292539,1.4519745,0.041760001331567764
-324538.5989109901,-1592468.2784234192,-672071.2009526385,1300.0,8,10400,False,93600,71,9,7689f0c25e3e4dfdaf433087208fe92d,2024-03-11_20-23-41,1710203021,188.14956212043762,2027.8637850284576,3277,Kurukshetra,192.168.68.14,2027.8637850284576,93600,9,4,0b14db46,0,-14818.133771885186,542.5713152885437,-4053.092267700444,81.25034240794314,4.875483206115848,0.8970223944483511,8214912,93600,211229.3,186.374,13709.758,63.001,34.649253731343286,29.682089552238804,0.0015625000232830644,5.8400000852998346e-05,12707.449,-0.0030420895,12707.5,-3.6688836e-09,0.0050335946,1.3959918,0.033440001308918
-294107.93545330985,-1592468.2784234192,-637205.0506617347,1300.0,8,10400,False,104000,79,10,7689f0c25e3e4dfdaf433087208fe92d,2024-03-11_20-26-54,1710203214,192.4411609172821,2220.3049459457397,3277,Kurukshetra,192.168.68.14,2220.3049459457397,104000,10,4,0b14db46,0,-14818.133771885186,542.5713152885437,-3843.5671529569395,80.35409229729038,4.847635677661715,0.8969664725362582,8987520,104000,208135.832,181.756,13528.797,57.141,35.02690909090909,29.636000000000003,0.0007812500116415322,5.32000012753997e-05,11399.733,-0.0030975475,11399.7705,-4.2363144e-09,0.006140582,1.3274043,0.025119999423623085
