episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/cur_kl_coeff,info/learner/shared_policy/cur_lr,info/learner/shared_policy/total_loss,info/learner/shared_policy/policy_loss,info/learner/shared_policy/vf_loss,info/learner/shared_policy/vf_explained_var,info/learner/shared_policy/kl,info/learner/shared_policy/entropy,info/learner/shared_policy/entropy_coeff
-73516.40797148377,-143583.7563941395,-102383.97569645899,1300.0,8,10400,False,10400,8,1,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-08-06,1710194886,75.5631537437439,75.5631537437439,12147,Kurukshetra,192.168.68.14,75.5631537437439,10400,1,4,a5aaf1e0,0,-10714.214139331132,468.9217677116394,-2767.1344782826754,22.738992274151265,1.7139903401833503,0.7621271250019712,131840,10400,72239.056,63.18,2597.722,603.36,33.75321100917431,25.252293577981646,0.20000000298023224,9.999999747378752e-05,56926.727,-0.0015558655,56926.875,-3.7002333e-06,0.0067174854,1.4707026,0.10000000149011612
-56593.271830972284,-143583.7563941395,-96119.75936973916,1300.0,8,10400,False,20800,16,2,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-09-17,1710194957,71.50418186187744,147.06733560562134,12147,Kurukshetra,192.168.68.14,147.06733560562134,20800,2,4,a5aaf1e0,0,-10976.789715059102,496.13159465789795,-2597.8313343172745,22.730577429901533,1.7269516457289282,0.7734094520815081,262144,20800,70628.011,43.354,2520.902,303.69,37.68921568627451,25.78333333333332,0.10000000149011612,9.480000153416768e-05,44534.78,-0.0043492466,44534.92,-5.515479e-07,0.011209338,1.5226084,0.09167999774217606
-35684.293710734,-143583.7563941395,-85574.86828869308,1300.0,8,10400,False,31200,24,3,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-10-23,1710195023,66.20851969718933,213.27585530281067,12147,Kurukshetra,192.168.68.14,213.27585530281067,31200,3,4,a5aaf1e0,0,-10976.789715059102,496.13159465789795,-2312.834278072786,22.603839250544553,1.7379210027156191,0.782668076802854,385152,31200,68495.535,36.088,2325.088,203.621,38.15851063829788,26.658510638297855,0.10000000149011612,8.959999831859022e-05,26259.414,-0.0026303078,26259.545,-2.573978e-07,0.006124168,1.5499455,0.08336000144481659
-35684.293710734,-143583.7563941395,-80097.43572119165,1300.0,8,10400,False,41600,32,4,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-11-30,1710195090,66.47189831733704,279.7477536201477,12147,Kurukshetra,192.168.68.14,279.7477536201477,41600,4,4,a5aaf1e0,0,-10976.789715059102,496.13159465789795,-2164.795560032207,22.483929214920927,1.742891670444226,0.7847841586667508,511744,41600,67497.239,31.667,2226.7,154.129,36.24842105263157,27.19999999999998,0.05000000074505806,8.440000237897038e-05,22164.002,-0.0013378351,22164.121,-1.2523604e-07,0.004747361,1.5823815,0.07503999769687653
-35684.293710734,-143583.7563941395,-74393.61076742489,1300.0,8,10400,False,52000,40,5,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-12-32,1710195152,62.2623233795166,342.0100769996643,12147,Kurukshetra,192.168.68.14,342.0100769996643,52000,5,4,a5aaf1e0,0,-10976.789715059102,496.13159465789795,-2010.6381288493217,22.342436063175658,1.7435105151754058,0.7846498706017405,629248,52000,66088.378,28.559,2136.81,123.92,36.12696629213483,27.20337078651685,0.02500000037252903,7.919999916339293e-05,17480.668,-0.0025475873,17480.775,-5.6488062e-08,0.0049216137,1.5824438,0.06672000139951706
-30494.626309385523,-143583.7563941395,-68483.56680647464,1300.0,8,10400,False,62400,48,6,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-13-27,1710195207,55.20506453514099,397.2151415348053,12147,Kurukshetra,192.168.68.14,397.2151415348053,62400,6,4,a5aaf1e0,0,-10976.789715059102,496.13159465789795,-1850.9072109858014,22.13488122816322,1.7404919159058494,0.7828277639398844,728320,62400,63983.47,26.035,2067.005,103.777,35.47341772151898,27.2012658227848,0.012500000186264515,7.400000322377309e-05,16854.086,-0.0015619807,16854.18,-3.103446e-08,0.0037538684,1.5832106,0.058400001376867294
-21250.392591795884,-143583.7563941395,-63565.6786601422,1300.0,8,10400,False,72800,56,7,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-14-19,1710195259,51.7051305770874,448.9202721118927,12147,Kurukshetra,192.168.68.14,448.9202721118927,72800,7,4,a5aaf1e0,0,-10976.789715059102,496.13159465789795,-1717.9913151389785,21.89371192543242,1.7352408190171482,0.7805509277373505,820992,72800,62032.869,24.026,1964.429,89.436,35.73424657534247,27.204109589041096,0.0062500000931322575,6.880000000819564e-05,16262.517,-0.000720767,16262.598,-1.597141e-08,0.0011431173,1.5918144,0.05008000135421753
-18105.703417535988,-143583.7563941395,-59002.41464877934,1300.0,8,10400,False,83200,64,8,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-15-14,1710195314,55.17512106895447,504.09539318084717,12147,Kurukshetra,192.168.68.14,504.09539318084717,83200,8,4,a5aaf1e0,0,-10976.789715059102,496.13159465789795,-1594.6598553724143,21.65639180316877,1.7301196016100935,0.7788061318698596,909312,83200,60878.955,23.002,2010.202,78.691,38.06329113924051,27.04303797468355,0.0031250000465661287,6.359999679261819e-05,12280.354,-0.0021470678,12280.423,-8.206436e-09,0.0076635927,1.5768363,0.041760001331567764
-17861.535852395464,-143583.7563941395,-54880.07682783371,1300.0,8,10400,False,93600,72,9,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-16-03,1710195363,48.45108771324158,552.5464808940887,12147,Kurukshetra,192.168.68.14,552.5464808940887,93600,9,4,a5aaf1e0,0,-10976.789715059102,496.13159465789795,-1483.2453196711813,21.41498584590964,1.7247506685028826,0.7774810878928239,989312,93600,59348.155,21.469,1934.014,70.446,36.7536231884058,27.30289855072464,0.0015625000232830644,5.8400000852998346e-05,12622.707,-0.00087334623,12622.76,-7.6293943e-10,0.0015534395,1.5722985,0.033440001308918
-11510.325587946922,-143583.7563941395,-51265.726547824146,1300.0,8,10400,False,104000,80,10,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-16-50,1710195410,47.21661567687988,599.7630965709686,12147,Kurukshetra,192.168.68.14,599.7630965709686,104000,10,4,a5aaf1e0,0,-10976.789715059102,496.13159465789795,-1385.5601769682198,21.176413052744945,1.7190550519342196,0.7762169181469949,1066496,104000,57995.395,20.383,1877.675,63.82,35.93235294117647,27.3,0.0007812500116415322,5.32000012753997e-05,11728.206,-0.0020274494,11728.247,-1.1762774e-08,0.0035541602,1.5436577,0.025119999423623085
-4248.260238707066,-143583.7563941395,-47528.30830306388,1300.0,8,10400,False,114400,88,11,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-17-33,1710195453,42.611993074417114,642.3750896453857,12147,Kurukshetra,192.168.68.14,642.3750896453857,114400,11,4,a5aaf1e0,0,-10976.789715059102,496.7625584602356,-1284.5488730557806,20.93455636382062,1.713140542711007,0.7749913888478563,1134592,114400,54920.417,14.772,1728.087,3.935,36.125,27.301666666666666,0.0003906250058207661,4.999999873689376e-05,9698.078,-0.001107658,9698.111,-2.5768925e-09,0.0029352638,1.5313159,0.019899999722838402
-3490.5793807841837,-143583.7563941395,-44331.99373433236,1300.0,8,10400,False,124800,96,12,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-18-17,1710195497,43.94377326965332,686.3188629150391,12147,Kurukshetra,192.168.68.14,686.3188629150391,124800,12,4,a5aaf1e0,0,-10976.789715059102,496.7625584602356,-1198.1619928197936,20.698439041718622,1.7073314156670631,0.7737890572122296,1203456,124800,52295.416,13.209,1599.182,3.908,35.6936507936508,27.299999999999997,0.00019531250291038305,4.999999873689376e-05,9216.031,-0.0014049998,9216.063,-3.5452576e-09,0.0040940326,1.500926,0.01964000053703785
-1974.5661387108266,-129539.7453657673,-39088.81350899314,1300.0,8,10400,False,135200,104,13,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-18-59,1710195539,42.27415323257446,728.5930161476135,12147,Kurukshetra,192.168.68.14,728.5930161476135,135200,13,4,a5aaf1e0,0,-10976.789715059102,499.0257866382599,-1056.4544191619766,20.39445293928818,1.7011093777264272,0.7730144827633301,1268352,135200,49977.523,11.794,1525.735,4.046,35.665573770491804,27.30163934426229,9.765625145519152e-05,4.999999873689376e-05,8675.422,-0.00077681337,8675.452,-3.526902e-10,0.0006755834,1.4799795,0.019379999488592148
-1297.3956262618303,-115013.91444309801,-31709.20604467553,1300.0,8,10400,False,145600,112,14,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-19-38,1710195578,39.24223256111145,767.835248708725,12147,Kurukshetra,192.168.68.14,767.835248708725,145600,14,4,a5aaf1e0,0,-9497.365930639207,499.0257866382599,-857.237254519479,19.96156701453615,1.6926076857205963,0.7715946871767122,1331072,145600,47345.334,10.626,1436.215,4.012,35.94464285714286,27.300000000000004,4.882812572759576e-05,4.999999873689376e-05,8493.861,-0.0005433229,8493.891,7.906738e-09,0.0013170626,1.4646597,0.019120000302791595
5501.641567200422,-88166.71901575994,-25539.46247443151,1300.0,8,10400,False,156000,120,15,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-20-17,1710195617,38.372788429260254,806.2080371379852,12147,Kurukshetra,192.168.68.14,806.2080371379852,156000,15,4,a5aaf1e0,0,-8905.747627692297,526.2737243175507,-690.4423485923631,19.51358692011502,1.681725126619886,0.7681872244720123,1388800,156000,45039.848,9.619,1354.176,4.022,35.99444444444445,27.299999999999997,2.441406286379788e-05,4.999999873689376e-05,8350.424,-0.0021166436,8350.453,0.020627473,0.0049290163,1.4512055,0.018859999254345894
5501.641567200422,-78770.15680559978,-20343.660733112465,1300.0,8,10400,False,166400,128,16,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-20-55,1710195655,38.2918221950531,844.4998593330383,12147,Kurukshetra,192.168.68.14,844.4998593330383,166400,16,4,a5aaf1e0,0,-6290.582753673196,541.5184614658356,-549.9773109789799,19.062263552481525,1.6691231516293419,0.7644948358702577,1450112,166400,43421.271,8.919,1282.266,4.113,35.69818181818182,27.301818181818177,1.220703143189894e-05,4.999999873689376e-05,6846.993,-0.0014979038,6847.021,0.0873946,0.004075693,1.433214,0.01860000006854534
5501.641567200422,-66132.69964074559,-15966.977237334942,1300.0,8,10400,False,176800,136,17,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-21-34,1710195694,39.41482210159302,883.9146814346313,12147,Kurukshetra,192.168.68.14,883.9146814346313,176800,17,4,a5aaf1e0,0,-5433.764839880168,541.7386140823364,-431.65658927642454,18.617036732363857,1.656466643480002,0.7613066928581556,1510400,176800,42227.666,8.386,1247.583,4.148,35.73571428571428,27.301785714285717,6.10351571594947e-06,4.999999873689376e-05,8211.348,-0.00071305246,8211.375,0.09187768,0.003291121,1.4199353,0.01834000088274479
5575.674337670207,-47671.274161360925,-12205.500756621861,1300.0,8,10400,False,187200,144,18,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-22-13,1710195733,38.62050247192383,922.5351839065552,12147,Kurukshetra,192.168.68.14,922.5351839065552,187200,18,4,a5aaf1e0,0,-4301.769868543372,541.7386140823364,-329.9675792544434,18.19238444288983,1.644390481873296,0.7586795816926406,1569408,187200,40709.285,7.553,1112.739,4.152,36.05272727272727,27.299999999999997,3.051757857974735e-06,4.999999873689376e-05,7118.3784,-0.0004045909,7118.404,0.10197885,0.0034358497,1.4105667,0.018079999834299088
5575.674337670207,-37758.87116412785,-9355.609050289537,1300.0,8,10400,False,197600,152,19,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-22-52,1710195772,39.4291353225708,961.964319229126,12147,Kurukshetra,192.168.68.14,961.964319229126,197600,19,4,a5aaf1e0,0,-4301.769868543372,543.6469022035599,-252.922656131104,17.806409360748834,1.6336383199564422,0.7566006682432896,1631744,197600,39820.886,7.335,1099.371,4.083,35.88421052631579,27.3,1.5258789289873675e-06,4.999999873689376e-05,6984.3823,-0.0006736306,6984.408,0.10481152,0.0027463415,1.395118,0.017820000648498535
5575.674337670207,-37608.48583680112,-6991.829032625407,1300.0,8,10400,False,208000,160,20,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-23-35,1710195815,42.590248584747314,1004.5545678138733,12147,Kurukshetra,192.168.68.14,1004.5545678138733,208000,20,4,a5aaf1e0,0,-4301.769868543372,543.6469022035599,-189.0194385678672,17.453899261713488,1.6238786168364243,0.754906003125545,1697280,208000,39388.179,7.03,1069.883,4.094,37.07377049180328,26.903278688524598,7.629394644936838e-07,4.999999873689376e-05,6645.242,-0.0008063476,6645.267,0.11252166,0.002858249,1.3800516,0.017559999600052834
5575.674337670207,-27623.315547472565,-5207.559385976962,1300.0,8,10400,False,218400,168,21,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-24-17,1710195857,42.269132137298584,1046.8236999511719,12147,Kurukshetra,192.168.68.14,1046.8236999511719,218400,21,4,a5aaf1e0,0,-3937.757862774655,571.5501698255539,-140.78289770145884,17.13030612135158,1.6148350952162587,0.7531655861599847,1765376,218400,39348.384,7.05,1075.265,3.998,35.78499999999999,25.92333333333334,3.814697322468419e-07,4.999999873689376e-05,6437.3823,-0.00080638233,6437.4067,0.12595442,0.003057712,1.3634882,0.01730000041425228
6131.83224583976,-22593.953684484586,-3386.06961226398,1300.0,8,10400,False,228800,176,22,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-24-59,1710195899,41.9669623374939,1088.7906622886658,12147,Kurukshetra,192.168.68.14,1088.7906622886658,228800,22,4,a5aaf1e0,0,-3112.2360541559756,571.5501698255539,-91.56488946089725,16.835170098740658,1.6067409706352036,0.7516324073549698,1826560,228800,39156.662,6.902,1069.394,4.058,38.348333333333336,26.00333333333334,1.9073486612342094e-07,4.999999873689376e-05,6672.431,-0.0006343141,6672.4546,0.113966845,0.001368373,1.3493572,0.01703999936580658
6131.83224583976,-18143.37696394138,-2295.0293017980484,1300.0,8,10400,False,239200,184,23,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-25-52,1710195952,52.53442096710205,1141.3250832557678,12147,Kurukshetra,192.168.68.14,1141.3250832557678,239200,23,4,a5aaf1e0,0,-3038.3194570099004,571.5501698255539,-62.06136565165085,16.582817093144623,1.600320637709883,0.7513987517330952,1890176,239200,40151.38,7.281,1100.552,3.975,47.192,27.446666666666665,9.536743306171047e-08,4.999999873689376e-05,6741.69,-0.0007332763,6741.7134,0.12357009,0.003306621,1.3356357,0.016780000180006027
8731.123749911785,-16291.392489264952,-1276.7846797796644,1300.0,8,10400,False,249600,192,24,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-26-39,1710195999,47.498494386672974,1188.8235776424408,12147,Kurukshetra,192.168.68.14,1188.8235776424408,249600,24,4,a5aaf1e0,0,-2494.838205471635,571.5501698255539,-34.526356943744304,16.366211853795267,1.595026221585191,0.7519955150165012,1952000,249600,40972.202,7.356,1105.322,3.97,44.551470588235304,27.14411764705882,4.7683716530855236e-08,4.999999873689376e-05,5885.391,-0.0010262069,5885.414,0.13053088,0.004364765,1.3224567,0.016519999131560326
8731.123749911785,-9889.22439048835,-355.3741894900289,1300.0,8,10400,False,260000,200,25,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-27-16,1710196036,36.97686982154846,1225.8004474639893,12147,Kurukshetra,192.168.68.14,1225.8004474639893,260000,25,4,a5aaf1e0,0,-2134.153527826071,580.9173820018768,-9.609902365874229,16.168000414264174,1.5900929736487797,0.7525248048507924,2010752,260000,40821.074,7.432,1116.295,4.172,35.715384615384615,26.09999999999999,2.3841858265427618e-08,4.999999873689376e-05,6232.793,-0.0007920487,6232.815,0.120776,0.003712307,1.3065858,0.016259999945759773
8731.123749911785,-7601.5823438465595,536.7447021704606,1300.0,8,10400,False,270400,208,26,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-27-53,1710196073,36.29536771774292,1262.0958151817322,12147,Kurukshetra,192.168.68.14,1262.0958151817322,270400,26,4,a5aaf1e0,0,-2134.153527826071,594.0487971305847,14.514459225810185,15.987303112391428,1.5855083940871924,0.7530638130812087,2068608,270400,40630.909,7.381,1106.671,4.348,35.57115384615385,26.13076923076922,1.1920929132713809e-08,4.999999873689376e-05,6677.622,-0.00059318164,6677.643,0.121875204,0.00167333,1.2986372,0.01600000075995922
8731.123749911785,-7601.5823438465595,1174.096687720816,1300.0,8,10400,False,280800,216,27,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-28-31,1710196111,37.82797050476074,1299.923785686493,12147,Kurukshetra,192.168.68.14,1299.923785686493,280800,27,4,a5aaf1e0,0,-2134.153527826071,594.0487971305847,31.740921538816323,15.82631003737114,1.5814940908735187,0.7536764549841547,2126848,280800,40470.802,7.318,1108.161,4.366,35.35370370370371,26.098148148148137,5.9604645663569045e-09,4.999999873689376e-05,6100.5005,-0.0003141369,6100.521,0.12722181,0.00047286646,1.2811059,0.01573999971151352
8731.123749911785,-7601.5823438465595,1620.6854059945906,1300.0,8,10400,False,291200,224,28,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-29-18,1710196158,47.36365103721619,1347.287436723709,12147,Kurukshetra,192.168.68.14,1347.287436723709,291200,28,4,a5aaf1e0,0,-2134.153527826071,594.0487971305847,43.814149932267924,15.689972661242564,1.5786746797632123,0.7550674633095759,2185984,291200,41290.086,7.764,1162.221,4.387,44.400000000000006,27.061764705882357,2.9802322831784522e-09,4.999999873689376e-05,6911.524,-0.00033857115,6911.5444,0.1205506,0.00041981344,1.2692227,0.015479999594390392
10161.435762606561,-6900.899624010781,2156.73579522053,1300.0,8,10400,False,301600,232,29,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-30-08,1710196208,49.693567991256714,1396.9810047149658,12147,Kurukshetra,192.168.68.14,1396.9810047149658,301600,29,4,a5aaf1e0,0,-2134.153527826071,594.0487971305847,58.30591498298269,15.57801218126965,1.5769528520948473,0.7574224972214058,2244736,301600,42283.57,7.999,1194.34,4.467,46.180281690140845,27.615492957746472,1.4901161415892261e-09,4.999999873689376e-05,6199.586,-0.00062157726,6199.6064,0.12897098,0.0030369498,1.2507015,0.01522000040858984
10165.618807932362,-6900.899624010781,2645.772826288289,1300.0,8,10400,False,312000,240,30,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-30-57,1710196257,48.7594850063324,1445.7404897212982,12147,Kurukshetra,192.168.68.14,1445.7404897212982,312000,30,4,a5aaf1e0,0,-2134.153527826071,605.4668785333633,71.52670522542009,15.487136646800103,1.5761883806081887,0.7605186662357235,2302336,312000,42875.938,8.106,1218.654,4.52,46.456521739130444,27.51014492753623,7.450580707946131e-10,4.999999873689376e-05,6803.593,-0.00027943292,6803.612,0.12789407,0.001897782,1.2404226,0.014960000291466713
10165.618807932362,-6900.899624010781,3208.32118823758,1300.0,8,10400,False,322400,248,31,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-31-43,1710196303,46.355308532714844,1492.095798254013,12147,Kurukshetra,192.168.68.14,1492.095798254013,322400,31,4,a5aaf1e0,0,-2134.153527826071,660.6093428134918,86.73482531055906,15.412761658023367,1.5760372383026044,0.7643159095231081,2357504,322400,43295.067,8.047,1208.285,4.575,46.035820895522384,27.87462686567164,3.7252903539730653e-10,4.999999873689376e-05,6864.813,-0.0009952893,6864.833,0.124039076,0.004756015,1.2253665,0.014700000174343586
10165.618807932362,-6900.899624010781,3910.6361971043343,1300.0,8,10400,False,332800,256,32,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-32-22,1710196342,39.07594394683838,1531.1717422008514,12147,Kurukshetra,192.168.68.14,1531.1717422008514,332800,32,4,a5aaf1e0,0,-2134.153527826071,660.6093428134918,105.72144355513204,15.343664893346167,1.575868024620375,0.7680404780305085,2414464,332800,43025.204,8.014,1189.182,4.594,38.22545454545455,26.387272727272727,1.8626451769865326e-10,4.999999873689376e-05,6250.9697,-0.0001869641,6250.988,0.13113426,0.0017956352,1.2097933,0.014440000057220459
11944.689214795828,-6900.899624010781,4531.012885653688,1300.0,8,10400,False,343200,264,33,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-32-59,1710196379,37.36033749580383,1568.5320796966553,12147,Kurukshetra,192.168.68.14,1568.5320796966553,343200,33,4,a5aaf1e0,0,-2134.153527826071,660.6093428134918,122.49291391331947,15.275762123716389,1.575570439125346,0.7715038542443076,2472192,343200,41553.985,7.505,1143.45,4.658,34.68518518518518,26.301851851851847,9.313225884932663e-11,4.999999873689376e-05,7113.694,-0.0005463224,7113.712,0.13324627,0.0011460029,1.1993822,0.014179999940097332
13128.689172133803,-4353.913443933445,5084.561725344059,1300.0,8,10400,False,353600,272,34,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-33-37,1710196417,37.460505962371826,1605.992585659027,12147,Kurukshetra,192.168.68.14,1605.992585659027,353600,34,4,a5aaf1e0,0,-2134.153527826071,660.6093428134918,137.4577379114371,15.209976655375323,1.5751795843142824,0.7747416066371496,2530432,353600,40564.426,7.371,1129.895,4.452,35.68679245283019,26.339622641509447,4.6566129424663316e-11,4.999999873689376e-05,7049.3394,-0.0009325202,7049.357,0.12747924,0.003645637,1.1756653,0.013919999822974205
13128.689172133803,-4353.913443933445,5620.266914524628,1300.0,8,10400,False,364000,280,35,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-34-14,1710196454,37.405211448669434,1643.3977971076965,12147,Kurukshetra,192.168.68.14,1643.3977971076965,364000,35,4,a5aaf1e0,0,-2134.153527826071,660.6093428134918,151.89910579796293,15.139457014482089,1.574285715870343,0.7771110204850885,2591360,364000,40607.643,7.327,1129.776,4.332,34.8962962962963,26.331481481481475,2.3283064712331658e-11,4.999999873689376e-05,6350.0005,-0.00043762237,6350.0166,0.14062895,0.0028457637,1.1479238,0.013659999705851078
13128.689172133803,-4353.913443933445,5935.717395628442,1300.0,8,10400,False,374400,288,36,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-34-51,1710196491,36.4153618812561,1679.8131589889526,12147,Kurukshetra,192.168.68.14,1679.8131589889526,374400,36,4,a5aaf1e0,0,-2001.3518724292517,660.6093428134918,160.4247944764444,15.061650633157274,1.5727069211283353,0.7783497626860887,2650752,374400,40615.622,7.348,1133.197,4.15,34.55769230769231,26.315384615384612,1.1641532356165829e-11,4.999999873689376e-05,7011.142,-0.0008869454,7011.158,0.13567266,0.005068764,1.1434563,0.013399999588727951
13128.689172133803,-3836.245869960636,6383.461708507325,1300.0,8,10400,False,384800,296,37,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-35-29,1710196529,37.89909076690674,1717.7122497558594,12147,Kurukshetra,192.168.68.14,1717.7122497558594,384800,37,4,a5aaf1e0,0,-2001.3518724292517,664.6692743301392,172.57263337408284,14.984629841987735,1.570994496604319,0.7791943556367203,2711424,384800,40617.831,7.422,1137.899,4.205,34.5425925925926,26.299999999999997,5.8207661780829145e-12,4.999999873689376e-05,6471.051,-0.0007374744,6471.0664,0.14076185,0.0018627478,1.1116735,0.013140000402927399
13128.689172133803,-3836.245869960636,6571.470075609464,1300.0,8,10400,False,395200,304,38,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-36-09,1710196569,40.64686560630798,1758.3591153621674,12147,Kurukshetra,192.168.68.14,1758.3591153621674,395200,38,4,a5aaf1e0,0,-2001.3518724292517,664.6692743301392,177.6553142906046,14.916324736444897,1.5696092337264738,0.7801811412978529,2774912,395200,39989.359,6.934,1095.707,4.194,35.53448275862069,26.36896551724138,2.9103830890414573e-12,4.999999873689376e-05,6252.667,-0.0006857644,6252.6816,0.14887182,0.0035897696,1.0876893,0.012880000285804272
13128.689172133803,-3836.245869960636,6618.857326706009,1300.0,8,10400,False,405600,312,39,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-36-49,1710196609,39.526360750198364,1797.8854761123657,12147,Kurukshetra,192.168.68.14,1797.8854761123657,405600,39,4,a5aaf1e0,0,-2001.3518724292517,672.1684139966965,178.93639704530977,14.855089689477301,1.5684812338153884,0.7812595805300845,2837888,405600,39026.138,6.641,1043.074,4.149,36.09285714285714,26.362500000000004,1.4551915445207286e-12,4.999999873689376e-05,7404.6704,-0.00054995803,7404.685,0.14191853,0.00353075,1.0915368,0.012620000168681145
13128.689172133803,-3836.245869960636,6735.799857251339,1300.0,8,10400,False,416000,320,40,cd41506d7639483cb48e58d7e60352e0,2024-03-11_18-37-29,1710196649,40.40759491920471,1838.2930710315704,12147,Kurukshetra,192.168.68.14,1838.2930710315704,416000,40,4,a5aaf1e0,0,-2001.3518724292517,689.3219326734543,182.0978604285304,14.796394338964701,1.567187449157037,0.7820156939948443,2901504,416000,38226.753,6.455,1007.569,4.039,35.09137931034483,26.360344827586207,7.275957722603643e-13,4.999999873689376e-05,6575.778,-0.0012043463,6575.792,0.15641668,0.0022059996,1.0475738,0.012360000051558018
