episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/cur_kl_coeff,info/learner/shared_policy/cur_lr,info/learner/shared_policy/total_loss,info/learner/shared_policy/policy_loss,info/learner/shared_policy/vf_loss,info/learner/shared_policy/vf_explained_var,info/learner/shared_policy/kl,info/learner/shared_policy/entropy,info/learner/shared_policy/entropy_coeff
-329412.252173407,-378544.5232050114,-361409.9078081051,1300.0,8,10400,False,10400,8,1,90dedf92278d4051968ae1fd2b38287b,2024-03-12_21-39-06,1710293946,382.07678985595703,382.07678985595703,24026,COM2134,172.19.177.241,382.07678985595703,10400,1,4,9473f87c,0,-3210.6281260312535,1082.458551466465,-1112.8865521419712,126.39599085220783,6.759321538359786,0.8109999317153056,1736192,10400,359705.451,409.549,21388.003,355.771,24.586446886446886,24.904212454212452,0.20000000298023224,9.999999747378752e-05,3891.228,-0.001436834,3891.3733,0.065946326,0.007061827,1.4558468,0.10000000149011612
-285803.11086324183,-378544.5232050114,-335698.9975211276,1300.0,8,10400,False,20800,16,2,90dedf92278d4051968ae1fd2b38287b,2024-03-12_21-46-38,1710294398,451.72490525245667,833.8016951084137,24026,COM2134,172.19.177.241,833.8016951084137,20800,2,4,9473f87c,0,-3210.6281260312535,1312.8910374641418,-958.9687484981326,132.52323694078734,7.043124611312951,0.8489887722578309,3572352,20800,392477.603,411.241,23608.027,179.428,25.986335403726702,27.522826086956517,0.10000000149011612,9.480000153416768e-05,4232.7856,0.0004466275,4232.9233,0.25851014,0.016269572,1.5200466,0.09167999774217606
-205768.55450143985,-378544.5232050114,-312570.46376176644,1300.0,8,10400,False,31200,24,3,90dedf92278d4051968ae1fd2b38287b,2024-03-12_21-54-08,1710294848,449.82805585861206,1283.6297509670258,24026,COM2134,172.19.177.241,1283.6297509670258,31200,3,4,9473f87c,0,-3210.6281260312535,1342.7907280921936,-835.6568040862643,135.9308588737289,7.185669528601335,0.8718834830600847,5357056,31200,402978.321,407.545,24148.988,120.895,25.90342679127725,28.258566978193148,0.10000000149011612,8.959999831859022e-05,6041.396,0.002239906,6041.526,0.36400813,0.0135524925,1.5963538,0.08336000144481659
-93727.61792851452,-378544.5232050114,-268639.27695201355,1300.0,8,10400,False,41600,32,4,90dedf92278d4051968ae1fd2b38287b,2024-03-12_22-00-35,1710295235,387.0995364189148,1670.7292873859406,24026,COM2134,172.19.177.241,1670.7292873859406,41600,4,4,9473f87c,0,-3210.6281260312535,1366.7284650802612,-695.900336959802,136.71781197084448,7.22043143866148,0.885580657352579,6868480,41600,394170.868,388.044,22821.489,91.759,25.85,28.47355072463768,0.10000000149011612,8.440000237897038e-05,7534.1807,0.0023982755,7534.3013,0.43894914,0.010587977,1.6621052,0.07503999769687653
68181.3916769814,-378544.5232050114,-231454.3293861171,1300.0,8,10400,False,52000,40,5,90dedf92278d4051968ae1fd2b38287b,2024-03-12_22-06-12,1710295572,337.1666135787964,2007.895900964737,24026,COM2134,172.19.177.241,2007.895900964737,52000,5,4,9473f87c,0,-3210.6281260312535,1366.7284650802612,-588.6053261774229,136.12639153623223,7.196081609518532,0.8930533310153741,8244992,52000,378963.345,363.063,21978.993,74.007,26.705821205821206,28.180457380457383,0.10000000149011612,7.919999916339293e-05,8417.314,0.0018371581,8417.427,0.48681942,0.0062997933,1.7169898,0.06672000139951706
68181.3916769814,-378544.5232050114,-195916.88362891684,1300.0,8,10400,False,62400,48,6,90dedf92278d4051968ae1fd2b38287b,2024-03-12_22-11-19,1710295879,306.3615334033966,2314.2574343681335,24026,COM2134,172.19.177.241,2314.2574343681335,62400,6,4,9473f87c,0,-3210.6281260312535,1366.7284650802612,-492.2277107661872,134.77613262943296,7.139571812504041,0.8962531434909664,9497216,62400,363953.902,341.132,21160.647,62.213,25.634782608695655,28.17162471395881,0.05000000074505806,7.400000322377309e-05,9110.525,0.0015494532,9110.625,0.5277244,0.005096988,1.7500477,0.058400001376867294
183218.93718190087,-378544.5232050114,-164407.97142644177,1300.0,6,10400,False,72800,54,7,90dedf92278d4051968ae1fd2b38287b,2024-03-12_22-15-27,1710296127,248.00759840011597,2562.2650327682495,24026,COM2134,172.19.177.241,2562.2650327682495,72800,7,4,9473f87c,0,-3210.6281260312535,1366.7284650802612,-410.33603517414764,133.2876508256748,7.073708082770504,0.8967128769538364,10557568,72800,345277.923,319.324,20205.181,53.768,25.490395480225988,27.859887005649718,0.02500000037252903,6.880000000819564e-05,10851.21,0.0010877798,10851.297,0.5475985,0.0037209038,1.7587605,0.05008000135421753
183218.93718190087,-378544.5232050114,-137253.1421306257,1300.0,8,10400,False,83200,62,8,90dedf92278d4051968ae1fd2b38287b,2024-03-12_22-19-46,1710296386,259.16441893577576,2821.4294517040253,24026,COM2134,172.19.177.241,2821.4294517040253,83200,8,4,9473f87c,0,-3210.6281260312535,1366.7284650802612,-340.2244847312807,131.20379639415597,6.983719317628538,0.8963645773705868,11658240,83200,332594.534,306.261,19555.508,47.466,25.826216216216217,27.735675675675676,0.012500000186264515,6.359999679261819e-05,10231.128,0.00028610646,10231.203,0.57281756,0.0015307019,1.7741051,0.041760001331567764
183218.93718190087,-378544.5232050114,-114476.86053672047,1300.0,8,10400,False,93600,70,9,90dedf92278d4051968ae1fd2b38287b,2024-03-12_22-24-06,1710296646,259.9586534500122,3081.3881051540375,24026,COM2134,172.19.177.241,3081.3881051540375,93600,9,4,9473f87c,0,-3210.6281260312535,1366.7284650802612,-282.2805494423852,129.1933242068577,6.898512801251484,0.8955435127513908,12748288,93600,322845.463,295.082,19023.722,42.518,25.87951482479784,27.704043126684635,0.0062500000931322575,5.8400000852998346e-05,10428.254,-0.00048383087,10428.312,0.59782416,0.0012310016,1.7689327,0.033440001308918
183218.93718190087,-378544.5232050114,-92514.7362202035,1300.0,8,10400,False,104000,78,10,90dedf92278d4051968ae1fd2b38287b,2024-03-12_22-28-10,1710296890,243.92274141311646,3325.310846567154,24026,COM2134,172.19.177.241,3325.310846567154,104000,10,4,9473f87c,0,-3210.6281260312535,1366.7284650802612,-227.180122943454,127.24590900201402,6.8164333188230914,0.8943017291892488,13770624,104000,313630.621,283.76,18413.729,38.595,25.386781609195403,27.64540229885058,0.0031250000465661287,5.32000012753997e-05,10724.2,-0.0005212696,10724.243,0.60948896,0.0015659287,1.7446781,0.025119999423623085
