episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/cur_kl_coeff,info/learner/shared_policy/cur_lr,info/learner/shared_policy/total_loss,info/learner/shared_policy/policy_loss,info/learner/shared_policy/vf_loss,info/learner/shared_policy/vf_explained_var,info/learner/shared_policy/kl,info/learner/shared_policy/entropy,info/learner/shared_policy/entropy_coeff
-459907.18873212335,-521781.5605156833,-486986.16199997405,1300.0,8,10400,False,10400,8,1,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_14-30-39,1708803039,1113.9416408538818,1113.9416408538818,9528,Kurukshetra,192.168.68.14,1113.9416408538818,10400,1,4,95766bb8,0,-3425.744140760973,1447.653024673462,-1494.3955872649763,395.888281757673,6.977139849334622,0.7176274796808192,1719296,10400,1093144.589,474.444,19545.829,575.131,16.480943396226415,8.192830188679247,0.20000000298023224,9.999999747378752e-05,4497.811,-0.0015059169,4497.956,0.029956022,0.0046615195,1.4405786,0.10000000149011612
-394679.68061249505,-529087.367989309,-475229.42671979486,1300.0,8,10400,False,20800,16,2,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_14-53-00,1708804380,1341.736652135849,2455.678292989731,9528,Kurukshetra,192.168.68.14,2455.678292989731,20800,2,4,95766bb8,0,-3425.744140760973,1786.1555433273315,-1338.674441464211,411.23733048108676,7.068869879062426,0.7204249773911036,3547648,20800,1206887.912,401.69,20060.87,289.012,15.816135770234988,9.360939947780679,0.10000000149011612,9.480000153416768e-05,5335.413,0.0012077559,5335.5474,0.09283562,0.0054150145,1.481973,0.09167999774217606
-394679.68061249505,-529087.367989309,-471425.4469794328,1300.0,8,10400,False,31200,24,3,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_15-14-50,1708805690,1309.2822887897491,3764.96058177948,9528,Kurukshetra,192.168.68.14,3764.96058177948,31200,3,4,95766bb8,0,-3425.744140760973,1786.1555433273315,-1251.710446676224,422.00031229186953,7.126898663713426,0.7240714269812841,5384448,31200,1233855.778,380.76,20358.883,193.677,16.87987152034261,9.65663811563169,0.05000000074505806,8.959999831859022e-05,6688.021,0.0034032639,6688.147,0.15214232,0.0064431895,1.5541347,0.08336000144481659
-394679.68061249505,-529087.367989309,-475652.19041891827,1300.0,8,10400,False,41600,32,4,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_15-36-12,1708806972,1282.1483707427979,5047.108952522278,9528,Kurukshetra,192.168.68.14,5047.108952522278,41600,4,4,95766bb8,0,-3425.744140760973,1786.1555433273315,-1226.0064513415534,428.4929849952881,7.154280171695577,0.7246116806883742,7193856,41600,1240735.492,370.031,20329.382,145.907,16.63007107709131,9.83717878622198,0.02500000037252903,8.440000237897038e-05,8916.908,0.0039539975,8917.026,0.19382538,0.0070035304,1.6272756,0.07503999769687653
-394679.68061249505,-583300.2650377696,-484089.3840683533,1300.0,8,10400,False,52000,40,5,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_15-56-21,1708808181,1208.7724618911743,6255.881414413452,9528,Kurukshetra,192.168.68.14,6255.881414413452,52000,5,4,95766bb8,0,-3542.5191746968776,1786.1555433273315,-1226.2412363203173,432.2233337900599,7.164365714185427,0.7244029696711431,8957056,52000,1230331.24,357.07,20175.373,117.326,17.152347826086956,9.911710144927534,0.012500000186264515,7.919999916339293e-05,10706.666,0.0027890585,10706.774,0.22127381,0.0039778934,1.684034,0.06672000139951706
-394679.68061249505,-623885.4569781093,-500105.729397185,1300.0,8,10400,False,62400,48,6,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_16-16-58,1708809418,1236.9416873455048,7492.823101758957,9528,Kurukshetra,192.168.68.14,7492.823101758957,62400,6,4,95766bb8,0,-4021.858747921884,1786.1555433273315,-1252.4169150657317,434.5792422123092,7.167191048521983,0.7237921860795661,10724480,62400,1228015.342,350.559,20145.085,98.18,16.715750708215296,10.06441926345609,0.0062500000931322575,7.400000322377309e-05,11966.793,0.0009999098,11966.893,0.24255165,0.0012359318,1.7135267,0.058400001376867294
-394679.68061249505,-623885.4569781093,-505570.0657448078,1300.0,8,10400,False,72800,56,7,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_16-35-58,1708810558,1140.5032141208649,8633.326315879822,9528,Kurukshetra,192.168.68.14,8633.326315879822,72800,7,4,95766bb8,0,-4021.858747921884,1786.1555433273315,-1255.9075403322202,435.6737150850743,7.1646626802816895,0.7231318160011863,12430080,72800,1212846.269,341.586,19868.478,84.531,17.20620774431469,10.214751075599263,0.0031250000465661287,6.880000000819564e-05,12519.002,-0.000600893,12519.087,0.2671436,0.0011058655,1.6964247,0.05008000135421753
-394679.68061249505,-623885.4569781093,-513074.49244746374,1300.0,8,10400,False,83200,64,8,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_16-55-42,1708811742,1184.0397193431854,9817.366035223007,9528,Kurukshetra,192.168.68.14,9817.366035223007,83200,8,4,95766bb8,0,-4021.858747921884,1786.1555433273315,-1266.899475930309,436.32377392105474,7.160452147018019,0.7221723654170311,14179712,83200,1206870.757,336.073,19698.687,74.291,16.898579040852574,10.410953226761398,0.0015625000232830644,6.359999679261819e-05,12371.814,-0.0015494685,12371.888,0.29022056,0.0018579349,1.6736963,0.041760001331567764
-394679.68061249505,-623885.4569781093,-514413.14883493964,1300.0,8,10400,False,93600,72,9,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_17-15-23,1708812923,1180.8217742443085,10998.187809467316,9528,Kurukshetra,192.168.68.14,10998.187809467316,93600,9,4,95766bb8,0,-4021.858747921884,1790.0056312084198,-1264.3026699476243,436.6521056632357,7.155150915721383,0.7210878522374803,15921792,93600,1201857.671,332.66,19573.803,66.307,16.882967359050447,10.467477744807121,0.0007812500116415322,5.8400000852998346e-05,11536.981,-0.0020198203,11537.038,0.30670887,0.0028776147,1.6265374,0.033440001308918
-394679.68061249505,-623885.4569781093,-505454.9281536878,1300.0,8,10400,False,104000,80,10,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_17-33-38,1708814018,1095.0745708942413,12093.262380361557,9528,Kurukshetra,192.168.68.14,12093.262380361557,104000,10,4,95766bb8,0,-4021.858747921884,1790.0056312084198,-1237.6846209878797,436.5091389446999,7.147542177398712,0.7199306107176958,17590016,104000,1189357.465,327.89,19391.698,59.979,17.126615483045427,10.5191298784389,0.0003906250058207661,5.32000012753997e-05,11395.496,-0.0019049593,11395.539,0.33047852,0.0032870267,1.5774384,0.025119999423623085
-394679.68061249505,-623885.4569781093,-498238.5369545925,1300.0,8,10400,False,114400,88,11,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_17-52-55,1708815175,1157.0819437503815,13250.344324111938,9528,Kurukshetra,192.168.68.14,13250.344324111938,114400,11,4,95766bb8,0,-4021.858747921884,1790.0056312084198,-1216.3284393154531,436.26312485462677,7.139945004309681,0.7187860376297138,19315200,114400,1193848.677,309.753,19291.655,2.704,17.036462749848578,10.584615384615384,0.00019531250291038305,4.999999873689376e-05,10384.369,-0.0021912674,10384.401,0.3465308,0.0045261267,1.5184482,0.019899999722838402
-349007.85274377314,-623885.4569781093,-488372.40903068194,1300.0,8,10400,False,124800,96,12,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_18-12-25,1708816345,1169.9679605960846,14420.312284708023,9528,Kurukshetra,192.168.68.14,14420.312284708023,124800,12,4,95766bb8,0,-4021.858747921884,1790.0056312084198,-1189.2788612182403,435.9940758922947,7.132804449812852,0.7177525169980821,21043968,124800,1176899.782,307.416,19067.32,2.679,16.744577591372078,10.601258238466148,9.765625145519152e-05,4.999999873689376e-05,9946.785,-0.0022542567,9946.816,0.36526644,0.0061402423,1.460799,0.01964000053703785
-300924.16964907025,-623885.4569781093,-475650.6870427899,1300.0,8,10400,False,135200,104,13,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_18-31-44,1708817504,1158.5689704418182,15578.881255149841,9528,Kurukshetra,192.168.68.14,15578.881255149841,135200,13,4,95766bb8,0,-4021.858747921884,1790.0056312084198,-1146.5330160603335,437.25051297796193,7.130821628375801,0.7166250960239228,22764672,135200,1162067.398,303.681,18832.945,2.613,16.970417422867513,10.633151845130065,4.882812572759576e-05,4.999999873689376e-05,9334.42,-0.0021001734,9334.448,0.3800361,0.0053870766,1.4011692,0.019379999488592148
-179822.0423964737,-623885.4569781093,-454142.5259271673,1300.0,8,10400,False,145600,112,14,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_18-48-51,1708818531,1026.6961023807526,16605.577357530594,9528,Kurukshetra,192.168.68.14,16605.577357530594,145600,14,4,95766bb8,0,-4021.858747921884,1790.0056312084198,-1080.5713474996842,438.4816058190036,7.125807670018175,0.7153122534016303,24374400,145600,1136825.1,297.207,18537.956,2.665,16.850443686006827,10.683686006825937,2.441406286379788e-05,4.999999873689376e-05,9904.701,-0.0014389661,9904.7295,0.39082557,0.0034150365,1.3525283,0.019120000302791595
-167673.27748992582,-623885.4569781093,-432584.347766882,1300.0,8,10400,False,156000,120,15,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_19-06-08,1708819568,1037.460979938507,17643.0383374691,9528,Kurukshetra,192.168.68.14,17643.0383374691,156000,15,4,95766bb8,0,-4021.858747921884,1790.0056312084198,-1025.3729680640988,437.7513829643157,7.110103282472749,0.7134624266278397,25992064,156000,1119909.333,298.314,18322.253,2.635,17.006212018906144,10.659756920999325,1.220703143189894e-05,4.999999873689376e-05,9999.102,-0.0014028256,9999.128,0.39759782,0.0035036996,1.3113384,0.018859999254345894
-96266.63560159554,-623885.4569781093,-406299.6723206877,1300.0,8,10400,False,166400,128,16,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_19-23-09,1708820589,1020.5065116882324,18663.544849157333,9528,Kurukshetra,192.168.68.14,18663.544849157333,166400,16,4,95766bb8,0,-4021.858747921884,1918.6513710021973,-962.8182476378297,435.9355556867957,7.0897567429244726,0.7114727865229143,27584000,166400,1098557.786,295.177,18035.362,2.652,16.90473901098901,10.602472527472527,6.10351571594947e-06,4.999999873689376e-05,10331.019,-0.0011239134,10331.042,0.40394682,0.0028447427,1.2700953,0.01860000006854534
-96266.63560159554,-623885.4569781093,-377450.17576097994,1300.0,8,10400,False,176800,136,17,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_19-40-58,1708821658,1068.9349830150604,19732.479832172394,9528,Kurukshetra,192.168.68.14,19732.479832172394,176800,17,4,95766bb8,0,-4021.858747921884,1990.0961570739746,-894.4528916822196,433.67133983163285,7.068582835022405,0.7096898575228,29223936,176800,1091477.691,294.327,17958.827,2.64,16.803409836065573,10.46216393442623,3.051757857974735e-06,4.999999873689376e-05,9895.439,-0.0011311119,9895.464,0.41791487,0.0030326147,1.2395502,0.01834000088274479
-17874.304542343583,-623885.4569781093,-338534.71886472823,1300.0,8,10400,False,187200,144,18,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_19-57-10,1708822630,972.8376648426056,20705.317497015,9528,Kurukshetra,192.168.68.14,20705.317497015,187200,18,4,95766bb8,0,-3936.517912035808,1990.0961570739746,-802.2339838970785,431.1192370761099,7.04693616633283,0.7079720701598837,30768256,187200,1070523.833,291.809,17796.426,2.663,16.575504322766573,10.471181556195965,1.5258789289873675e-06,4.999999873689376e-05,10928.154,-0.0010710459,10928.179,0.41866153,0.0031804154,1.2033594,0.018079999834299088
-17874.304542343583,-611573.1608103841,-299155.195084566,1300.0,8,10400,False,197600,152,19,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_20-14-01,1708823641,1010.135235786438,21715.452732801437,9528,Kurukshetra,192.168.68.14,21715.452732801437,197600,19,4,95766bb8,0,-3912.3276183148846,1990.0961570739746,-708.9153654934145,428.5515576140795,7.026187610732141,0.7064040132323325,32351872,197600,1053633.142,287.579,17624.324,2.683,16.98148404993065,10.457975034674062,7.629394644936838e-07,4.999999873689376e-05,10720.36,-0.001093374,10720.383,0.42395955,0.0034466034,1.1702979,0.017820000648498535
-6624.972340113367,-611573.1608103841,-258076.61542339373,1300.0,8,10400,False,208000,160,20,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_20-30-07,1708824607,966.1802990436554,22681.633031845093,9528,Kurukshetra,192.168.68.14,22681.633031845093,208000,20,4,95766bb8,0,-3912.3276183148846,1990.0961570739746,-611.5704529097696,426.01208265203127,7.0058567495620165,0.7049819565540225,33900160,208000,1040874.462,285.555,17496.963,2.627,17.06865021770682,10.497895500725692,3.814697322468419e-07,4.999999873689376e-05,11078.122,-0.00080708077,11078.143,0.42308876,0.0029135763,1.1358744,0.017559999600052834
-6624.972340113367,-543608.3139627777,-220352.96590738907,1300.0,8,10400,False,218400,168,21,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_20-48-14,1708825694,1087.199996471405,23768.833028316498,9528,Kurukshetra,192.168.68.14,23768.833028316498,218400,21,4,95766bb8,0,-3534.2596536293713,1990.0961570739746,-522.1881745755463,423.49801081784483,6.986437788333628,0.7038704143754834,35545472,218400,1033919.993,285.609,17463.062,2.668,16.871134020618555,10.532667525773196,1.9073486612342094e-07,4.999999873689376e-05,10055.768,-0.001074723,10055.788,0.427939,0.0038123706,1.1116991,0.01730000041425228
-6624.972340113367,-460848.80372315424,-187180.1980580484,1300.0,8,10400,False,228800,176,22,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_21-06-30,1708826790,1096.4808921813965,24865.313920497894,9528,Kurukshetra,192.168.68.14,24865.313920497894,228800,22,4,95766bb8,0,-3170.114388834685,2027.0304062366486,-443.5759942605062,421.18467373397436,6.9688063305371495,0.7030511752241091,37199872,228800,1026623.93,283.572,17413.237,2.664,16.904219948849104,10.6039641943734,9.536743306171047e-08,4.999999873689376e-05,10661.952,-0.001108741,10661.972,0.434944,0.0041001607,1.0749747,0.01703999936580658
52417.80525110474,-460848.80372315424,-151999.38233036903,1300.0,8,10400,False,239200,184,23,a05cb51cbafb46bdb5cbacb11f780daf,2024-02-24_21-22-33,1708827753,962.71897315979,25828.032893657684,9528,Kurukshetra,192.168.68.14,25828.032893657684,239200,23,4,95766bb8,0,-3002.841611303389,2050.426956295967,-360.20518112320264,418.9037412222132,6.951662973221144,0.702348113844737,38748672,239200,1007229.944,279.851,17227.924,2.719,17.178966521106258,10.583697234352256,4.7683716530855236e-08,4.999999873689376e-05,11387.656,-0.0006880228,11387.675,0.42836216,0.0024447013,1.0430073,0.016780000180006027
