episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/cur_kl_coeff,info/learner/shared_policy/cur_lr,info/learner/shared_policy/total_loss,info/learner/shared_policy/policy_loss,info/learner/shared_policy/vf_loss,info/learner/shared_policy/vf_explained_var,info/learner/shared_policy/kl,info/learner/shared_policy/entropy,info/learner/shared_policy/entropy_coeff
-1936199.5696089626,-2156882.454851183,-2041915.928005256,1300.0,8,10400,False,10400,8,1,cb6f1eea60984c35a875571b1d50a524,2024-03-11_23-08-06,1710212886,379.91886377334595,379.91886377334595,24008,COM2134,172.19.177.241,379.91886377334595,10400,1,4,d9adeb54,0,-15284.925657011569,491.4603579044342,-6273.167213533813,125.4618765756929,6.744276006054026,0.8312744940303464,1719552,10400,355328.313,400.808,23637.142,336.375,24.483609576427252,29.91915285451197,0.20000000298023224,9.999999747378752e-05,80194.55,-0.004540569,80194.695,8.366537e-06,0.008326807,1.4457524,0.10000000149011612
-1347241.3765075183,-2156882.454851183,-1762064.8667353366,1300.0,8,10400,False,20800,16,2,cb6f1eea60984c35a875571b1d50a524,2024-03-11_23-13-32,1710213212,325.6192970275879,705.5381608009338,24008,COM2134,172.19.177.241,705.5381608009338,20800,2,4,d9adeb54,0,-15284.925657011569,491.4603579044342,-6022.86645327182,121.34529207558273,6.5661269034674365,0.8288001533303802,3189120,20800,330678.087,327.918,21399.87,169.575,24.70883620689655,33.70431034482758,0.10000000149011612,9.480000153416768e-05,57908.652,-0.0049877497,57908.79,1.20028835e-05,0.010673891,1.4787594,0.09167999774217606
-948246.6378329427,-2156882.454851183,-1524617.6630377974,1300.0,8,10400,False,31200,24,3,cb6f1eea60984c35a875571b1d50a524,2024-03-11_23-18-16,1710213496,284.4786376953125,990.0167984962463,24008,COM2134,172.19.177.241,990.0167984962463,31200,3,4,d9adeb54,0,-15284.925657011569,491.4603579044342,-5762.334474473565,117.07427560159847,6.389895971547041,0.8251649279433924,4439296,31200,309697.835,286.023,19730.618,113.999,24.255418719211825,33.84014778325124,0.10000000149011612,8.959999831859022e-05,39662.375,-0.0046517933,39662.496,-7.463549e-09,0.0089708045,1.4983075,0.08336000144481659
-756201.6415797159,-2156882.454851183,-1340938.659263499,1300.0,8,10400,False,41600,32,4,cb6f1eea60984c35a875571b1d50a524,2024-03-11_23-22-22,1710213742,246.08371353149414,1236.1005120277405,24008,COM2134,172.19.177.241,1236.1005120277405,41600,4,4,d9adeb54,0,-15284.925657011569,491.4603579044342,-5482.309581759547,113.2567914944031,6.23259577678988,0.8218337406504069,5568256,41600,289965.455,260.588,18543.692,86.297,24.77094017094017,33.67806267806268,0.05000000074505806,8.440000237897038e-05,26939.074,-0.0031281011,26939.191,-3.6762955e-09,0.006873604,1.5111768,0.07503999769687653
-627186.1680295223,-2156882.454851183,-1203595.0906999074,1300.0,8,10400,False,52000,40,5,cb6f1eea60984c35a875571b1d50a524,2024-03-11_23-26-11,1710213971,228.74129366874695,1464.8418056964874,24008,COM2134,172.19.177.241,1464.8418056964874,52000,5,4,d9adeb54,0,-15284.925657011569,491.4603579044342,-5247.281049372893,109.93082833888188,6.0940528675100865,0.8189342523166584,6630272,52000,274908.637,241.799,17588.762,69.566,24.64403669724771,33.64067278287462,0.02500000037252903,7.919999916339293e-05,20020.172,-0.0020446896,20020.273,-6.6307204e-09,0.005166641,1.5154252,0.06672000139951706
-627186.1680295223,-2156882.454851183,-1122181.617435712,1300.0,8,10400,False,62400,48,6,cb6f1eea60984c35a875571b1d50a524,2024-03-11_23-30-24,1710214224,252.81153297424316,1717.6533386707306,24008,COM2134,172.19.177.241,1717.6533386707306,62400,6,4,d9adeb54,0,-15284.925657011569,491.4603579044342,-5030.794586430761,107.32775732001376,5.98528168291127,0.8167783152969609,7778944,62400,268702.355,232.775,17126.471,58.472,24.5875,33.69777777777777,0.012500000186264515,7.400000322377309e-05,20457.252,-0.002015407,20457.342,-5.6987726e-09,0.0037351209,1.5106659,0.058400001376867294
-511420.5418618462,-2156882.454851183,-1042606.9763415778,1300.0,8,10400,False,72800,56,7,cb6f1eea60984c35a875571b1d50a524,2024-03-11_23-34-05,1710214445,221.77421641349792,1939.4275550842285,24008,COM2134,172.19.177.241,1939.4275550842285,72800,7,4,d9adeb54,0,-15284.925657011569,491.4603579044342,-4861.043266599647,105.02417664266075,5.889122647695361,0.8146219220741931,8795136,72800,260077.605,221.916,16561.645,50.672,24.72902208201893,33.658044164037854,0.0062500000931322575,6.880000000819564e-05,16062.702,-0.0033978338,16062.778,-3.8515156e-09,0.004121344,1.4734507,0.05008000135421753
-511420.5418618462,-2156882.454851183,-986548.2482707368,1300.0,8,10400,False,83200,64,8,cb6f1eea60984c35a875571b1d50a524,2024-03-11_23-38-03,1710214683,237.70124340057373,2177.1287984848022,24008,COM2134,172.19.177.241,2177.1287984848022,83200,8,4,d9adeb54,0,-15284.925657011569,491.4603579044342,-4655.931560307289,103.09644720189465,5.809082530877196,0.8128935237207222,9889024,83200,255467.983,215.84,16266.481,44.727,24.65899705014749,33.577876106194694,0.0031250000465661287,6.359999679261819e-05,16240.202,-0.0028499188,16240.264,-5.774941e-09,0.003148392,1.438995,0.041760001331567764
-483618.46087299526,-2156882.454851183,-936346.7713374918,1300.0,8,10400,False,93600,72,9,cb6f1eea60984c35a875571b1d50a524,2024-03-11_23-41-56,1710214916,232.877503156662,2410.0063016414642,24008,COM2134,172.19.177.241,2410.0063016414642,93600,9,4,d9adeb54,0,-15284.925657011569,491.4603579044342,-4467.066494586497,101.42719690374379,5.739538757182476,0.8113521363458597,10945792,93600,251412.271,210.134,15973.05,40.036,24.75361445783133,33.568674698795185,0.0015625000232830644,5.8400000852998346e-05,14585.302,-0.0033645597,14585.352,-4.324513e-09,0.0054731346,1.3826542,0.033440001308918
-364796.1021532642,-2156882.454851183,-885383.0656068895,1300.0,8,10400,False,104000,80,10,cb6f1eea60984c35a875571b1d50a524,2024-03-11_23-45-24,1710215124,207.63168168067932,2617.6379833221436,24008,COM2134,172.19.177.241,2617.6379833221436,104000,10,4,d9adeb54,0,-15284.925657011569,491.4603579044342,-4305.552565105535,99.89984225678889,5.675803540396016,0.8098795292514651,11914112,104000,245754.686,204.414,15629.439,36.355,24.86891891891892,33.539864864864875,0.0007812500116415322,5.32000012753997e-05,11124.984,-0.0036827566,11125.021,-2.2770315e-09,0.0072447634,1.305706,0.025119999423623085
