episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
3274.559999999991,3144.0599999999745,3222.742499999995,3600.0,40,144000,False,144000,40,1,b87e3cfd3a134e119b088c0be1d01f4c,2024-02-20_12-22-19,1708449739,388.757928609848,388.757928609848,3814,COM2134,172.19.177.241,388.757928609848,144000,1,8,ae80d23e,0,11.308244554991589,7.458529489370567,0.7718395961005784,144000,144000,363189.03,287.184,24879.839,362.936,23.471531531531532,18.662702702702703,0.20000000298023224,0.0005000000237487257,40.421707,-0.015827777,40.432037,0.14492941,0.027483713,56.757694,0.0
3274.559999999991,3144.0599999999745,3223.658249999994,3600.0,40,144000,False,288000,80,2,b87e3cfd3a134e119b088c0be1d01f4c,2024-02-20_12-28-24,1708450104,365.2327330112457,753.9906616210938,3814,COM2134,172.19.177.241,753.9906616210938,288000,2,8,ae80d23e,0,10.937882911571316,7.516839618778785,0.77764225737596,288000,288000,351763.439,227.596,24792.322,183.215,23.50806142034549,21.088675623800384,0.20000000298023224,0.0005000000237487257,49.414425,-0.017374234,49.425003,0.19535075,0.0339788,56.707817,0.0
3274.559999999991,3144.0599999999745,3224.2913999999955,3600.0,40,144000,False,432000,120,3,b87e3cfd3a134e119b088c0be1d01f4c,2024-02-20_12-34-28,1708450468,363.79695677757263,1117.7876183986664,3814,COM2134,172.19.177.241,1117.7876183986664,432000,3,8,ae80d23e,0,10.654534562852838,7.577759578145517,0.7829969428788607,432000,432000,347475.417,203.395,24767.957,123.625,23.66974951830443,21.102697495183044,0.20000000298023224,0.0005000000237487257,53.32652,-0.020565826,53.339546,0.27414355,0.037727684,56.727825,0.0
3288.779999999988,3146.2199999999934,3225.632399999996,3600.0,40,144000,False,576000,160,4,b87e3cfd3a134e119b088c0be1d01f4c,2024-02-20_12-40-27,1708450827,359.11296343803406,1476.9005818367004,3814,COM2134,172.19.177.241,1476.9005818367004,576000,4,8,ae80d23e,0,10.336234374774408,7.630971455649574,0.7874043043929067,576000,576000,344145.36,192.154,24770.565,93.727,23.825146198830407,21.17134502923977,0.20000000298023224,0.0005000000237487257,58.570137,-0.018816005,58.581112,0.33816734,0.039195605,56.710423,0.0
3288.779999999988,3112.919999999993,3223.7693999999965,3600.0,40,144000,False,720000,200,5,b87e3cfd3a134e119b088c0be1d01f4c,2024-02-20_12-46-35,1708451195,368.04865169525146,1844.949233531952,3814,COM2134,172.19.177.241,1844.949233531952,720000,5,8,ae80d23e,0,10.216300544195853,7.659702057468319,0.7893925118890676,720000,720000,343954.952,185.138,24751.952,75.754,23.6912380952381,21.197333333333336,0.20000000298023224,0.0005000000237487257,67.10199,-0.019645339,67.113205,0.40850574,0.042128343,56.653416,0.0
3288.779999999988,3112.919999999993,3219.904799999994,3600.0,40,144000,False,864000,240,6,b87e3cfd3a134e119b088c0be1d01f4c,2024-02-20_12-52-43,1708451563,368.3593246936798,2213.3085582256317,3814,COM2134,172.19.177.241,2213.3085582256317,864000,6,8,ae80d23e,0,10.155659046538709,7.683429849408935,0.7911823307712931,864000,864000,343930.21,180.119,24689.518,63.714,23.50190476190476,21.2727619047619,0.30000001192092896,0.0005000000237487257,76.00909,-0.01978125,76.01771,0.45131174,0.03719956,56.70838,0.0
3277.440000000001,3144.5999999999767,3218.3891999999946,3600.0,40,144000,False,1008000,280,7,b87e3cfd3a134e119b088c0be1d01f4c,2024-02-20_12-58-55,1708451935,371.60325837135315,2584.911816596985,3814,COM2134,172.19.177.241,2584.911816596985,1008000,7,8,ae80d23e,0,10.123671720909183,7.699930609386609,0.7926397820566479,1008000,1008000,344429.746,177.076,24590.564,55.148,23.669622641509438,21.34584905660377,0.30000001192092896,0.0005000000237487257,87.96435,-0.019288968,87.972115,0.56528324,0.03844547,56.659027,0.0
3277.440000000001,3149.2799999999866,3221.3465999999967,3600.0,40,144000,False,1152000,320,8,b87e3cfd3a134e119b088c0be1d01f4c,2024-02-20_13-04-55,1708452295,360.02012157440186,2944.9319381713867,3814,COM2134,172.19.177.241,2944.9319381713867,1152000,8,8,ae80d23e,0,10.09247975687395,7.710322376954225,0.7934551695679494,1152000,1152000,343327.318,176.833,24543.262,48.867,23.74474708171206,21.398054474708175,0.30000001192092896,0.0005000000237487257,105.28873,-0.018964518,105.29624,0.47290832,0.03816768,56.6194,0.0
3273.2999999999806,3091.499999999988,3217.181399999996,3600.0,40,144000,False,1296000,360,9,b87e3cfd3a134e119b088c0be1d01f4c,2024-02-20_13-11-00,1708452660,365.3494691848755,3310.281407356262,3814,COM2134,172.19.177.241,3310.281407356262,1296000,9,8,ae80d23e,0,10.069422063553299,7.714779494966404,0.7937810913389413,1296000,1296000,343067.698,174.671,24503.047,43.845,23.730902111324376,21.485412667946253,0.30000001192092896,0.0005000000237487257,106.173454,-0.01960608,106.18114,0.62450534,0.039740734,56.657482,0.0
3273.2999999999806,3091.499999999988,3213.529199999994,3600.0,40,144000,False,1440000,400,10,b87e3cfd3a134e119b088c0be1d01f4c,2024-02-20_13-17-08,1708453028,367.3144054412842,3677.5958127975464,3814,COM2134,172.19.177.241,3677.5958127975464,1440000,10,8,ae80d23e,0,10.05487155536881,7.719474452003994,0.7941558477154378,1440000,1440000,343022.943,174.511,24502.165,39.79,23.801717557251905,21.32270992366412,0.30000001192092896,0.0005000000237487257,113.521935,-0.019490391,113.52951,0.63804036,0.03974918,56.70006,0.0
