episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/cur_kl_coeff,info/learner/shared_policy/cur_lr,info/learner/shared_policy/total_loss,info/learner/shared_policy/policy_loss,info/learner/shared_policy/vf_loss,info/learner/shared_policy/vf_explained_var,info/learner/shared_policy/kl,info/learner/shared_policy/entropy,info/learner/shared_policy/entropy_coeff
-202568.44965923578,-207326.8532231897,-204769.30752738813,3600.0,9,36000,False,36000,9,1,eb81be97f72743a0a1e70379d9af8750,2024-01-30_12-41-39,1706636499,161.5972020626068,161.5972020626068,1451,Kurukshetra,192.168.68.14,161.5972020626068,36000,1,9,6e371cc0,0,-4006.9397496059537,-15.12459483742714,-1630.9059891561888,32.91347559888347,2.452268818694764,0.7012649386125555,723968,36000,148892.791,160.082,11854.031,597.631,35.47705627705627,10.23116883116883,0.20000000298023224,9.999999747378752e-05,3542.376,-0.0020319887,3542.518,3.501426e-05,0.00047575112,1.4032761,0.10000000149011612
-194964.00430959463,-207326.8532231897,-200797.01558746563,3600.0,9,36000,False,72000,18,2,eb81be97f72743a0a1e70379d9af8750,2024-01-30_12-44-09,1706636649,149.62852478027344,311.22572684288025,1451,Kurukshetra,192.168.68.14,311.22572684288025,72000,2,9,6e371cc0,0,-4006.9397496059537,0.0,-1602.103847772332,32.360273756975765,2.463360747434541,0.7033074617378684,1427584,72000,143114.479,136.912,11981.486,300.27,35.5911214953271,10.81588785046729,0.10000000149011612,8.199999865610152e-05,3300.7427,-0.002653097,3300.844,8.904635e-05,0.0008318998,1.385094,0.07119999825954437
-188416.5480357483,-207326.8532231897,-197274.9824831152,3600.0,9,36000,False,108000,27,3,eb81be97f72743a0a1e70379d9af8750,2024-01-30_12-46-39,1706636799,150.00139737129211,461.22712421417236,1451,Kurukshetra,192.168.68.14,461.22712421417236,108000,3,9,6e371cc0,0,-4006.9397496059537,0.0,-1567.9789599776598,32.08055978915616,2.4671297530215037,0.7057994321727805,2122496,108000,141524.441,122.656,11818.84,201.252,35.59672897196262,10.942990654205609,0.05000000074505806,6.399999983841553e-05,3024.1833,-0.0028608944,3024.2434,0.0002493197,0.0011832828,1.3563296,0.042399998754262924
-178082.1906492412,-207326.8532231897,-193389.229350315,3600.0,9,36000,False,144000,36,4,eb81be97f72743a0a1e70379d9af8750,2024-01-30_12-49-04,1706636944,145.91651725769043,607.1436414718628,1451,Kurukshetra,192.168.68.14,607.1436414718628,144000,4,9,6e371cc0,0,-4006.9397496059537,0.0,-1528.0975102307593,31.835892085495693,2.4663578893974294,0.7068742540581463,2805248,144000,139675.917,117.628,11767.335,151.831,35.58605769230769,11.100000000000001,0.02500000037252903,4.999999873689376e-05,2706.5247,-0.0028452564,2706.5537,0.092842355,0.001442098,1.3184385,0.01979999989271164
-169419.64886479825,-207326.8532231897,-189195.9898137422,3600.0,9,36000,False,180000,45,5,eb81be97f72743a0a1e70379d9af8750,2024-01-30_12-51-29,1706637089,144.7807514667511,751.9243929386139,1451,Kurukshetra,192.168.68.14,751.9243929386139,180000,5,9,6e371cc0,0,-4006.9397496059537,0.0,-1491.5591348315345,31.643437931963824,2.465041059261158,0.708266470100999,3475072,180000,138483.539,111.33,11596.778,122.119,36.64492753623188,11.216908212560389,0.012500000186264515,4.999999873689376e-05,2360.6057,-0.002729517,2360.6326,0.2603536,0.0016617735,1.2859899,0.01889999955892563
-160404.05740760267,-207326.8532231897,-185089.05534851496,3600.0,9,36000,False,216000,54,6,eb81be97f72743a0a1e70379d9af8750,2024-01-30_12-53-47,1706637227,137.267564535141,889.1919574737549,1451,Kurukshetra,192.168.68.14,889.1919574737549,216000,6,9,6e371cc0,0,-4006.9397496059537,0.0,-1449.9940503147843,31.44230537766735,2.4624388205468533,0.7086206158230377,4136448,216000,136468.619,107.114,11450.773,102.274,35.86205128205128,11.278461538461539,0.0062500000931322575,4.999999873689376e-05,2072.4055,-0.0024660542,2072.4302,0.40529755,0.001870851,1.2498199,0.017999999225139618
-152819.10705789924,-207326.8532231897,-180923.59311612826,3600.0,9,36000,False,252000,63,7,eb81be97f72743a0a1e70379d9af8750,2024-01-30_12-56-05,1706637365,138.7799015045166,1027.9718589782715,1451,Kurukshetra,192.168.68.14,1027.9718589782715,252000,7,9,6e371cc0,0,-4006.9397496059537,0.22872504591941833,-1410.1430615261759,31.256332980939078,2.4603259446474333,0.7089827878825762,4781056,252000,135216.328,104.504,11375.545,88.09,35.56868686868687,11.277272727272731,0.0031250000465661287,4.999999873689376e-05,1807.7073,-0.0023549101,1807.7303,0.5079567,0.0019792106,1.2121297,0.017100000753998756
-145899.84114207327,-207326.8532231897,-176672.39632892463,3600.0,9,36000,False,288000,72,8,eb81be97f72743a0a1e70379d9af8750,2024-01-30_12-58-25,1706637505,139.25314736366272,1167.2250063419342,1451,Kurukshetra,192.168.68.14,1167.2250063419342,288000,8,9,6e371cc0,0,-4006.9397496059537,0.22872504591941833,-1369.8484315833055,31.092309977543884,2.4584934119863444,0.7094205828353243,5421952,288000,134372.228,102.027,11283.139,77.487,35.64321608040201,11.33316582914573,0.0015625000232830644,4.999999873689376e-05,1708.5425,-0.0020329652,1708.5634,0.55833775,0.0018953662,1.177178,0.016200000420212746
-129543.40129902959,-207326.8532231897,-169024.42354852086,3600.0,18,36000,False,324000,90,9,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-00-46,1706637646,141.10920333862305,1308.3342096805573,1451,Kurukshetra,192.168.68.14,1308.3342096805573,324000,9,9,6e371cc0,0,-4006.9397496059537,0.22872504591941833,-1297.7476641671112,30.80573817833716,2.4903513220243907,0.7096347327948017,6060416,324000,133948.311,99.546,11185.845,69.241,35.4318407960199,11.348258706467663,0.0007812500116415322,4.999999873689376e-05,1733.1489,-0.0017264304,1733.1682,0.5561319,0.0018482411,1.1425357,0.015300000086426735
-124531.77956441045,-207326.8532231897,-165540.76263245963,3600.0,9,36000,False,360000,99,10,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-02-59,1706637779,133.6820056438446,1442.0162153244019,1451,Kurukshetra,192.168.68.14,1442.0162153244019,360000,10,9,6e371cc0,0,-4006.9397496059537,0.22872504591941833,-1270.4291085746902,30.677443762888966,2.5000000965598743,0.7095073772770603,6698112,360000,132869.054,97.761,11105.282,62.628,35.1717277486911,11.40994764397906,0.0003906250058207661,4.999999873689376e-05,1603.5409,-0.0015078734,1603.5583,0.6654329,0.0017971072,1.1076924,0.014399999752640724
-123650.09862923622,-204083.42991458625,-158850.8689661929,3600.0,9,36000,False,396000,108,11,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-05-12,1706637912,132.36286163330078,1574.3790769577026,1451,Kurukshetra,192.168.68.14,1574.3790769577026,396000,11,9,6e371cc0,0,-3705.413282558322,0.22872504591941833,-1214.4561847568264,30.360159373680155,2.5106472045817476,0.7099576360508021,7333248,396000,130147.494,89.967,10973.803,3.154,35.574074074074076,11.414814814814818,0.00019531250291038305,4.999999873689376e-05,1296.4419,-0.0012306961,1296.4576,0.8022265,0.0014097745,1.0822868,0.013500000350177288
-116540.91674919426,-196383.13332089782,-151858.33818151883,3600.0,9,36000,False,432000,117,12,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-07-23,1706638043,131.24605059623718,1705.6251275539398,1451,Kurukshetra,192.168.68.14,1705.6251275539398,432000,12,9,6e371cc0,0,-3198.6117087751627,0.22872504591941833,-1154.7284478862355,30.095762573029603,2.518709144069417,0.7100444255086182,7958528,432000,128487.671,86.623,10799.416,3.181,35.76737967914438,11.449732620320857,9.765625145519152e-05,4.999999873689376e-05,1182.2135,-0.0012645159,1182.2278,0.8416299,0.0016045966,1.0433826,0.012600000016391277
-110393.43169507384,-193121.88146696985,-145225.7736556243,3600.0,9,36000,False,468000,126,13,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-09-35,1706638175,131.72633624076843,1837.3514637947083,1451,Kurukshetra,192.168.68.14,1837.3514637947083,468000,13,9,6e371cc0,0,-2866.337945394218,0.22872504591941833,-1101.5304433830727,29.84910417403949,2.5254803552893095,0.7096175132778758,8584832,468000,126775.403,85.358,10685.952,3.156,35.5654255319149,11.469148936170212,4.882812572759576e-05,4.999999873689376e-05,1175.4413,-0.0012662773,1175.4542,0.8652607,0.0017613076,1.0073327,0.011699999682605267
-104278.86148416996,-181814.51675023884,-138792.24070450276,3600.0,9,36000,False,504000,135,14,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-11-45,1706638305,130.48458194732666,1967.836045742035,1451,Kurukshetra,192.168.68.14,1967.836045742035,504000,14,9,6e371cc0,0,-2848.760647036135,0.22872504591941833,-1050.6604141143282,29.623987809233544,2.5320319547866657,0.7091435384237684,9205120,504000,125370.162,82.904,10551.263,3.129,35.56737967914439,11.465775401069518,2.441406286379788e-05,4.999999873689376e-05,1209.7681,-0.0010205447,1209.7795,0.8804795,0.0015563777,0.9695047,0.01080000028014183
-100324.64527359605,-172780.72077089548,-132591.1059085969,3600.0,9,36000,False,540000,144,15,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-13-53,1706638433,127.67560601234436,2095.5116517543793,1451,Kurukshetra,192.168.68.14,2095.5116517543793,540000,15,9,6e371cc0,0,-2673.4836657196283,0.22872504591941833,-1000.6875917629953,29.404498493318357,2.538296883339572,0.7083165901422285,9809536,540000,123748.715,81.744,10463.788,3.1,35.56153846153846,11.513186813186811,1.220703143189894e-05,4.999999873689376e-05,1364.9205,-0.00090072956,1364.9308,0.88276505,0.001602725,0.92741483,0.009920000098645687
-89803.47008441389,-164472.06867335737,-126430.87178791001,3600.0,9,36000,False,576000,153,16,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-16-00,1706638560,127.28420186042786,2222.795853614807,1451,Kurukshetra,192.168.68.14,2222.795853614807,576000,16,9,6e371cc0,0,-2475.5634289085865,0.22872504591941833,-950.2508214048104,29.206998148898844,2.544591994399963,0.7076886807059012,10410880,576000,122821.884,80.305,10394.139,3.116,35.50994475138122,11.565193370165742,6.10351571594947e-06,4.999999873689376e-05,1626.4374,-0.0007684482,1626.4464,0.8818635,0.0016472418,0.9036899,0.009200000204145908
-89667.3736230582,-158360.08610923588,-120940.73592033371,3600.0,9,36000,False,612000,162,17,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-18-07,1706638687,126.22759485244751,2349.0234484672546,1451,Kurukshetra,192.168.68.14,2349.0234484672546,612000,17,9,6e371cc0,0,-2475.5634289085865,0.0,-911.3845962346173,29.02207661132801,2.5504181260547956,0.7069859295205425,11004928,612000,121678.543,78.926,10283.852,3.188,35.35388888888889,11.561111111111108,3.051757857974735e-06,4.999999873689376e-05,1933.673,-0.00061485486,1933.6812,0.8785212,0.0014942385,0.8734881,0.00848000030964613
-78844.48905971646,-144982.97250938416,-111343.2079047256,3600.0,17,36000,False,648000,179,18,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-20-17,1706638817,130.258868932724,2479.2823173999786,1451,Kurukshetra,192.168.68.14,2479.2823173999786,648000,18,9,6e371cc0,0,-2475.5634289085865,0.0,-842.6154677215499,28.701884737920413,2.562044829937027,0.7055256487842132,11579392,648000,120890.62,77.392,10174.823,3.178,34.83440860215054,11.541935483870967,1.5258789289873675e-06,4.999999873689376e-05,2604.4675,-0.00044492923,2604.474,0.8612795,0.0012784025,0.83177865,0.0077599999494850636
-64557.99065233767,-138951.15888991952,-104600.96658098296,3600.0,10,36000,False,684000,189,19,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-22-15,1706638935,117.71227478981018,2596.994592189789,1451,Kurukshetra,192.168.68.14,2596.994592189789,684000,19,9,6e371cc0,0,-2326.5642846524715,0.0,-789.1434672273327,28.497473037352833,2.5577893910078084,0.7046665598986113,12120832,684000,118697.469,75.756,10030.684,3.163,34.92857142857142,11.56488095238095,7.629394644936838e-07,4.999999873689376e-05,2950.3691,-0.00043341596,2950.375,0.858538,0.00091080763,0.7798347,0.007040000054985285
-51478.68686684966,-131133.98890207708,-98259.7961603342,3600.0,9,36000,False,720000,198,20,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-24-04,1706639044,109.46303486824036,2706.457627058029,1451,Kurukshetra,192.168.68.14,2706.457627058029,720000,20,9,6e371cc0,0,-2135.5721806138754,0.0,-738.2958611491036,28.31307061682747,2.554573492647892,0.7040181530149769,12630784,720000,116476.341,73.695,9833.158,3.186,35.39235668789809,11.553503184713373,3.814697322468419e-07,4.999999873689376e-05,3024.361,-0.00044127915,3024.3662,0.8631166,0.0007565084,0.7344493,0.006320000160485506
-51478.68686684966,-128398.15652044117,-92074.58732049659,3600.0,9,36000,False,756000,207,21,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-25-49,1706639149,104.75673317909241,2811.2143602371216,1451,Kurukshetra,192.168.68.14,2811.2143602371216,756000,21,9,6e371cc0,0,-2009.6052635759115,0.0,-689.0263213387457,28.120483645225942,2.5518883374093657,0.7034199846067446,13111552,756000,113977.608,71.186,9575.174,3.255,35.40402684563758,11.400000000000002,1.9073486612342094e-07,4.999999873689376e-05,3188.2349,-0.00048407764,3188.239,0.8575553,0.00078931684,0.6845372,0.00559999980032444
-43941.913756385446,-121483.08080646396,-85743.0221828568,3600.0,9,36000,False,792000,216,22,eb81be97f72743a0a1e70379d9af8750,2024-01-30_13-27-31,1706639251,102.15497589111328,2913.369336128235,1451,Kurukshetra,192.168.68.14,2913.369336128235,792000,22,9,6e371cc0,0,-1848.0465347468853,0.0,-640.3033543638026,27.918172975585705,2.5494425488714083,0.7027921583926378,13580160,792000,111332.742,68.875,9314.019,3.276,35.429452054794524,11.407534246575345,9.536743306171047e-08,4.999999873689376e-05,3071.6006,-0.00047696286,3071.6045,0.8599266,0.0007255503,0.6600119,0.004879999905824661
