episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-8252.747963488911,-12522.159010251005,-10120.78100851611,3600.0,8,36000,False,36000,8,1,89f3ec126bab45f799f6c1e05370e873,2023-12-19_03-06-53,1702973213,97.7153742313385,97.7153742313385,23909,Kurukshetra,192.168.68.14,97.7153742313385,36000,1,8,51f4df4c,0,15.625067759573273,1.1622486488452224,0.9872839664911794,35968,36000,84656.633,124.027,11220.422,1616.84,93.07357142857143,36.065000000000005,0.20000000298023224,4.999999873689376e-05,6713.143,-0.0028991783,6713.145,-1.7329892e-06,0.0049213762,7.0977015,0.0
-7844.923260670985,-12522.159010251005,-9438.914819581898,3600.0,8,36000,False,72000,16,2,89f3ec126bab45f799f6c1e05370e873,2023-12-19_03-08-18,1702973298,84.58723402023315,182.30260825157166,23909,Kurukshetra,192.168.68.14,182.30260825157166,72000,2,8,51f4df4c,0,15.426408584438608,1.162188108620139,0.9957834630209053,71936,72000,81322.135,74.016,8887.491,811.497,93.20413223140496,36.04876033057852,0.10000000149011612,4.999999873689376e-05,5032.188,-0.0029140129,5032.1904,-3.894453e-07,0.007049269,7.0647573,0.0
-7642.754830267419,-12522.159010251005,-9133.9634694352,3600.0,8,36000,False,108000,24,3,89f3ec126bab45f799f6c1e05370e873,2023-12-19_03-09-43,1702973383,85.31051683425903,267.6131250858307,23909,Kurukshetra,192.168.68.14,267.6131250858307,108000,3,8,51f4df4c,0,15.317518072539736,1.1662036398095468,0.9983039565693446,107904,108000,80310.757,54.139,8254.463,542.825,93.11404958677687,36.11570247933884,0.05000000074505806,4.999999873689376e-05,4396.858,-0.0037792353,4396.8613,-8.760398e-08,0.008419212,7.085137,0.0
-6795.588286320059,-12522.159010251005,-8575.438896857495,3600.0,14,36000,False,144000,38,4,89f3ec126bab45f799f6c1e05370e873,2023-12-19_03-11-12,1702973472,88.41649842262268,356.02962350845337,23909,Kurukshetra,192.168.68.14,356.02962350845337,144000,4,8,51f4df4c,0,15.151773052881149,1.2439003708124752,1.0005239138800672,143872,144000,80804.319,43.812,7714.613,408.907,90.97401574803152,36.11811023622049,0.02500000037252903,4.999999873689376e-05,3509.972,-0.0022546188,3509.974,-1.9090455e-08,0.008029036,7.0224857,0.0
-6548.407417451607,-12522.159010251005,-8316.045986082803,3600.0,10,36000,False,180000,48,5,89f3ec126bab45f799f6c1e05370e873,2023-12-19_03-12-35,1702973555,83.40794110298157,439.43756461143494,23909,Kurukshetra,192.168.68.14,439.43756461143494,180000,5,8,51f4df4c,0,15.083796554990466,1.2716064311271909,0.9997225514003453,179840,180000,79939.539,36.916,7550.395,328.335,93.35378151260504,36.0949579831933,0.012500000186264515,4.999999873689376e-05,3329.0818,-0.0019063934,3329.0837,-7.2119497e-09,0.008793326,6.980426,0.0
-5933.262306308381,-12522.159010251005,-8118.052637459608,3600.0,8,36000,False,216000,56,6,89f3ec126bab45f799f6c1e05370e873,2023-12-19_03-13-58,1702973638,82.61196327209473,522.0495278835297,23909,Kurukshetra,192.168.68.14,522.0495278835297,216000,6,8,51f4df4c,0,15.030340400245162,1.2803457921373755,0.9993796520233732,215808,216000,79260.846,32.655,7411.078,274.295,93.42735042735043,36.143589743589736,0.0062500000931322575,4.999999873689376e-05,3305.223,-0.0019953463,3305.2249,-6.7877175e-09,0.007888585,6.97643,0.0
-5933.262306308381,-12522.159010251005,-7959.814832603164,3600.0,8,36000,False,252000,64,7,89f3ec126bab45f799f6c1e05370e873,2023-12-19_03-15-21,1702973721,83.22168064117432,605.271208524704,23909,Kurukshetra,192.168.68.14,605.271208524704,252000,7,8,51f4df4c,0,14.988644852246466,1.2842190469574344,0.999310352458933,251776,252000,78960.605,30.217,7213.062,236.004,92.46554621848739,36.16134453781513,0.0031250000465661287,4.999999873689376e-05,3218.9412,-0.0020548012,3218.943,-4.0302073e-09,0.008033657,6.987695,0.0
-5825.270153305362,-12522.159010251005,-7788.294325769609,3600.0,15,36000,False,288000,79,8,89f3ec126bab45f799f6c1e05370e873,2023-12-19_03-16-50,1702973810,89.08808827400208,694.359296798706,23909,Kurukshetra,192.168.68.14,694.359296798706,288000,8,8,51f4df4c,0,14.919540215940552,1.3094061577023826,0.9997866022473864,287744,288000,79465.082,28.219,7068.655,207.252,91.26220472440944,36.162992125984246,0.0015625000232830644,4.999999873689376e-05,3107.5913,-0.0027580198,3107.594,-5.7271365e-09,0.007870917,6.9715867,0.0
-5401.95583509318,-12522.159010251005,-7656.835153316435,3600.0,9,36000,False,324000,88,9,89f3ec126bab45f799f6c1e05370e873,2023-12-19_03-18-06,1702973886,76.17719888687134,770.5364956855774,23909,Kurukshetra,192.168.68.14,770.5364956855774,324000,9,8,51f4df4c,0,14.874917983166705,1.3201739397328822,0.9995135978906113,323712,324000,78442.196,26.257,6937.633,184.829,92.51284403669723,36.18899082568806,0.0007812500116415322,4.999999873689376e-05,2867.0562,-0.0024765525,2867.0588,-4.2423234e-10,0.010266402,6.9062576,0.0
-5229.771880374865,-12522.159010251005,-7568.033222309493,3600.0,8,36000,False,360000,96,10,89f3ec126bab45f799f6c1e05370e873,2023-12-19_03-19-28,1702973968,82.18493437767029,852.7214300632477,23909,Kurukshetra,192.168.68.14,852.7214300632477,360000,10,8,51f4df4c,0,14.837319762836687,1.32647131858622,0.9997753302602388,359680,360000,78131.566,24.938,6924.052,167.059,92.7803418803419,36.19658119658119,0.0007812500116415322,4.999999873689376e-05,2763.7485,-0.0024725639,2763.751,4.2423234e-09,0.00972954,6.8217196,0.0
