episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-9357.987147045784,-10912.109899857704,-9946.814661040144,3600.0,8,36000,False,36000,8,1,fa2c1bd8b0bd41ee93202b8779201a81,2023-12-18_21-03-14,1702951394,92.88360929489136,92.88360929489136,5184,Kurukshetra,192.168.68.14,92.88360929489136,36000,1,8,889eb640,0,15.88968504133555,1.115772988853975,0.9714381821100349,35968,36000,85527.084,128.489,6304.096,870.417,91.83533834586466,34.03609022556392,0.20000000298023224,4.999999873689376e-05,6564.4126,-0.002344452,6564.414,-1.2858483e-06,0.004304767,7.082639,0.0
-8728.421195121207,-10912.109899857704,-9655.75910384316,3600.0,8,36000,False,72000,16,2,fa2c1bd8b0bd41ee93202b8779201a81,2023-12-18_21-04-32,1702951472,78.25290131568909,171.13651061058044,5184,Kurukshetra,192.168.68.14,171.13651061058044,72000,2,8,889eb640,0,15.382147685051958,1.108706082871387,0.9544019677764618,71936,72000,78901.788,70.511,6124.313,438.642,92.4964285714286,34.55625000000001,0.10000000149011612,4.999999873689376e-05,5334.393,-0.0032296071,5334.396,-3.3493143e-07,0.0070626694,7.076683,0.0
-7671.452306039905,-10912.109899857704,-9287.910263018399,3600.0,8,36000,False,108000,24,3,fa2c1bd8b0bd41ee93202b8779201a81,2023-12-18_21-05-49,1702951549,76.41024088859558,247.54675149917603,5184,Kurukshetra,192.168.68.14,247.54675149917603,108000,3,8,889eb640,0,15.056006009896072,1.106227547486924,0.9420111527759859,107904,108000,76274.108,49.558,5872.331,294.154,93.01467889908258,34.62293577981651,0.05000000074505806,4.999999873689376e-05,4699.202,-0.0028134924,4699.2046,-1.12209456e-07,0.00778081,7.071501,0.0
-6460.452982964689,-10912.109899857704,-8726.264774579451,3600.0,15,36000,False,144000,39,4,fa2c1bd8b0bd41ee93202b8779201a81,2023-12-18_21-07-13,1702951633,84.8338680267334,332.3806195259094,5184,Kurukshetra,192.168.68.14,332.3806195259094,144000,4,8,889eb640,0,14.76625585454537,1.1945610880910802,0.9350885156746666,143872,144000,77097.699,39.439,5714.396,221.925,92.5504132231405,34.68512396694214,0.02500000037252903,4.999999873689376e-05,3714.522,-0.002950824,3714.5247,-2.6938753e-08,0.007998956,7.061609,0.0
-6460.452982964689,-10912.109899857704,-8424.38216035194,3600.0,9,36000,False,180000,48,5,fa2c1bd8b0bd41ee93202b8779201a81,2023-12-18_21-08-30,1702951710,76.43972849845886,408.8203480243683,5184,Kurukshetra,192.168.68.14,408.8203480243683,180000,5,8,889eb640,0,14.647465790265363,1.215293893083779,0.9316052698913421,179840,180000,75849.54,33.731,5682.698,178.576,92.25963302752295,34.61284403669725,0.012500000186264515,4.999999873689376e-05,3396.2505,-0.0022734585,3396.2527,-9.757344e-09,0.009104941,6.995951,0.0
-5995.542048893501,-10912.109899857704,-8250.793012482947,3600.0,8,36000,False,216000,56,6,fa2c1bd8b0bd41ee93202b8779201a81,2023-12-18_21-09-47,1702951787,77.24358892440796,486.06393694877625,5184,Kurukshetra,192.168.68.14,486.06393694877625,216000,6,8,889eb640,0,14.557292887783587,1.2236651811835197,0.9294368080072939,215808,216000,75147.913,29.52,5665.543,149.797,92.56272727272727,34.60909090909091,0.0062500000931322575,4.999999873689376e-05,3321.626,-0.0015745375,3321.6274,-1.0817925e-08,0.008728378,6.9446025,0.0
-5719.322409900146,-10912.109899857704,-8068.842478449382,3600.0,8,36000,False,252000,64,7,fa2c1bd8b0bd41ee93202b8779201a81,2023-12-18_21-11-04,1702951864,76.37076878547668,562.4347057342529,5184,Kurukshetra,192.168.68.14,562.4347057342529,252000,7,8,889eb640,0,14.477298598335624,1.2271841169980229,0.927566375901156,251776,252000,74460.963,26.554,5713.879,129.109,92.70825688073396,34.62110091743119,0.0031250000465661287,4.999999873689376e-05,2706.9692,-0.0024663208,2706.9714,-7.2119497e-09,0.010380966,6.8362713,0.0
-4969.176235784494,-10912.109899857704,-7700.487029617854,3600.0,15,36000,False,288000,79,8,fa2c1bd8b0bd41ee93202b8779201a81,2023-12-18_21-12-27,1702951947,83.3643856048584,645.7990913391113,5184,Kurukshetra,192.168.68.14,645.7990913391113,288000,8,8,889eb640,0,14.36231652189014,1.2512680129527785,0.9253161679934547,287744,288000,74898.422,24.459,5671.824,113.678,91.44537815126048,34.631932773109234,0.0031250000465661287,4.999999873689376e-05,2229.309,-0.0031376204,2229.312,-1.5696596e-08,0.008731571,6.8290005,0.0
-4969.176235784494,-10912.109899857704,-7503.634776973678,3600.0,9,36000,False,324000,88,9,fa2c1bd8b0bd41ee93202b8779201a81,2023-12-18_21-13-41,1702952021,74.47273349761963,720.271824836731,5184,Kurukshetra,192.168.68.14,720.271824836731,324000,9,8,889eb640,0,14.300179765135073,1.2602410478362136,0.9240922165323145,323712,324000,74209.688,22.61,5680.059,101.638,91.26603773584904,34.717924528301886,0.0015625000232830644,4.999999873689376e-05,2233.366,-0.0013474401,2233.3672,-3.6059749e-09,0.0070448075,6.8096495,0.0
-4969.176235784494,-10912.109899857704,-7390.661494074564,3600.0,8,36000,False,360000,96,10,fa2c1bd8b0bd41ee93202b8779201a81,2023-12-18_21-14-55,1702952095,73.80463767051697,794.0764625072479,5184,Kurukshetra,192.168.68.14,794.0764625072479,360000,10,8,889eb640,0,14.247149602204379,1.2649288943106374,0.923142291212578,359680,360000,73590.339,21.66,5687.266,92.031,91.93396226415092,34.76037735849057,0.0007812500116415322,4.999999873689376e-05,2390.5063,-0.0027884615,2390.5093,-5.0907882e-09,0.009173806,6.7859173,0.0
