episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-4042.570248173659,-4893.843864035685,-4526.073958451756,2500.0,8,25000,False,25000,8,1,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-36-20,1700778980,46.29727125167847,46.29727125167847,31380,COM2134,172.19.177.241,46.29727125167847,25000,1,8,9a601ff2,0,10.2607752665989,1.0526681263493272,0.800915445953617,24960,25000,41084.245,76.128,4579.114,507.962,52.81044776119403,38.65820895522389,0.20000000298023224,4.999999873689376e-05,2553.892,-0.0039373185,2553.8945,-1.855997e-05,0.006162996,7.0970216,0.0
-4042.570248173659,-5081.192694260332,-4615.913117058652,2500.0,8,25000,False,50000,16,2,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-37-03,1700779023,43.370607137680054,89.66787838935852,31380,COM2134,172.19.177.241,89.66787838935852,50000,2,8,9a601ff2,0,10.272581008976282,1.071625243670102,0.8183650016535144,49920,50000,40348.074,41.308,4157.767,256.385,70.09354838709677,47.109677419354846,0.10000000149011612,4.999999873689376e-05,2767.1487,-0.0032369136,2767.1514,-3.6147924e-06,0.0058567096,7.084911,0.0
-3267.0146329412623,-5081.192694260332,-4370.536345141604,2500.0,8,25000,False,75000,24,3,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-37-44,1700779064,40.719154834747314,130.38703322410583,31380,COM2134,172.19.177.241,130.38703322410583,75000,3,8,9a601ff2,0,10.212457668608971,1.0819437738288848,0.8267140751252738,74880,75000,39367.555,30.392,3868.787,172.633,69.76896551724138,47.07241379310344,0.05000000074505806,4.999999873689376e-05,2014.3395,-0.0041762656,2014.3433,-7.9106064e-07,0.008802504,7.051898,0.0
-2972.6536600550303,-5081.192694260332,-4122.148240252336,2500.0,13,25000,False,100000,37,4,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-38-25,1700779105,41.21587061882019,171.60290384292603,31380,COM2134,172.19.177.241,171.60290384292603,100000,4,8,9a601ff2,0,10.069647104399058,1.1495673661205708,0.8330140115440335,99840,100000,39028.473,24.239,3697.487,131.198,68.70172413793104,47.08793103448276,0.02500000037252903,4.999999873689376e-05,1545.7131,-0.0023292291,1545.7151,-4.1325887e-07,0.0057736943,7.0938106,0.0
-2972.6536600550303,-5081.192694260332,-3919.6708834976976,2500.0,11,25000,False,125000,48,5,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-39-04,1700779144,39.043760776519775,210.6466646194458,31380,COM2134,172.19.177.241,210.6466646194458,125000,5,8,9a601ff2,0,9.983871753298374,1.1832381829421734,0.8366278094280221,124800,125000,38443.734,20.744,3541.75,105.917,67.81785714285715,47.083928571428565,0.012500000186264515,4.999999873689376e-05,1269.3441,-0.0034407442,1269.3474,-1.0178639e-07,0.0090118125,7.10036,0.0
-2750.2297631107704,-5081.192694260332,-3788.8972510349777,2500.0,8,25000,False,150000,56,6,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-39-42,1700779182,37.65589261054993,248.30255722999573,31380,COM2134,172.19.177.241,248.30255722999573,150000,6,8,9a601ff2,0,9.919337959732104,1.1943898020940462,0.8382877371816483,149760,150000,37874.05,18.412,3386.557,89.198,70.04629629629629,47.027777777777764,0.0062500000931322575,4.999999873689376e-05,1102.8145,-0.003983868,1102.8185,-3.973643e-08,0.009302576,7.101599,0.0
-2599.2632770468454,-5081.192694260332,-3667.5740896081625,2500.0,8,25000,False,175000,64,7,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-40-19,1700779219,37.085813760757446,285.3883709907532,31380,COM2134,172.19.177.241,285.3883709907532,175000,7,8,9a601ff2,0,9.856258836494568,1.2004723444596113,0.8395492568757996,174720,175000,37386.908,16.699,3274.83,77.063,69.83018867924527,47.1132075471698,0.0031250000465661287,4.999999873689376e-05,917.15594,-0.0033432515,917.15924,-2.200787e-08,0.008481347,7.0663667,0.0
-1811.3986346471988,-5081.192694260332,-3445.8645573042877,2500.0,15,25000,False,200000,79,8,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-40-59,1700779259,39.674962520599365,325.06333351135254,31380,COM2134,172.19.177.241,325.06333351135254,200000,8,8,9a601ff2,0,9.749887463732462,1.2236579742103655,0.8412312779357097,199680,200000,37289.81,15.317,3246.316,67.897,66.80892857142858,47.083928571428565,0.0015625000232830644,4.999999873689376e-05,719.99023,-0.0030171892,719.9933,-1.0392605e-08,0.008992903,7.072008,0.0
-1445.757830914649,-5081.192694260332,-3298.24341662707,2500.0,9,25000,False,225000,88,9,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-41-34,1700779294,35.5089111328125,360.57224464416504,31380,COM2134,172.19.177.241,360.57224464416504,225000,9,8,9a601ff2,0,9.68721757767529,1.2322162403808568,0.8419016132610552,224640,225000,36763.774,14.321,3211.445,60.868,66.72549019607844,47.062745098039215,0.0007812500116415322,4.999999873689376e-05,431.71286,-0.004068755,431.71695,-1.8339891e-08,0.0105491355,7.027017,0.0
-985.2461776458958,-5081.192694260332,-3155.3885435439074,2500.0,8,25000,False,250000,96,10,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-42-07,1700779327,33.19185256958008,393.7640972137451,31380,COM2134,172.19.177.241,393.7640972137451,250000,10,8,9a601ff2,0,9.626957375589313,1.2369049560508356,0.8424109144008654,249600,250000,36115.679,13.51,3179.112,55.343,69.36595744680852,47.10212765957445,0.0007812500116415322,4.999999873689376e-05,324.08002,-0.0017754185,324.08176,-9.4756105e-09,0.006920571,6.972839,0.0
-951.072065862363,-5081.192694260332,-2953.4378214324197,2500.0,8,25000,False,275000,104,11,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-42-39,1700779359,31.710575819015503,425.4746730327606,31380,COM2134,172.19.177.241,425.4746730327606,275000,11,8,9a601ff2,0,9.533181702605205,1.2466736385270267,0.8447392610810524,274560,275000,34896.042,6.493,3001.479,5.072,68.50652173913043,47.08260869565217,0.0003906250058207661,4.999999873689376e-05,186.3986,-0.004585944,186.40317,-4.279308e-09,0.012083081,6.845852,0.0
-916.4542134831,-4242.551145061193,-2486.2709482337086,2500.0,14,25000,False,300000,118,12,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-43-13,1700779393,33.42004036903381,458.89471340179443,31380,COM2134,172.19.177.241,458.89471340179443,300000,12,8,9a601ff2,0,9.305811660596811,1.2805193695615893,0.8473325163109631,299520,300000,33954.442,6.466,2948.314,5.009,66.44255319148935,47.16808510638297,0.0003906250058207661,4.999999873689376e-05,142.17775,-0.0030067319,142.18076,-9.1699454e-10,0.010028419,6.8161545,0.0
-916.4542134831,-4242.551145061193,-2225.5072049276073,2500.0,10,25000,False,325000,128,13,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-43-45,1700779425,32.014909744262695,490.90962314605713,31380,COM2134,172.19.177.241,490.90962314605713,325000,13,8,9a601ff2,0,9.157122019408721,1.2931086011258472,0.847488041838155,324480,325000,33096.513,6.343,2935.741,5.026,66.7391304347826,47.147826086956535,0.0003906250058207661,4.999999873689376e-05,149.67072,-0.003595137,149.67432,-3.0566485e-09,0.008453859,6.767102,0.0
-901.1332634069356,-4242.551145061193,-2016.9349856283911,2500.0,8,25000,False,350000,136,14,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-44-15,1700779455,30.620864391326904,521.530487537384,31380,COM2134,172.19.177.241,521.530487537384,350000,14,8,9a601ff2,0,9.037904090871717,1.294993868848108,0.8475036739950409,349440,350000,32028.269,6.599,2944.358,4.791,67.33863636363637,47.22045454545455,0.00019531250291038305,4.999999873689376e-05,112.31771,-0.004703426,112.3224,-8.252951e-09,0.008525315,6.8042836,0.0
-901.1332634069356,-3298.337637596803,-1844.7543629327513,2500.0,8,25000,False,375000,144,15,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-44-47,1700779487,31.548408031463623,553.0788955688477,31380,COM2134,172.19.177.241,553.0788955688477,375000,15,8,9a601ff2,0,8.918374335359358,1.2962135909985124,0.846904737723433,374400,375000,31271.778,6.664,2951.379,4.779,65.7,47.19333333333333,9.765625145519152e-05,4.999999873689376e-05,166.01192,-0.0041821143,166.0161,-7.0302915e-09,0.0124606155,6.8105345,0.0
-898.0503188585953,-3072.95119668969,-1574.0645072217899,2500.0,14,25000,False,400000,158,16,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-45-20,1700779520,33.37102556228638,586.449921131134,31380,COM2134,172.19.177.241,586.449921131134,400000,16,8,9a601ff2,0,8.71853392446841,1.3039810062673163,0.8463032918026464,399360,400000,30765.867,6.615,3028.7,4.611,65.53829787234042,47.23829787234044,9.765625145519152e-05,4.999999873689376e-05,111.332535,-0.0050805476,111.33762,-6.418962e-09,0.012781041,6.721504,0.0
-882.2617745546905,-2968.182298190943,-1404.0905180788975,2500.0,10,25000,False,425000,168,17,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-45-51,1700779551,30.625789165496826,617.0757102966309,31380,COM2134,172.19.177.241,617.0757102966309,425000,17,8,9a601ff2,0,8.588036436692166,1.3084533355979031,0.8456895096093584,424320,425000,30064.531,6.623,3083.755,4.745,66.47954545454546,47.22954545454545,9.765625145519152e-05,4.999999873689376e-05,69.53123,-0.0019195783,69.53315,-1.6505902e-08,0.0066297664,6.605644,0.0
-882.2617745546905,-2968.182298190943,-1275.6274990185232,2500.0,8,25000,False,450000,176,18,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-46-20,1700779580,29.45451855659485,646.5302288532257,31380,COM2134,172.19.177.241,646.5302288532257,450000,18,8,9a601ff2,0,8.477619402727958,1.3068034702597475,0.8448184351816026,449280,450000,29042.063,6.69,3084.05,4.891,67.1142857142857,47.26190476190476,4.882812572759576e-05,4.999999873689376e-05,65.3886,-0.0021264444,65.390724,-8.864281e-09,0.007288696,6.556671,0.0
-881.6027863879503,-2476.755606918051,-1150.3957744764346,2500.0,9,25000,False,475000,185,19,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-46-51,1700779611,30.386146068572998,676.9163749217987,31380,COM2134,172.19.177.241,676.9163749217987,475000,19,8,9a601ff2,0,8.355717061486887,1.3066066202822824,0.8441623963412588,474240,475000,28529.773,6.807,3084.062,4.939,62.93863636363637,47.23409090909092,2.441406286379788e-05,4.999999873689376e-05,64.880325,-0.0013321299,64.88167,-1.5283242e-09,0.006264178,6.54858,0.0
-881.6027863879503,-2076.3872995479437,-1061.601762108516,2500.0,12,25000,False,500000,197,20,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-47-23,1700779643,32.3362398147583,709.252614736557,31380,COM2134,172.19.177.241,709.252614736557,500000,20,8,9a601ff2,0,8.207575063940991,1.3100870298239278,0.8429006859671955,499200,500000,28405.599,6.956,3122.629,4.812,65.15869565217392,47.228260869565226,1.220703143189894e-05,4.999999873689376e-05,65.08056,-0.0024325699,65.082985,-4.584973e-09,0.008566634,6.4737716,0.0
-878.9960968828804,-2059.826842056253,-1016.2278947596267,2500.0,11,25000,False,525000,208,21,4b1a7d30e6144e92b100823bc796828f,2023-11-23_17-47-54,1700779674,30.77863383293152,740.0312485694885,31380,COM2134,172.19.177.241,740.0312485694885,525000,21,8,9a601ff2,0,8.094720538809428,1.3138271660983627,0.8419251386500907,524160,525000,28284.317,6.972,3150.677,4.785,66.37727272727274,47.21363636363637,6.10351571594947e-06,4.999999873689376e-05,61.98098,-0.0025355497,61.98352,-3.0566485e-09,0.009454611,6.4262614,0.0
