episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-4064.237095473367,-5279.636362525906,-4701.896293865735,2500.0,8,25000,False,25000,8,1,3e93f9cff11445a6ac341a5bc9a50f71,2023-11-23_11-02-36,1700755356,39.44786334037781,39.44786334037781,6917,COM2134,172.19.177.241,39.44786334037781,25000,1,8,9dcce94a,0,8.851677408480153,0.9659800243149378,0.6696011186504641,24960,25000,35622.056,45.259,3220.517,524.376,43.621052631578955,30.471929824561403,0.20000000298023224,4.999999873689376e-05,2914.796,-0.0030848791,2914.798,-1.1638189e-05,0.0043299263,7.134408,0.0
-4064.237095473367,-5279.636362525906,-4525.726747403503,2500.0,8,25000,False,50000,16,2,3e93f9cff11445a6ac341a5bc9a50f71,2023-11-23_11-03-10,1700755390,34.57099509239197,74.01885843276978,6917,COM2134,172.19.177.241,74.01885843276978,50000,2,8,9dcce94a,0,8.681874868429569,0.9754467579871281,0.6745472109265362,49920,50000,33547.878,26.613,3149.065,264.225,46.30612244897958,31.593877551020412,0.10000000149011612,4.999999873689376e-05,2323.641,-0.005355471,2323.6455,-1.7661315e-06,0.008789873,7.117243,0.0
-3438.4877826520683,-5279.636362525906,-4359.306063499555,2500.0,8,25000,False,75000,24,3,3e93f9cff11445a6ac341a5bc9a50f71,2023-11-23_11-03-44,1700755424,33.54552245140076,107.56438088417053,6917,COM2134,172.19.177.241,107.56438088417053,75000,3,8,9dcce94a,0,8.544903020093981,0.981354423201683,0.6769116469084985,74880,75000,32535.039,19.489,3105.696,177.576,45.84166666666667,31.710416666666664,0.05000000074505806,4.999999873689376e-05,1965.0077,-0.0029839315,1965.0103,-8.152081e-07,0.0066738767,7.13854,0.0
-3408.0863455233202,-5279.636362525906,-4157.208949298106,2500.0,13,25000,False,100000,37,4,3e93f9cff11445a6ac341a5bc9a50f71,2023-11-23_11-04-18,1700755458,34.28195381164551,141.84633469581604,6917,COM2134,172.19.177.241,141.84633469581604,100000,4,8,9dcce94a,0,8.376038816231016,1.0351708810411782,0.6779455429217041,99840,100000,32390.319,15.887,2906.597,134.208,44.77346938775511,31.687755102040818,0.02500000037252903,4.999999873689376e-05,1923.2915,-0.0037018764,1923.2949,-3.7535642e-07,0.009731541,7.0886006,0.0
-2763.5124159846105,-5279.636362525906,-3977.3953398127214,2500.0,11,25000,False,125000,48,5,3e93f9cff11445a6ac341a5bc9a50f71,2023-11-23_11-04-50,1700755490,31.495640993118286,173.34197568893433,6917,COM2134,172.19.177.241,173.34197568893433,125000,5,8,9dcce94a,0,8.275365237630306,1.0611446065974308,0.6777565515557414,124800,125000,31720.876,13.768,2812.312,108.192,44.33555555555555,31.693333333333335,0.012500000186264515,4.999999873689376e-05,1334.9115,-0.002694842,1334.9141,-9.842408e-08,0.008531167,7.0519743,0.0
-2763.5124159846105,-5279.636362525906,-3848.8630496530977,2500.0,8,25000,False,150000,56,6,3e93f9cff11445a6ac341a5bc9a50f71,2023-11-23_11-05-20,1700755520,30.318929433822632,203.66090512275696,6917,COM2134,172.19.177.241,203.66090512275696,150000,6,8,9dcce94a,0,8.199593402543584,1.0688123663046951,0.6773288703177631,149760,150000,31042.448,12.343,2785.547,90.933,45.39302325581395,31.70930232558139,0.0062500000931322575,4.999999873689376e-05,1131.0051,-0.0042114747,1131.0093,-4.8295046e-08,0.010981943,6.9820724,0.0
-1894.9471809242646,-5279.636362525906,-3716.278766439924,2500.0,8,25000,False,175000,64,7,3e93f9cff11445a6ac341a5bc9a50f71,2023-11-23_11-05-50,1700755550,30.137211799621582,233.79811692237854,6917,COM2134,172.19.177.241,233.79811692237854,175000,7,8,9dcce94a,0,8.127127308422928,1.072177319463836,0.6768732800098389,174720,175000,30529.174,11.301,2769.116,78.559,45.17906976744186,31.70930232558139,0.0062500000931322575,4.999999873689376e-05,953.0287,-0.00357049,953.03235,-3.1789146e-08,0.010039745,6.8981495,0.0
-1003.7933441177076,-5279.636362525906,-3476.967095594535,2500.0,13,25000,False,200000,77,8,3e93f9cff11445a6ac341a5bc9a50f71,2023-11-23_11-06-20,1700755580,30.22227144241333,264.02038836479187,6917,COM2134,172.19.177.241,264.02038836479187,200000,8,8,9dcce94a,0,8.007575298327271,1.0843890511162064,0.6756768325646746,199680,200000,30166.012,10.517,2745.645,69.331,42.4953488372093,31.723255813953482,0.0062500000931322575,4.999999873689376e-05,596.692,-0.003573438,596.6956,7.0302915e-09,0.010115471,6.8157315,0.0
-920.9135972850275,-5279.636362525906,-3307.2117058298577,2500.0,10,25000,False,225000,87,9,3e93f9cff11445a6ac341a5bc9a50f71,2023-11-23_11-06-48,1700755608,28.01785159111023,292.0382399559021,6917,COM2134,172.19.177.241,292.0382399559021,225000,9,8,9dcce94a,0,7.928235689970265,1.091291992588374,0.6747875517797632,224640,225000,29670.26,9.915,2695.674,62.172,43.3375,31.72,0.0062500000931322575,4.999999873689376e-05,474.4798,-0.0029475298,474.4827,-4.279308e-09,0.007911972,6.788857,0.0
-905.7393546203664,-5279.636362525906,-3141.774304392189,2500.0,9,25000,False,250000,96,10,3e93f9cff11445a6ac341a5bc9a50f71,2023-11-23_11-07-15,1700755635,26.81873846054077,318.85697841644287,6917,COM2134,172.19.177.241,318.85697841644287,250000,10,8,9dcce94a,0,7.857922742463219,1.0956548303183797,0.6742118287933603,249600,250000,29145.031,9.445,2664.395,56.366,43.99230769230769,31.743589743589745,0.0031250000465661287,4.999999873689376e-05,288.55325,-0.0019291242,288.55518,-1.1615264e-08,0.00448558,6.7647862,0.0
