episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-9236.927625471226,-10580.284500871692,-9996.95287043855,3600.0,8,36000,False,36000,8,1,eac749548c254cba8d91c0847deaed45,2023-12-18_21-03-06,1702951386,92.27166891098022,92.27166891098022,4602,Kurukshetra,192.168.68.14,92.27166891098022,36000,1,8,857b9852,0,15.889285791293563,1.1387395498090775,1.0090678139198683,35968,36000,84730.799,95.89,6354.896,1041.291,91.0848484848485,33.39242424242425,0.20000000298023224,4.999999873689376e-05,6324.196,-0.0014659667,6324.197,-3.0534122e-06,0.002598225,7.0566306,0.0
-8841.233145174812,-10580.284500871692,-9621.541763979245,3600.0,8,36000,False,72000,16,2,eac749548c254cba8d91c0847deaed45,2023-12-18_21-04-27,1702951467,80.7661645412445,173.03783345222473,4602,Kurukshetra,192.168.68.14,173.03783345222473,72000,2,8,857b9852,0,15.45801547299552,1.1289924478802267,0.9822050311126244,71936,72000,79744.306,54.066,6167.403,523.238,91.34347826086957,34.54608695652175,0.10000000149011612,4.999999873689376e-05,6343.7876,-0.0029888898,6343.79,-5.5107785e-07,0.0066867713,7.037909,0.0
-8610.472577099055,-11114.320550506458,-9599.401398654869,3600.0,8,36000,False,108000,24,3,eac749548c254cba8d91c0847deaed45,2023-12-18_21-05-49,1702951549,82.1664502620697,255.20428371429443,4602,Kurukshetra,192.168.68.14,255.20428371429443,108000,3,8,857b9852,0,15.279492138987338,1.124906480787053,0.9688437334707465,107904,108000,78649.657,38.783,6003.781,350.627,91.63389830508476,34.6228813559322,0.05000000074505806,4.999999873689376e-05,5208.233,-0.0037191354,5208.237,-2.4817592e-08,0.008583805,6.9854307,0.0
-7556.301484111136,-11114.320550506458,-9191.25932831348,3600.0,15,36000,False,144000,39,4,eac749548c254cba8d91c0847deaed45,2023-12-18_21-07-17,1702951637,87.54099869728088,342.7452824115753,4602,Kurukshetra,192.168.68.14,342.7452824115753,144000,4,8,857b9852,0,15.101763372130817,1.2129634916940442,0.9594542247567974,143872,144000,79462.643,31.35,5906.131,264.536,91.9792,34.68080000000001,0.02500000037252903,4.999999873689376e-05,4541.17,-0.003490728,4541.1733,-2.439336e-08,0.009333694,6.9455423,0.0
-6997.465916792158,-11114.320550506458,-8999.10755269923,3600.0,9,36000,False,180000,48,5,eac749548c254cba8d91c0847deaed45,2023-12-18_21-08-36,1702951716,78.54242777824402,421.28771018981934,4602,Kurukshetra,192.168.68.14,421.28771018981934,180000,5,8,857b9852,0,15.013000218626795,1.234634458501576,0.9566009456924173,179840,180000,78114.24,26.825,5883.956,212.907,91.88928571428572,34.61160714285715,0.012500000186264515,4.999999873689376e-05,4227.6284,-0.003037624,4227.632,-1.2090622e-08,0.009335333,6.897819,0.0
-6017.032990654311,-11114.320550506458,-8764.042856680766,3600.0,8,36000,False,216000,56,6,eac749548c254cba8d91c0847deaed45,2023-12-18_21-09-54,1702951794,78.19369006156921,499.48140025138855,4602,Kurukshetra,192.168.68.14,499.48140025138855,216000,6,8,857b9852,0,14.93313720310869,1.242020137242309,0.9536252122491049,215808,216000,77143.836,23.727,5882.659,178.264,92.42432432432433,34.61081081081081,0.0062500000931322575,4.999999873689376e-05,3735.0027,-0.0023270142,3735.005,-2.333278e-09,0.007962208,6.8369827,0.0
-6017.032990654311,-11114.320550506458,-8590.619558521897,3600.0,8,36000,False,252000,64,7,eac749548c254cba8d91c0847deaed45,2023-12-18_21-11-12,1702951872,78.44430804252625,577.9257082939148,4602,Kurukshetra,192.168.68.14,577.9257082939148,252000,7,8,857b9852,0,14.859267543308853,1.2443182430271191,0.9510507995261879,251776,252000,76489.91,21.456,5877.078,154.305,92.58839285714285,34.619642857142864,0.0031250000465661287,4.999999873689376e-05,3008.8706,-0.0022601797,3008.8728,-3.818091e-09,0.008584033,6.8256507,0.0
-5595.749098442453,-11114.320550506458,-8237.607152462662,3600.0,15,36000,False,288000,79,8,eac749548c254cba8d91c0847deaed45,2023-12-18_21-12-35,1702951955,82.48166060447693,660.4073688983917,4602,Kurukshetra,192.168.68.14,660.4073688983917,288000,8,8,857b9852,0,14.731168176663797,1.2687200843763569,0.9473751311035499,287744,288000,76519.35,20.147,5858.156,135.753,91.25593220338982,34.64322033898304,0.0015625000232830644,4.999999873689376e-05,3311.5361,-0.003210156,3311.5396,-1.5060248e-08,0.010392585,6.7724237,0.0
-5302.734697649473,-11114.320550506458,-8055.012333950909,3600.0,9,36000,False,324000,88,9,eac749548c254cba8d91c0847deaed45,2023-12-18_21-13-50,1702952030,75.52303576469421,735.9304046630859,4602,Kurukshetra,192.168.68.14,735.9304046630859,324000,9,8,857b9852,0,14.665362582153564,1.2781544559055102,0.9458254505266677,323712,324000,75765.738,18.843,5846.631,121.419,91.34629629629629,34.72592592592593,0.0015625000232830644,4.999999873689376e-05,2810.3804,-0.0020911477,2810.3823,0.0,0.009467397,6.7240925,0.0
-5302.734697649473,-11114.320550506458,-7930.220731945546,3600.0,8,36000,False,360000,96,10,eac749548c254cba8d91c0847deaed45,2023-12-18_21-15-04,1702952104,74.0068097114563,809.9372143745422,4602,Kurukshetra,192.168.68.14,809.9372143745422,360000,10,8,857b9852,0,14.605149842375965,1.2830430335467875,0.9444917265974256,359680,360000,75013.178,18.039,5835.707,109.871,92.47714285714287,34.761904761904766,0.0007812500116415322,4.999999873689376e-05,2777.868,-0.001554243,2777.8694,2.333278e-09,0.007508824,6.65841,0.0
