episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/follower,policy_reward_max/follower,policy_reward_mean/follower,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/follower/cur_kl_coeff,info/learner/follower/cur_lr,info/learner/follower/total_loss,info/learner/follower/policy_loss,info/learner/follower/vf_loss,info/learner/follower/vf_explained_var,info/learner/follower/kl,info/learner/follower/entropy,info/learner/follower/entropy_coeff
-841014.1630885594,-3418575.3075824124,-1347545.6487286994,4500.0,8,45000,False,45000,8,1,31d041cb80854d35b9014dfcbd7e7064,2024-02-11_20-31-26,1707701486,95.81531834602356,95.81531834602356,31582,Kurukshetra,192.168.68.14,95.81531834602356,45000,1,4,33361ae0,0,-3026198.4045259734,-137842.09809830005,-449181.88290956646,5.552608819734191,1.9684962915840551,0.43666291238707644,134912,45000,93141.771,55.973,2003.993,574.754,16.700000000000003,13.467153284671532,0.20000000298023224,9.999999747378752e-05,98603960.0,0.002628382,98603960.0,9.735802e-07,0.008253992,1.5119228,0.10000000149011612
-841014.1630885594,-3418575.3075824124,-1217744.8289523276,4500.0,10,45000,False,90000,18,2,31d041cb80854d35b9014dfcbd7e7064,2024-02-11_20-32-58,1707701578,92.43821907043457,188.25353741645813,31582,Kurukshetra,192.168.68.14,188.25353741645813,90000,2,4,33361ae0,0,-3026198.4045259734,-104928.07647263055,-405914.9429841094,5.306732902241628,2.1168671392779235,0.43602839357484996,269824,90000,91871.115,37.288,1903.442,288.729,16.293181818181818,13.941666666666668,0.10000000149011612,7.750000077066943e-05,121889110.0,0.0010224764,121889110.0,1.3628765e-07,0.0065827025,1.5994053,0.06400000303983688
-763632.8608906112,-3609600.5921493117,-1229357.8062528407,4500.0,10,45000,False,135000,28,3,31d041cb80854d35b9014dfcbd7e7064,2024-02-11_20-34-26,1707701666,87.52441048622131,275.77794790267944,31582,Kurukshetra,192.168.68.14,275.77794790267944,135000,3,4,33361ae0,0,-3325931.469420739,-87802.12828528238,-409785.9354176137,5.186802297525652,2.182023454694381,0.43596568312007544,404736,135000,89808.573,30.921,1871.426,193.306,16.907200000000003,14.118399999999994,0.05000000074505806,5.500000042957254e-05,33631190.0,0.00028371066,33631190.0,1.15646586e-07,0.001053868,1.6314499,0.02800000086426735
-763632.8608906112,-3609600.5921493117,-1237233.9132817066,4500.0,10,45000,False,180000,38,4,31d041cb80854d35b9014dfcbd7e7064,2024-02-11_20-35-57,1707701757,91.24896669387817,367.0269145965576,31582,Kurukshetra,192.168.68.14,367.0269145965576,180000,4,4,33361ae0,0,-3325931.469420739,-87802.12828528238,-412411.3044272356,5.123721722909471,2.2291598802865016,0.4387186273729847,539648,180000,89712.306,27.798,1851.138,145.64,17.37461538461538,14.213846153846154,0.02500000037252903,4.999999873689376e-05,121196200.0,0.00024362194,121196200.0,1.136673e-08,0.0007900339,1.6544963,0.01912499964237213
-763632.8608906112,-3609600.5921493117,-1221438.04523556,4500.0,10,45000,False,225000,48,5,31d041cb80854d35b9014dfcbd7e7064,2024-02-11_20-37-26,1707701846,89.12974739074707,456.1566619873047,31582,Kurukshetra,192.168.68.14,456.1566619873047,225000,5,4,33361ae0,0,-3325931.469420739,-87802.12828528238,-407146.01507852,5.080028520658035,2.2618618716986423,0.4404656127157036,674560,225000,89223.804,25.992,1845.523,117.09,16.934375,14.388281250000002,0.012500000186264515,4.999999873689376e-05,58124910.0,0.00014366467,58124910.0,3.279952e-09,0.0004110191,1.6655244,0.017999999225139618
-763632.8608906112,-3609600.5921493117,-1201048.9786733917,4500.0,10,45000,False,270000,58,6,31d041cb80854d35b9014dfcbd7e7064,2024-02-11_20-38-55,1707701935,89.19443678855896,545.3510987758636,31582,Kurukshetra,192.168.68.14,545.3510987758636,270000,6,4,33361ae0,0,-3325931.469420739,-87802.12828528238,-400349.65955779736,5.04704545954304,2.2856360887269025,0.4417118715727676,809472,270000,88913.065,24.812,1837.933,98.022,17.11102362204725,14.548818897637792,0.0062500000931322575,4.999999873689376e-05,60802900.0,0.00020615188,60802900.0,4.1282155e-09,0.00045010675,1.6737549,0.016875000670552254
-763632.8608906112,-3609600.5921493117,-1219429.0044371358,4500.0,10,45000,False,315000,68,7,31d041cb80854d35b9014dfcbd7e7064,2024-02-11_20-40-24,1707702024,89.22717547416687,634.5782742500305,31582,Kurukshetra,192.168.68.14,634.5782742500305,315000,7,4,33361ae0,0,-3325931.469420739,-87802.12828528238,-406476.33481237857,5.022152781150801,2.3044160782885976,0.4427499525958685,944384,315000,88692.238,23.951,1835.935,84.419,17.140157480314958,14.739370078740162,0.0031250000465661287,4.999999873689376e-05,148718930.0,0.00010323321,148718930.0,-4.2978683e-09,0.0006318825,1.693542,0.01575000025331974
-763632.8608906112,-3609600.5921493117,-1240556.8722809593,4500.0,10,45000,False,360000,78,8,31d041cb80854d35b9014dfcbd7e7064,2024-02-11_20-41-54,1707702114,89.3092360496521,723.8875102996826,31582,Kurukshetra,192.168.68.14,723.8875102996826,360000,8,4,33361ae0,0,-3325931.469420739,-87802.12828528238,-413518.95742698637,5.001874742236364,2.319301171818315,0.44361554724270374,1079296,360000,88538.798,23.354,1832.487,74.234,17.11328125,14.914062500000002,0.0015625000232830644,4.999999873689376e-05,102006270.0,5.1397867e-05,102006270.0,-1.131018e-09,0.0003935413,1.7139045,0.014624999836087227
-653162.5686423219,-3609600.5921493117,-1238620.0878309386,4500.0,10,45000,False,405000,88,9,31d041cb80854d35b9014dfcbd7e7064,2024-02-11_20-43-24,1707702204,89.9900918006897,813.8776021003723,31582,Kurukshetra,192.168.68.14,813.8776021003723,405000,9,4,33361ae0,0,-3325931.469420739,-80987.18070108123,-412873.3626103127,4.986203602945104,2.331873173120045,0.44444000138448947,1214208,405000,88493.719,22.882,1831.118,66.343,17.092968749999997,15.109374999999995,0.0007812500116415322,4.999999873689376e-05,103815830.0,0.0002041898,103815830.0,-4.806826e-09,0.00034409852,1.7322804,0.013500000350177288
-653162.5686423219,-3609600.5921493117,-1203356.4967180893,4500.0,10,45000,False,450000,98,10,31d041cb80854d35b9014dfcbd7e7064,2024-02-11_20-44-54,1707702294,90.42503786087036,904.3026399612427,31582,Kurukshetra,192.168.68.14,904.3026399612427,450000,10,4,33361ae0,0,-3325931.469420739,-80987.18070108123,-401118.83223936294,4.973012496203978,2.34231580065366,0.44521978341184626,1349120,450000,88503.465,22.471,1827.806,60.03,17.107751937984496,15.274418604651164,0.0003906250058207661,4.999999873689376e-05,24183602.0,8.587187e-05,24183602.0,-5.3157843e-09,0.00033578114,1.7423599,0.012374999932944775
