episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/follower,policy_reward_max/follower,policy_reward_mean/follower,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/follower/cur_kl_coeff,info/learner/follower/cur_lr,info/learner/follower/total_loss,info/learner/follower/policy_loss,info/learner/follower/vf_loss,info/learner/follower/vf_explained_var,info/learner/follower/kl,info/learner/follower/entropy,info/learner/follower/entropy_coeff
-1150081.5521811824,-1725728.4037466745,-1231718.69500727,4500.0,8,45000,False,45000,8,1,d7853124cbba4267a65435823a6dee7d,2024-02-15_14-38-59,1708025939,119.9918577671051,119.9918577671051,3475,Kurukshetra,192.168.68.14,119.9918577671051,45000,1,4,92538b0c,0,-863169.0274695525,-61837.98960506143,-153964.83687590846,7.129270336973798,2.11622386984684,0.5535178550105202,359936,45000,114004.291,153.235,5062.049,707.299,18.3046511627907,8.150581395348837,0.20000000298023224,9.999999747378752e-05,7605726.0,0.0028900686,7605726.0,6.125797e-08,0.00652053,1.4948792,0.10000000149011612
-1146815.2073692756,-1725728.4037466745,-1282082.4098365505,4500.0,10,45000,False,90000,18,2,d7853124cbba4267a65435823a6dee7d,2024-02-15_14-40-52,1708026052,112.87783813476562,232.86969590187073,3475,Kurukshetra,192.168.68.14,232.86969590187073,90000,2,4,92538b0c,0,-941441.4573034688,-47861.79294668899,-160260.30122956855,6.832860116019077,2.2618952460872683,0.5363243408579709,719872,90000,111086.646,105.601,4835.77,355.545,17.113043478260867,8.883229813664597,0.10000000149011612,7.750000077066943e-05,14343624.0,0.0019482732,14343624.0,-4.0273407e-09,0.003964594,1.5605586,0.06400000303983688
-1146815.2073692756,-3382092.334455212,-1336590.0190252184,4500.0,10,45000,False,135000,28,3,d7853124cbba4267a65435823a6dee7d,2024-02-15_14-42-35,1708026155,103.24225091934204,336.11194682121277,3475,Kurukshetra,192.168.68.14,336.11194682121277,135000,3,4,92538b0c,0,-1942826.0039725665,-47861.79294668899,-167073.75237815242,6.657965411805228,2.310515509201299,0.5195958595639502,1079808,135000,106928.693,89.547,4735.89,237.823,16.78639455782313,9.008163265306123,0.05000000074505806,5.500000042957254e-05,30395850.0,0.00038764902,30395850.0,-6.910069e-09,0.0018380692,1.6107835,0.02800000086426735
-1146815.2073692756,-3382092.334455212,-1324995.0375823749,4500.0,11,45000,False,180000,39,4,d7853124cbba4267a65435823a6dee7d,2024-02-15_14-44-29,1708026269,113.54362416267395,449.6555709838867,3475,Kurukshetra,192.168.68.14,449.6555709838867,180000,4,4,92538b0c,0,-1942826.0039725665,-47861.79294668899,-165624.37969779686,6.536526252731427,2.3550897666533848,0.507906972745146,1439744,180000,107416.595,83.026,4692.646,179.041,16.220370370370368,9.233333333333334,0.02500000037252903,4.999999873689376e-05,8813016.0,0.00011807748,8813016.0,-5.0871676e-09,0.0008096789,1.6539752,0.01912499964237213
-1146815.2073692756,-3382092.334455212,-1332853.319574231,4500.0,9,45000,False,225000,48,5,d7853124cbba4267a65435823a6dee7d,2024-02-15_14-46-11,1708026371,102.27856659889221,551.9341375827789,3475,Kurukshetra,192.168.68.14,551.9341375827789,225000,5,4,92538b0c,0,-1942826.0039725665,-47861.79294668899,-166606.66494677894,6.4674243871672585,2.3687676181063924,0.5007846051280015,1799680,225000,105451.999,77.963,4672.196,143.823,16.856164383561644,9.452054794520548,0.012500000186264515,4.999999873689376e-05,15205925.0,0.00016567632,15205925.0,-5.3839186e-09,0.0005457636,1.6721328,0.017999999225139618
-1142509.4881362428,-3382092.334455212,-1344852.620256533,4500.0,11,45000,False,270000,59,6,d7853124cbba4267a65435823a6dee7d,2024-02-15_14-47-59,1708026479,107.52444982528687,659.4585874080658,3475,Kurukshetra,192.168.68.14,659.4585874080658,270000,6,4,92538b0c,0,-1942826.0039725665,-47861.79294668899,-168106.57753206667,6.402040917030262,2.3884650723942467,0.49377014851835194,2159616,270000,104986.182,74.601,4688.751,120.306,17.049999999999997,9.614935064935064,0.0062500000931322575,4.999999873689376e-05,21970380.0,0.0002071787,21970380.0,-2.2680289e-09,0.00049865636,1.686569,0.016875000670552254
-1142509.4881362428,-3382092.334455212,-1355991.3352164591,4500.0,9,45000,False,315000,68,7,d7853124cbba4267a65435823a6dee7d,2024-02-15_14-50-23,1708026623,144.30858421325684,803.7671716213226,3475,Kurukshetra,192.168.68.14,803.7671716213226,315000,7,4,92538b0c,0,-1942826.0039725665,-47861.79294668899,-169498.9169020575,6.406130308235194,2.410728516896644,0.49751531805226534,2519552,315000,109679.916,75.493,4923.32,103.546,29.018932038834954,10.426699029126215,0.0031250000465661287,4.999999873689376e-05,29084032.0,0.00010765998,29084032.0,-3.11589e-09,0.0011410011,1.7113202,0.01575000025331974
-1111434.292390519,-3382092.334455212,-1355063.2813271962,4500.0,11,45000,False,360000,79,8,d7853124cbba4267a65435823a6dee7d,2024-02-15_14-52-56,1708026776,152.68400406837463,956.4511756896973,3475,Kurukshetra,192.168.68.14,956.4511756896973,360000,8,4,92538b0c,0,-1942826.0039725665,-47861.79294668899,-169382.91016589964,6.443393532280085,2.449409121921737,0.5074218310376565,2879488,360000,114240.505,73.23,5107.473,91.147,32.0815668202765,10.912442396313367,0.0015625000232830644,4.999999873689376e-05,14254890.0,8.603265e-05,14254890.0,-2.9887108e-09,0.0006411255,1.7311243,0.014624999836087227
-1111434.292390519,-3382092.334455212,-1372563.2711055998,4500.0,9,45000,False,405000,88,9,d7853124cbba4267a65435823a6dee7d,2024-02-15_14-54-57,1708026897,121.42186212539673,1077.873037815094,3475,Kurukshetra,192.168.68.14,1077.873037815094,405000,9,4,92538b0c,0,-1942826.0039725665,-47861.79294668899,-171570.4088882001,6.471944612085374,2.4731071167741634,0.5148283958592111,3239424,405000,114506.576,71.673,5060.952,81.529,23.920689655172414,11.123563218390805,0.0007812500116415322,4.999999873689376e-05,31526248.0,0.00015522135,31526248.0,-4.3664854e-09,0.0009206069,1.7604803,0.013500000350177288
-1078232.9845875476,-3382092.334455212,-1358655.9174728633,4500.0,11,45000,False,450000,99,10,d7853124cbba4267a65435823a6dee7d,2024-02-15_14-56-47,1708027007,110.22507524490356,1188.0981130599976,3475,Kurukshetra,192.168.68.14,1188.0981130599976,450000,10,4,92538b0c,0,-1942826.0039725665,-47861.79294668899,-169831.98968410803,6.491776721495225,2.4961804302261577,0.5207517591193922,3599360,450000,113579.251,70.81,5043.848,73.658,16.955414012738853,11.328025477707007,0.0003906250058207661,4.999999873689376e-05,10828523.0,6.490378e-08,10828523.0,-6.1681904e-09,0.0003848268,1.7685825,0.012374999932944775
-1078232.9845875476,-3382092.334455212,-1360103.6448019233,4500.0,9,45000,False,495000,108,11,d7853124cbba4267a65435823a6dee7d,2024-02-15_14-58-40,1708027120,112.67314743995667,1300.7712604999542,3475,Kurukshetra,192.168.68.14,1300.7712604999542,495000,11,4,92538b0c,0,-1942826.0039725665,-47861.79294668899,-170012.95560024053,6.455144784735,2.5413753097149594,0.5224601037441727,3959296,495000,112981.153,61.325,4993.161,3.187,19.773291925465838,10.808695652173913,0.00019531250291038305,4.999999873689376e-05,15795662.0,0.00011146713,15795662.0,-5.1295603e-09,0.0006924453,1.7946018,0.011250000447034836
-1075399.7283853234,-3382092.334455212,-1373043.062459971,4500.0,11,45000,False,540000,119,12,d7853124cbba4267a65435823a6dee7d,2024-02-15_15-00-39,1708027239,118.97375679016113,1419.7450172901154,3475,Kurukshetra,192.168.68.14,1419.7450172901154,540000,12,4,92538b0c,0,-1942826.0039725665,-50063.57145602809,-171630.38280749656,6.460334155500834,2.5739057150846936,0.5274713041351404,4319232,540000,113395.8,65.693,5183.503,3.101,20.17396449704142,10.817751479289942,9.765625145519152e-05,4.999999873689376e-05,25384340.0,0.00010335132,25384340.0,-4.6844333e-09,0.000499496,1.7962228,0.010125000029802322
-1074720.5512090886,-2828196.061039532,-1349318.3270266054,4500.0,9,45000,False,585000,128,13,d7853124cbba4267a65435823a6dee7d,2024-02-15_15-03-11,1708027391,151.41140842437744,1571.1564257144928,3475,Kurukshetra,192.168.68.14,1571.1564257144928,585000,13,4,92538b0c,0,-1707176.3764234383,-50063.57145602809,-168664.7908783258,6.500488383296323,2.6040500310681303,0.5369449198769084,4679168,585000,117985.843,71.105,5401.777,3.167,32.6221198156682,11.551612903225807,4.882812572759576e-05,4.999999873689376e-05,8376346.0,-5.4527227e-05,8376346.0,-4.324092e-09,0.0005775282,1.7916229,0.009999999776482582
-1049303.87290521,-2828196.061039532,-1357226.448232222,4500.0,11,45000,False,630000,139,14,d7853124cbba4267a65435823a6dee7d,2024-02-15_15-05-46,1708027546,155.08180737495422,1726.238233089447,3475,Kurukshetra,192.168.68.14,1726.238233089447,630000,14,4,92538b0c,0,-1707176.3764234383,-50559.17333203237,-169653.30602902788,6.5754423701416,2.6387314612678843,0.5524070675264983,5039104,630000,122015.124,74.951,5521.62,3.494,33.0027149321267,11.934841628959278,2.441406286379788e-05,4.999999873689376e-05,30357146.0,-1.5754555e-05,30357146.0,-1.9500808e-09,0.0010359517,1.8187104,0.009999999776482582
-1049303.87290521,-2828196.061039532,-1349589.2040807114,4500.0,9,45000,False,675000,148,15,d7853124cbba4267a65435823a6dee7d,2024-02-15_15-08-16,1708027696,150.53729581832886,1876.7755289077759,3475,Kurukshetra,192.168.68.14,1876.7755289077759,675000,15,4,92538b0c,0,-1707176.3764234383,-55165.75507823747,-168698.65051008898,6.651711381653781,2.6729101827861435,0.5676674354773502,5399040,675000,126629.187,79.558,5726.4,3.549,32.052093023255814,12.39162790697674,1.220703143189894e-05,4.999999873689376e-05,16743108.0,6.333574e-05,16743108.0,-4.557254e-09,0.0006662659,1.8529909,0.009999999776482582
-1049303.87290521,-2828196.061039532,-1333216.6807727464,4500.0,11,45000,False,720000,159,16,d7853124cbba4267a65435823a6dee7d,2024-02-15_15-10-51,1708027851,154.60571098327637,2031.3812398910522,3475,Kurukshetra,192.168.68.14,2031.3812398910522,720000,16,4,92538b0c,0,-1707176.3764234383,-55165.75507823747,-166652.0850965933,6.759631143109377,2.7148261123959205,0.5888991302127273,5758976,720000,131154.287,84.3,5902.239,3.746,32.73863636363636,12.598181818181816,6.10351571594947e-06,4.999999873689376e-05,10374829.0,0.000104611834,10374829.0,-5.2779363e-09,0.0003992789,1.8541255,0.009999999776482582
-1014949.3372222763,-2612158.327022906,-1307680.754006857,4500.0,9,45000,False,765000,168,17,d7853124cbba4267a65435823a6dee7d,2024-02-15_15-13-19,1708027999,148.1226532459259,2179.503893136978,3475,Kurukshetra,192.168.68.14,2179.503893136978,765000,17,4,92538b0c,0,-1707176.3764234383,-55165.75507823747,-163460.09425085713,6.827745751490256,2.7432496983512533,0.6025692672512806,6118912,765000,131517.761,83.64,5920.494,3.811,32.42216981132076,12.804716981132078,3.051757857974735e-06,4.999999873689376e-05,2999529.0,-3.7692604e-05,2999529.0,-6.825283e-09,0.00029911916,1.8686637,0.009999999776482582
-1014949.3372222763,-2612158.327022906,-1283826.748650321,4500.0,11,45000,False,810000,179,18,d7853124cbba4267a65435823a6dee7d,2024-02-15_15-15-50,1708028150,150.94486021995544,2330.4487533569336,3475,Kurukshetra,192.168.68.14,2330.4487533569336,810000,18,4,92538b0c,0,-1616674.5786713173,-55165.75507823747,-160478.34358129013,6.8890138266179175,2.767154458139779,0.6150355080357902,6478848,810000,131072.406,91.125,6183.321,3.844,29.369767441860464,12.760930232558142,1.5258789289873675e-06,4.999999873689376e-05,5427667.0,5.0828265e-05,5427667.0,-4.1757167e-09,0.00027197268,1.8780195,0.009999999776482582
-1003192.0816834809,-2612158.327022906,-1244542.9705743785,4500.0,9,45000,False,855000,188,19,d7853124cbba4267a65435823a6dee7d,2024-02-15_15-18-45,1708028325,174.57062363624573,2505.0193769931793,3475,Kurukshetra,192.168.68.14,2505.0193769931793,855000,19,4,92538b0c,0,-1324625.6584640045,-55165.75507823747,-155567.8713217973,6.9487854989436855,2.7906230286172735,0.6267019909224697,6838784,855000,136197.613,94.853,6367.071,4.001,33.583534136546184,12.963453815261044,7.629394644936838e-07,4.999999873689376e-05,5879073.0,1.49683965e-05,5879073.0,-7.927502e-09,0.00038785188,1.8840766,0.009999999776482582
-1003192.0816834809,-2612158.327022906,-1236576.408429698,4500.0,11,45000,False,900000,199,20,d7853124cbba4267a65435823a6dee7d,2024-02-15_15-20-55,1708028455,130.6786298751831,2635.6980068683624,3475,Kurukshetra,192.168.68.14,2635.6980068683624,900000,20,4,92538b0c,0,-1324625.6584640045,-55165.75507823747,-154572.05105371232,7.0283865222311235,2.819704448283312,0.6420799338592534,7198720,900000,138247.001,94.478,6363.281,4.158,23.822580645161292,12.603225806451611,3.814697322468419e-07,4.999999873689376e-05,12011706.0,2.48949e-06,12011706.0,-5.426312e-09,0.00050239236,1.907872,0.009999999776482582
-981626.9514268003,-2612158.327022906,-1226175.7328802098,4500.0,9,45000,False,945000,208,21,d7853124cbba4267a65435823a6dee7d,2024-02-15_15-22-50,1708028570,114.68826270103455,2750.386269569397,3475,Kurukshetra,192.168.68.14,2750.386269569397,945000,21,4,92538b0c,0,-1324625.6584640045,-55165.75507823747,-153271.96661002625,7.0909181051952315,2.8437238953193633,0.6541988153478914,7558656,945000,138391.303,95.649,6418.525,4.223,19.03170731707317,12.42439024390244,1.9073486612342094e-07,4.999999873689376e-05,5720157.0,7.347328e-05,5720157.0,-4.748023e-09,0.00042243727,1.9249603,0.009999999776482582
-977801.5564296895,-2612158.327022906,-1190540.6055879297,4500.0,11,45000,False,990000,219,22,d7853124cbba4267a65435823a6dee7d,2024-02-15_15-25-17,1708028717,146.51632952690125,2896.902599096298,3475,Kurukshetra,192.168.68.14,2896.902599096298,990000,22,4,92538b0c,0,-1261161.9443997762,-55165.75507823747,-148817.5756984912,7.173336913138517,2.872426120866606,0.6699333302208927,7918592,990000,141088.193,95.444,6474.76,4.224,27.573205741626793,13.030143540669858,9.536743306171047e-08,4.999999873689376e-05,5373314.0,6.503833e-05,5373314.0,-7.503572e-09,0.00039905577,1.9335672,0.009999999776482582
