episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/follower,policy_reward_max/follower,policy_reward_mean/follower,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/follower/cur_kl_coeff,info/learner/follower/cur_lr,info/learner/follower/total_loss,info/learner/follower/policy_loss,info/learner/follower/vf_loss,info/learner/follower/vf_explained_var,info/learner/follower/kl,info/learner/follower/entropy,info/learner/follower/entropy_coeff
-1325178.3092482514,-1991842.1305659288,-1445649.2722215387,4500.0,8,45000,False,45000,8,1,6f55f020421c4da1a1fab7442885428b,2024-02-14_17-20-18,1707949218,126.2010588645935,126.2010588645935,19343,Kurukshetra,192.168.68.14,126.2010588645935,45000,1,4,ed546dfe,0,-986424.080106053,-38786.246953610884,-120470.77268512757,7.690109259360966,2.0832323006696862,0.4183521931345673,539904,45000,118214.132,169.297,7183.185,558.302,16.888397790055244,10.232044198895029,0.20000000298023224,9.999999747378752e-05,5855933.0,0.0032357052,5855933.0,5.9208976e-09,0.008219298,1.5074607,0.10000000149011612
-1306904.5133591394,-1991842.1305659288,-1385368.0335297533,4500.0,10,45000,False,90000,18,2,6f55f020421c4da1a1fab7442885428b,2024-02-14_17-22-22,1707949342,124.03338742256165,250.23444628715515,19343,Kurukshetra,192.168.68.14,250.23444628715515,90000,2,4,ed546dfe,0,-986424.080106053,-38786.246953610884,-115447.33612747901,7.477515685331113,2.2222439307006883,0.42025198495963856,1079808,90000,117561.665,136.008,7074.997,280.785,16.631638418079095,11.059322033898304,0.10000000149011612,7.750000077066943e-05,1083940.2,0.000568019,1083940.2,-4.5501887e-09,0.00075812236,1.5419878,0.06400000303983688
-1306904.5133591394,-2284218.112909841,-1405123.0167067663,4500.0,10,45000,False,135000,28,3,6f55f020421c4da1a1fab7442885428b,2024-02-14_17-24-22,1707949462,119.7709949016571,370.00544118881226,19343,Kurukshetra,192.168.68.14,370.00544118881226,135000,3,4,ed546dfe,0,-1275188.5516975878,-38786.246953610884,-117093.58472556363,7.379932194638849,2.283875195742177,0.42241142300283474,1619712,135000,115911.497,126.709,7047.43,188.133,17.153801169590643,11.146198830409357,0.05000000074505806,5.500000042957254e-05,6563855.5,0.0003113181,6563855.5,-4.719761e-09,0.001033936,1.5793669,0.02800000086426735
-1306904.5133591394,-2284218.112909841,-1389527.2907491394,4500.0,10,45000,False,180000,38,4,6f55f020421c4da1a1fab7442885428b,2024-02-14_17-26-21,1707949581,119.64682364463806,489.6522648334503,19343,Kurukshetra,192.168.68.14,489.6522648334503,180000,4,4,ed546dfe,0,-1275188.5516975878,-38786.246953610884,-115793.94089576147,7.315984681639438,2.3245524245509417,0.4235200893191974,2159616,180000,115058.154,121.713,7032.776,141.823,17.119411764705884,11.279411764705884,0.02500000037252903,4.999999873689376e-05,1099482.6,-0.00010813673,1099482.8,-4.5360578e-09,0.00038775045,1.5885187,0.01912499964237213
-1306904.5133591394,-2284218.112909841,-1380359.628804811,4500.0,10,45000,False,225000,48,5,6f55f020421c4da1a1fab7442885428b,2024-02-14_17-28-22,1707949702,120.37074637413025,610.0230112075806,19343,Kurukshetra,192.168.68.14,610.0230112075806,225000,5,4,ed546dfe,0,-1275188.5516975878,-38786.246953610884,-115029.96906706745,7.274546522299837,2.35233311616475,0.42469350365718767,2699520,225000,114692.458,118.192,7023.214,113.928,17.12267441860465,11.48372093023256,0.012500000186264515,4.999999873689376e-05,1109765.0,1.1777471e-05,1109765.0,-6.9242e-09,0.00028576728,1.6028003,0.017999999225139618
-1306904.5133591394,-2284218.112909841,-1381128.7052360198,4500.0,10,45000,False,270000,58,6,6f55f020421c4da1a1fab7442885428b,2024-02-14_17-30-24,1707949824,121.85117220878601,731.8741834163666,19343,Kurukshetra,192.168.68.14,731.8741834163666,270000,6,4,ed546dfe,0,-1275188.5516975878,-38786.246953610884,-115094.05876966819,7.243939582297436,2.374238907989011,0.42566484867475934,3239424,270000,114676.612,117.183,7033.082,95.365,16.906896551724138,11.649425287356323,0.0062500000931322575,4.999999873689376e-05,2946820.0,0.00010968634,2946820.5,-3.928424e-09,0.0003792423,1.6197282,0.016875000670552254
-1306904.5133591394,-2576946.9943692773,-1395335.9350343146,4500.0,10,45000,False,315000,68,7,6f55f020421c4da1a1fab7442885428b,2024-02-14_17-32-26,1707949946,121.89671087265015,853.7708942890167,19343,Kurukshetra,192.168.68.14,853.7708942890167,315000,7,4,ed546dfe,0,-1419780.576873579,-38786.246953610884,-116277.99458619277,7.2231256962127,2.3918855515377353,0.4267946864525431,3779328,315000,114663.439,117.153,7047.831,82.11,17.191954022988504,11.815517241379313,0.0031250000465661287,4.999999873689376e-05,9043859.0,0.0001653549,9043859.0,-5.0306435e-09,0.00065384357,1.6524832,0.01575000025331974
-1306904.5133591394,-2576946.9943692773,-1396139.7254051715,4500.0,10,45000,False,360000,78,8,6f55f020421c4da1a1fab7442885428b,2024-02-14_17-34-28,1707950068,122.65342092514038,976.4243152141571,19343,Kurukshetra,192.168.68.14,976.4243152141571,360000,8,4,ed546dfe,0,-1419780.576873579,-38786.246953610884,-116344.97711709753,7.207008550464733,2.40662778509372,0.427837379239289,4319232,360000,114751.729,116.796,7055.167,72.247,17.161714285714286,11.972,0.0015625000232830644,4.999999873689376e-05,3297997.8,1.6437203e-05,3297998.0,-5.624146e-09,0.00026940994,1.6671984,0.014624999836087227
-1306904.5133591394,-2576946.9943692773,-1392131.0449980847,4500.0,10,45000,False,405000,88,9,6f55f020421c4da1a1fab7442885428b,2024-02-14_17-36-31,1707950191,122.57900953292847,1099.0033247470856,19343,Kurukshetra,192.168.68.14,1099.0033247470856,405000,9,4,ed546dfe,0,-1419780.576873579,-38786.246953610884,-116010.92041650697,7.195529608926785,2.4192101847219907,0.4289664577856785,4859136,405000,114814.584,116.734,7058.495,64.557,17.09771428571429,12.150857142857143,0.0007812500116415322,4.999999873689376e-05,2533813.5,5.1001793e-05,2533813.5,-3.5044931e-09,0.00028535203,1.6773323,0.013500000350177288
-1306904.5133591394,-2576946.9943692773,-1398333.8762551192,4500.0,10,45000,False,450000,98,10,6f55f020421c4da1a1fab7442885428b,2024-02-14_17-38-35,1707950315,123.7931272983551,1222.7964520454407,19343,Kurukshetra,192.168.68.14,1222.7964520454407,450000,10,4,ed546dfe,0,-1419780.576873579,-38786.246953610884,-116527.8230212599,7.186371123323576,2.4300210625375964,0.43003349140206615,5399040,450000,114982.877,116.951,7064.446,58.344,17.136931818181814,12.323863636363637,0.0003906250058207661,4.999999873689376e-05,4429964.0,-1.5518292e-05,4429964.0,-4.5643196e-09,0.0006688864,1.7038132,0.012374999932944775
