episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/av,policy_reward_max/av,policy_reward_mean/av,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/av/cur_kl_coeff,info/learner/av/cur_lr,info/learner/av/total_loss,info/learner/av/policy_loss,info/learner/av/vf_loss,info/learner/av/vf_explained_var,info/learner/av/kl,info/learner/av/entropy,info/learner/av/entropy_coeff
-27552.761089435684,-29009.558062119373,-28468.705618938617,3000.0,20,60000,False,60000,20,1,5394d36b0d7c4ddf912a80d06bfb16a1,2024-02-12_13-36-23,1707762983,148.01698231697083,148.01698231697083,2212,Kurukshetra,192.168.68.14,148.01698231697083,60000,1,4,436e49a2,0,-7252.389515529807,-6888.190272358916,-7117.176404734631,5.102680791307232,2.8758237468553425,0.55533748461035,240000,60000,132257.941,73.231,15273.531,345.623,30.20566037735849,9.197641509433964,0.20000000298023224,4.999999873689376e-05,4026.005,-0.00081623625,4026.0054,-7.4771565e-06,0.0014937002,1.383939,0.0
-25595.399855091306,-29009.558062119373,-27910.326821285085,3000.0,20,60000,False,120000,40,2,5394d36b0d7c4ddf912a80d06bfb16a1,2024-02-12_13-38-38,1707763118,135.62392902374268,283.6409113407135,2212,Kurukshetra,192.168.68.14,283.6409113407135,120000,2,4,436e49a2,0,-7252.389515529807,-6398.849963772758,-6977.581705321262,4.98649343080068,2.868141076802307,0.5533316157807834,480000,120000,126583.045,49.281,14968.769,174.51,31.44093264248705,10.973056994818654,0.10000000149011612,4.999999873689376e-05,3722.5444,-0.00078651984,3722.5454,-7.406871e-08,0.0021936835,1.3405828,0.0
-25036.661610227762,-29009.558062119373,-27349.79773192147,3000.0,20,60000,False,180000,60,3,5394d36b0d7c4ddf912a80d06bfb16a1,2024-02-12_13-41-00,1707763260,141.5141179561615,425.155029296875,2212,Kurukshetra,192.168.68.14,425.155029296875,180000,3,4,436e49a2,0,-7252.389515529807,-6259.165402556951,-6837.449432980357,4.94452930072838,2.8763319541242036,0.5554381613345244,720000,180000,126457.506,42.253,15063.528,117.222,32.76980198019802,10.945544554455445,0.05000000074505806,4.999999873689376e-05,3389.4214,-0.00082212634,3389.4219,-1.2556712e-08,0.0026607153,1.2893714,0.0
-23393.2630340297,-29009.558062119373,-26822.763456325447,3000.0,20,60000,False,240000,80,4,5394d36b0d7c4ddf912a80d06bfb16a1,2024-02-12_13-43-16,1707763396,135.9962193965912,561.1512486934662,2212,Kurukshetra,192.168.68.14,561.1512486934662,240000,4,4,436e49a2,0,-7252.389515529807,-5848.315758507413,-6705.690864081354,4.916529404372464,2.87404963152843,0.556280804442505,960000,240000,125324.121,38.345,14802.445,88.614,33.53917525773196,11.219072164948454,0.02500000037252903,4.999999873689376e-05,3111.887,-0.00082495634,3111.8875,-4.83195e-09,0.003323035,1.232075,0.0
-21566.660954877058,-29009.558062119373,-26254.0171509501,3000.0,20,60000,False,300000,100,5,5394d36b0d7c4ddf912a80d06bfb16a1,2024-02-12_13-45-29,1707763529,132.92972993850708,694.0809786319733,2212,Kurukshetra,192.168.68.14,694.0809786319733,300000,5,4,436e49a2,0,-7252.389515529807,-5391.665238719295,-6563.504287737522,4.890360807062422,2.868736906365409,0.5557037374814945,1200000,300000,124053.867,35.995,14622.957,71.341,31.48894736842105,11.229473684210523,0.012500000186264515,4.999999873689376e-05,2784.3237,-0.0009187099,2784.3245,-4.673004e-09,0.0034721748,1.1745495,0.0
-19832.11248017174,-28111.09235356436,-25130.88914773739,3000.0,20,60000,False,360000,120,6,5394d36b0d7c4ddf912a80d06bfb16a1,2024-02-12_13-47-42,1707763662,133.44254636764526,827.5235249996185,2212,Kurukshetra,192.168.68.14,827.5235249996185,360000,6,4,436e49a2,0,-7027.7730883911045,-4958.028120042976,-6282.722286934345,4.820187124224968,2.8607861720066263,0.554493957446524,1440000,360000,123286.48,34.364,14509.286,59.91,31.52,11.242105263157892,0.0062500000931322575,4.999999873689376e-05,2509.9011,-0.001150457,2509.902,-1.783371e-08,0.0041975873,1.1119914,0.0
-19763.624278519885,-27359.98794122304,-23901.426788874152,3000.0,20,60000,False,420000,140,7,5394d36b0d7c4ddf912a80d06bfb16a1,2024-02-12_13-49-56,1707763796,133.44102215766907,960.9645471572876,2212,Kurukshetra,192.168.68.14,960.9645471572876,420000,7,4,436e49a2,0,-6839.9969853057,-4940.906069629941,-5975.356697218533,4.7928627683928475,2.8541150169896827,0.5535573287924032,1680000,420000,122760.647,33.022,14405.727,51.689,31.550261780104712,11.276439790575912,0.0031250000465661287,4.999999873689376e-05,2124.0835,-0.0012725064,2124.0847,-4.529953e-08,0.0043312125,1.0426958,0.0
-16790.50140904468,-26172.55921910008,-22683.388294193814,3000.0,20,60000,False,480000,160,8,5394d36b0d7c4ddf912a80d06bfb16a1,2024-02-12_13-52-10,1707763930,134.33559823036194,1095.3001453876495,2212,Kurukshetra,192.168.68.14,1095.3001453876495,480000,8,4,436e49a2,0,-6543.139804775112,-4197.625352261143,-5670.8470735484525,4.764476906588883,2.8400157458780395,0.5505431912290383,1920000,480000,122424.17,32.261,14381.508,45.542,31.410994764397905,11.29005235602094,0.0015625000232830644,4.999999873689376e-05,1892.9045,-0.0011581148,1892.9056,-4.084905e-08,0.0040914016,0.9794664,0.0
-16660.517510710975,-25968.791664391225,-21356.353172673505,3000.0,20,60000,False,540000,180,9,5394d36b0d7c4ddf912a80d06bfb16a1,2024-02-12_13-54-26,1707764066,135.74747347831726,1231.0476188659668,2212,Kurukshetra,192.168.68.14,1231.0476188659668,540000,9,4,436e49a2,0,-6492.197916097834,-4165.129377677763,-5339.088293168373,4.740838901985068,2.830566702095599,0.5476515158088648,2160000,540000,122331.94,31.683,14350.259,40.804,31.49072164948454,11.289690721649484,0.0007812500116415322,4.999999873689376e-05,1581.4685,-0.0011818894,1581.4696,-5.118052e-09,0.0045330585,0.9116069,0.0
-12757.579101798026,-24392.697242310485,-19855.91801311439,3000.0,20,60000,False,600000,200,10,5394d36b0d7c4ddf912a80d06bfb16a1,2024-02-12_13-56-42,1707764202,136.02192497253418,1367.069543838501,2212,Kurukshetra,192.168.68.14,1367.069543838501,600000,10,4,436e49a2,0,-6098.174310577596,-3189.3947754495334,-4963.9795032785905,4.726459270366065,2.8244938652446576,0.5457763999955652,2400000,600000,122227.747,31.192,14383.068,36.995,31.568041237113402,11.30103092783505,0.0003906250058207661,4.999999873689376e-05,1223.1049,-0.0015767845,1223.1064,-2.638499e-09,0.0051585725,0.83520573,0.0
-11951.553521012886,-22903.622433919347,-18368.594519568655,3000.0,20,60000,False,660000,220,11,5394d36b0d7c4ddf912a80d06bfb16a1,2024-02-12_13-58-57,1707764337,134.98082995414734,1502.0503737926483,2212,Kurukshetra,192.168.68.14,1502.0503737926483,660000,11,4,436e49a2,0,-5725.905608479795,-2987.8883802532023,-4592.148629892158,4.71861092703603,2.820219204249247,0.5447557999626498,2640000,660000,121117.535,26.499,14233.001,2.697,31.57461139896373,11.305181347150258,0.00019531250291038305,4.999999873689376e-05,1047.184,-0.0016136417,1047.1855,-4.386902e-09,0.0049287914,0.76464677,0.0
