episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/av,policy_reward_max/av,policy_reward_mean/av,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/av/cur_kl_coeff,info/learner/av/cur_lr,info/learner/av/total_loss,info/learner/av/policy_loss,info/learner/av/vf_loss,info/learner/av/vf_explained_var,info/learner/av/kl,info/learner/av/entropy,info/learner/av/entropy_coeff
-26973.24387247598,-29055.88018136889,-28085.28656840198,3000.0,20,60000,False,60000,20,1,3d8c76ed6b164b8b80639dca264e4295,2024-02-12_13-36-58,1707763018,153.6099283695221,153.6099283695221,3171,Kurukshetra,192.168.68.14,153.6099283695221,60000,1,4,5466e91c,0,-7263.970045342211,-6743.3109681189935,-7021.321642100482,5.344309379129312,2.8735718229009133,0.5719037693616956,240000,60000,136245.58,66.627,16828.355,416.649,32.035000000000004,10.212727272727271,0.20000000298023224,4.999999873689376e-05,3921.4597,-0.00045696952,3921.4597,-1.36208855e-05,0.0009604139,1.3891685,0.0
-26536.072674734478,-29055.88018136889,-27820.45259977781,3000.0,20,60000,False,120000,40,2,3d8c76ed6b164b8b80639dca264e4295,2024-02-12_13-39-15,1707763155,137.94031357765198,291.5502419471741,3171,Kurukshetra,192.168.68.14,291.5502419471741,120000,2,4,5466e91c,0,-7263.970045342211,-6634.018168683625,-6955.11314994444,5.188149624023248,2.8551819090620882,0.5696193335391453,480000,120000,129037.267,49.122,16439.325,210.14,31.551269035532997,10.785279187817258,0.10000000149011612,4.999999873689376e-05,3782.6838,-0.00060637365,3782.6843,-5.5599212e-08,0.0018571543,1.3453605,0.0
-26536.072674734478,-29055.88018136889,-27600.18044247628,3000.0,20,60000,False,180000,60,3,3d8c76ed6b164b8b80639dca264e4295,2024-02-12_13-41-41,1707763301,145.2388093471527,436.7890512943268,3171,Kurukshetra,192.168.68.14,436.7890512943268,180000,3,4,5466e91c,0,-7263.970045342211,-6634.018168683625,-6900.045110619065,5.1345387335387445,2.859916338386886,0.573778930286412,720000,180000,129043.844,43.135,16334.547,140.98,34.559420289855076,11.219323671497582,0.05000000074505806,4.999999873689376e-05,3645.6936,-0.0008238839,3645.6943,-1.9645691e-08,0.0027201197,1.2950664,0.0
-24720.335873060987,-29055.88018136889,-27223.58535979756,3000.0,20,60000,False,240000,80,4,3d8c76ed6b164b8b80639dca264e4295,2024-02-12_13-43-55,1707763435,133.84075379371643,570.6298050880432,3171,Kurukshetra,192.168.68.14,570.6298050880432,240000,4,4,5466e91c,0,-7263.970045342211,-6180.083968265193,-6805.896339949388,5.080038020994708,2.853952164452037,0.5728240416963825,960000,240000,126523.583,39.447,15956.241,106.43,31.675916230366493,11.221989528795811,0.02500000037252903,4.999999873689376e-05,3342.7104,-0.0010331731,3342.7114,-3.4364064e-08,0.0034544587,1.2366331,0.0
-23706.452817533456,-29055.88018136889,-26772.829227095754,3000.0,20,60000,False,300000,100,5,3d8c76ed6b164b8b80639dca264e4295,2024-02-12_13-46-08,1707763568,133.13922905921936,703.7690341472626,3171,Kurukshetra,192.168.68.14,703.7690341472626,300000,5,4,5466e91c,0,-7263.970045342211,-5926.61320438341,-6693.207306773935,5.034147856487127,2.846962290443581,0.5708958941478771,1200000,300000,124978.646,37.195,15621.466,85.752,31.456315789473685,11.232631578947368,0.012500000186264515,4.999999873689376e-05,3033.1484,-0.0010638402,3033.1494,-2.9023488e-08,0.0038736146,1.1758561,0.0
-22505.89106921295,-28400.794800051906,-25922.033093712904,3000.0,20,60000,False,360000,120,6,3d8c76ed6b164b8b80639dca264e4295,2024-02-12_13-48-21,1707763701,132.78575730323792,836.5547914505005,3171,Kurukshetra,192.168.68.14,836.5547914505005,360000,6,4,5466e91c,0,-7100.198700012967,-5626.472767303294,-6480.508273428226,4.926231217618465,2.833716363457405,0.5681308111948108,1440000,360000,123896.058,35.631,15392.673,71.933,31.515343915343923,11.244444444444444,0.0062500000931322575,4.999999873689376e-05,2732.3728,-0.0009208936,2732.3735,-3.039042e-08,0.003688281,1.1160281,0.0
-20680.817870456507,-27904.306885121856,-24924.690144983884,3000.0,20,60000,False,420000,140,7,3d8c76ed6b164b8b80639dca264e4295,2024-02-12_13-50-34,1707763834,133.15030765533447,969.705099105835,3171,Kurukshetra,192.168.68.14,969.705099105835,420000,7,4,5466e91c,0,-6976.076721280542,-5170.204467614166,-6231.172536245978,4.874325023460584,2.8256012320482027,0.5654994573719512,1680000,420000,123179.42,34.49,15224.694,62.038,31.461052631578948,11.279473684210524,0.0031250000465661287,4.999999873689376e-05,2421.3867,-0.0011883628,2421.3877,-3.086726e-08,0.004056877,1.0534043,0.0
-19352.82682572582,-26990.39980476738,-23788.086637375196,3000.0,20,60000,False,480000,160,8,3d8c76ed6b164b8b80639dca264e4295,2024-02-12_13-52-48,1707763968,134.62566375732422,1104.3307628631592,3171,Kurukshetra,192.168.68.14,1104.3307628631592,480000,8,4,5466e91c,0,-6747.599951191902,-4838.206706431433,-5947.021659343799,4.820273187443544,2.8102651818199114,0.559563040318081,1920000,480000,122756.489,33.715,15168.545,54.6,31.52552083333333,11.296875,0.0015625000232830644,4.999999873689376e-05,2161.7463,-0.0011443261,2161.7476,-2.969106e-08,0.0038804805,0.99318826,0.0
-16556.641383447775,-25691.617060812878,-22599.317033206076,3000.0,20,60000,False,540000,180,9,3d8c76ed6b164b8b80639dca264e4295,2024-02-12_13-55-03,1707764103,134.7717046737671,1239.1024675369263,3171,Kurukshetra,192.168.68.14,1239.1024675369263,540000,9,4,5466e91c,0,-6422.904265203259,-4139.160345861917,-5649.829258301519,4.785939901649583,2.8009059254899196,0.5558749589735065,2160000,540000,122473.053,33.381,15095.242,48.871,31.456994818652852,11.28963730569948,0.0007812500116415322,4.999999873689376e-05,1880.8494,-0.0014117347,1880.8508,-5.785624e-09,0.0049046976,0.92306757,0.0
-16556.641383447775,-24997.08538331157,-21457.23047253145,3000.0,20,60000,False,600000,200,10,3d8c76ed6b164b8b80639dca264e4295,2024-02-12_13-57-18,1707764238,135.36753368377686,1374.4700012207031,3171,Kurukshetra,192.168.68.14,1374.4700012207031,600000,10,4,5466e91c,0,-6249.271345827939,-4139.160345861917,-5364.307618132864,4.7630460195996385,2.7951359793150554,0.5533614342423213,2400000,600000,122286.234,32.914,15056.528,44.226,31.5419689119171,11.301036269430051,0.0003906250058207661,4.999999873689376e-05,1696.8955,-0.001027193,1696.8965,-4.0690105e-09,0.0038764908,0.8641207,0.0
