episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/av,policy_reward_max/av,policy_reward_mean/av,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/av/cur_kl_coeff,info/learner/av/cur_lr,info/learner/av/total_loss,info/learner/av/policy_loss,info/learner/av/vf_loss,info/learner/av/vf_explained_var,info/learner/av/kl,info/learner/av/entropy,info/learner/av/entropy_coeff
-96052.9223088357,-98419.18583187109,-97223.88064653281,4500.0,12,67600,False,67600,12,1,75a2f58c1b054602923d4d5d7f720625,2024-02-14_13-15-40,1707934540,140.06454849243164,140.06454849243164,2459,COM2134,172.19.177.241,140.06454849243164,67600,1,6,b8f3c414,0,-10935.46509243001,-10672.546923204076,-10802.653405170337,6.815063982457784,1.69033982028065,0.5417816819089908,608384,67600,105945.818,113.772,33636.882,289.044,29.87,22.633499999999998,0.20000000298023224,4.999999873689376e-05,3453.4424,-8.0807746e-05,3453.4426,-1.0960332e-08,0.00022472865,1.4050547,0.0
-95662.33569063182,-98431.0846707333,-97037.15774520488,4500.0,16,67600,False,135200,28,2,75a2f58c1b054602923d4d5d7f720625,2024-02-14_13-18-02,1707934682,142.323805809021,282.38835430145264,2459,COM2134,172.19.177.241,282.38835430145264,135200,2,6,b8f3c414,0,-10936.787185636558,-10629.148410070118,-10781.906416133874,6.821280143355516,1.826234035155153,0.5484828173920875,1216768,135200,108472.252,91.757,32419.536,145.678,30.07783251231527,24.855665024630547,0.10000000149011612,4.999999873689376e-05,3404.4507,-0.00024152946,3404.4507,-2.8466767e-09,0.0010147282,1.3741102,0.0
-92323.40421198904,-98431.0846707333,-96327.8596575248,4500.0,14,67600,False,202800,42,3,75a2f58c1b054602923d4d5d7f720625,2024-02-14_13-20-20,1707934820,137.75378322601318,420.1421375274658,2459,COM2134,172.19.177.241,420.1421375274658,202800,3,6,b8f3c414,0,-10936.787185636558,-10258.156023554537,-10703.09551750274,6.812541956438183,1.868564124889837,0.5502990604656481,1825152,202800,107375.848,82.815,32430.227,97.828,30.651776649746193,24.96751269035533,0.05000000074505806,4.999999873689376e-05,3226.0715,-0.0002683866,3226.072,5.743515e-09,0.0014664133,1.3356462,0.0
-91943.55769381774,-98431.0846707333,-95538.03513007307,4500.0,17,67600,False,270400,59,4,75a2f58c1b054602923d4d5d7f720625,2024-02-14_13-22-44,1707934964,143.81607699394226,563.9582145214081,2459,COM2134,172.19.177.241,563.9582145214081,270400,4,6,b8f3c414,0,-10936.787185636558,-10215.950854868393,-10615.337236674775,6.799419583556136,1.9168837571469415,0.551503484514346,2433536,270400,108832.927,79.877,31944.082,73.937,29.877560975609754,25.045853658536583,0.02500000037252903,4.999999873689376e-05,3075.6924,-0.00030541123,3075.6926,-2.9093787e-09,0.0016891127,1.2987577,0.0
-88439.73366861694,-98431.0846707333,-94627.46653892475,4500.0,13,67600,False,338000,72,5,75a2f58c1b054602923d4d5d7f720625,2024-02-14_13-25-00,1707935100,135.55579805374146,699.5140125751495,2459,COM2134,172.19.177.241,699.5140125751495,338000,5,6,b8f3c414,0,-10936.787185636558,-9826.637074290733,-10514.162948769423,6.789688569094082,1.9335197100902262,0.5512845085646075,3041920,338000,107709.117,78.718,31996.722,59.703,30.438659793814434,25.076804123711337,0.012500000186264515,4.999999873689376e-05,2825.6191,-0.00032951354,2825.6196,-3.2730512e-09,0.0019419474,1.2555627,0.0
-86869.65094136015,-98431.0846707333,-93428.64823958577,4500.0,17,67600,False,405600,89,6,75a2f58c1b054602923d4d5d7f720625,2024-02-14_13-27-23,1707935243,142.99073481559753,842.5047473907471,2459,COM2134,172.19.177.241,842.5047473907471,405600,6,6,b8f3c414,0,-10936.787185636558,-9652.183437929083,-10380.960915509544,6.7812918116957315,1.957860520512398,0.5517388945902164,3650304,405600,108091.742,78.233,32138.978,50.234,30.42009803921569,25.13235294117647,0.0062500000931322575,4.999999873689376e-05,2613.8435,-0.00037042517,2613.844,-3.2855916e-09,0.0021707849,1.2171675,0.0
-82614.21135655814,-98431.0846707333,-92190.75619674212,4500.0,13,67600,False,473200,102,7,75a2f58c1b054602923d4d5d7f720625,2024-02-14_13-29-41,1707935381,138.17160415649414,980.6763515472412,2459,COM2134,172.19.177.241,980.6763515472412,473200,7,6,b8f3c414,0,-10936.787185636558,-9179.356817395204,-10243.417355193571,6.777239160380602,1.973165186532435,0.5517443266544553,4258688,473200,107562.757,76.899,32356.244,43.381,30.47766497461929,25.18172588832487,0.0031250000465661287,4.999999873689376e-05,2352.7651,-0.00042147373,2352.7656,-3.0222427e-09,0.002464915,1.1656793,0.0
-79873.64329536774,-98431.0846707333,-89696.43488591176,4500.0,17,67600,False,540800,119,8,75a2f58c1b054602923d4d5d7f720625,2024-02-14_13-32-04,1707935524,143.44225144386292,1124.1186029911041,2459,COM2134,172.19.177.241,1124.1186029911041,540800,8,6,b8f3c414,0,-10936.787185636558,-8874.84925504082,-9966.270542879089,6.766583051317006,2.0225274000731988,0.5528059753061431,4867072,540800,107783.754,76.295,32559.718,38.234,30.383414634146344,25.227317073170735,0.0015625000232830644,4.999999873689376e-05,2175.6575,-0.00030264995,2175.6575,-4.627417e-09,0.0021089935,1.1241072,0.0
-76923.85249489256,-95956.75227249859,-87494.46340012617,4500.0,13,67600,False,608400,132,9,75a2f58c1b054602923d4d5d7f720625,2024-02-14_13-34-24,1707935664,139.64073705673218,1263.7593400478363,2459,COM2134,172.19.177.241,1263.7593400478363,608400,9,6,b8f3c414,0,-10661.861363610848,-8547.094721654641,-9721.607044458473,6.759384404803373,2.0355219852395146,0.5525158329330242,5475456,608400,107480.075,75.961,32770.23,34.292,30.22010050251257,25.261306532663315,0.0007812500116415322,4.999999873689376e-05,1973.6747,-0.0004369274,1973.6752,-6.006864e-09,0.0023872817,1.0765053,0.0
-70709.05137983605,-95769.8013698879,-84343.11446817766,4500.0,17,67600,False,676000,149,10,75a2f58c1b054602923d4d5d7f720625,2024-02-14_13-36-48,1707935808,144.47879457473755,1408.2381346225739,2459,COM2134,172.19.177.241,1408.2381346225739,676000,10,6,b8f3c414,0,-10641.089041098603,-7856.561264426374,-9371.457163130875,6.755680486095003,2.049139501203965,0.5525020153761118,6083840,676000,107741.212,75.541,32919.246,31.09,30.10582524271845,25.288349514563105,0.0003906250058207661,4.999999873689376e-05,1706.4062,-0.00041783517,1706.4067,-4.627417e-09,0.002550815,1.023308,0.0
