episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/av,policy_reward_max/av,policy_reward_mean/av,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/av/cur_kl_coeff,info/learner/av/cur_lr,info/learner/av/total_loss,info/learner/av/policy_loss,info/learner/av/vf_loss,info/learner/av/vf_explained_var,info/learner/av/kl,info/learner/av/entropy,info/learner/av/entropy_coeff
-140480.81688940368,-143198.75641839468,-142071.54161172762,4500.0,10,54000,False,54000,10,1,d2215591abd847ecb7692e44c1bc329c,2024-02-15_12-56-21,1708019781,160.80790781974792,160.80790781974792,26837,COM2134,172.19.177.241,160.80790781974792,54000,1,4,24561808,0,-11015.288955260688,-10806.216683800061,-10928.580123978982,6.663750999188387,1.5673293550827898,0.47639848497143633,701952,54000,123967.729,132.754,36364.741,257.551,20.63173913043478,23.054782608695657,0.20000000298023224,4.999999873689376e-05,3460.2466,-0.000110473535,3460.2466,-4.890972e-10,0.00030124793,1.4031109,0.0
-140059.59087264183,-143198.75641839468,-141386.17174658395,4500.0,13,54000,False,108000,23,2,d2215591abd847ecb7692e44c1bc329c,2024-02-15_12-58-58,1708019938,156.43486070632935,317.24276852607727,26837,COM2134,172.19.177.241,317.24276852607727,108000,2,4,24561808,0,-11015.288955260688,-10773.814682510962,-10875.859365121802,6.607414506334405,1.6401820748246485,0.4733265417949415,1403904,108000,123251.009,105.06,35057.257,130.039,21.125112107623316,24.870852017937224,0.10000000149011612,4.999999873689376e-05,3354.1956,-0.00022506401,3354.1956,-3.3041232e-09,0.0008098433,1.3775232,0.0
-135811.3129858593,-143198.75641839468,-140256.06749626534,4500.0,12,54000,False,162000,35,3,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-01-31,1708020091,152.90848350524902,470.1512520313263,26837,COM2134,172.19.177.241,470.1512520313263,162000,3,4,24561808,0,-11015.288955260688,-10447.024075835137,-10788.928268943479,6.577673893471335,1.6678452997898803,0.4712883605893667,2105856,162000,121623.102,96.216,34823.355,87.582,21.46788990825688,24.885779816513757,0.05000000074505806,4.999999873689376e-05,3157.3333,-0.00017207979,3157.3333,1.4868554e-08,0.0011640148,1.3392286,0.0
-133654.88487198873,-143198.75641839468,-139059.72100705036,4500.0,12,54000,False,216000,47,4,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-04-14,1708020254,163.38574695587158,633.5369989871979,26837,COM2134,172.19.177.241,633.5369989871979,216000,4,4,24561808,0,-11015.288955260688,-10281.144990152843,-10696.901615926954,6.5900676479035525,1.6918819654637245,0.47412925033844244,2807808,216000,123044.022,93.526,35096.301,66.618,21.567521367521366,24.90811965811966,0.02500000037252903,4.999999873689376e-05,3010.7651,-0.00028594935,3010.7654,-3.9236463e-09,0.0016634513,1.302491,0.0
-131473.37996994742,-143198.75641839468,-137923.35393232966,4500.0,12,54000,False,270000,59,5,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-06-54,1708020414,160.17320156097412,793.710200548172,26837,COM2134,172.19.177.241,793.710200548172,270000,5,4,24561808,0,-11015.288955260688,-10113.336920765063,-10609.488764025378,6.60322021709226,1.710343603933905,0.47708764624153427,3509760,270000,123392.351,91.047,35122.453,53.764,21.614473684210527,24.957894736842103,0.012500000186264515,4.999999873689376e-05,2846.881,-0.00023524284,2846.8816,-3.4671557e-09,0.0016117293,1.2679814,0.0
-127458.05829592145,-143198.75641839468,-136504.5103793907,4500.0,12,54000,False,324000,71,6,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-09-31,1708020571,156.37033128738403,950.080531835556,26837,COM2134,172.19.177.241,950.080531835556,324000,6,4,24561808,0,-11015.288955260688,-9804.466022763047,-10500.34695226084,6.610213311015225,1.7237383978204504,0.4790475871481768,4211712,324000,123022.893,90.074,35106.974,45.268,21.522421524663674,25.011659192825107,0.0062500000931322575,4.999999873689376e-05,2634.3723,-0.00021247647,2634.3726,-3.5867127e-09,0.0017255202,1.2285528,0.0
-123990.2108361247,-143198.75641839468,-135027.0686881776,4500.0,12,54000,False,378000,83,7,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-12-07,1708020727,155.9708092212677,1106.0513410568237,26837,COM2134,172.19.177.241,1106.0513410568237,378000,7,4,24561808,0,-11015.288955260688,-9537.70852585582,-10386.697591398284,6.613131595780462,1.7336021894201994,0.48018416677967507,4913664,378000,122734.476,89.17,35064.561,39.073,21.41659192825112,25.034529147982067,0.0031250000465661287,4.999999873689376e-05,2443.6035,-0.00018899034,2443.6035,-2.3259288e-09,0.0015599973,1.1918967,0.0
-122194.20295322823,-143198.75641839468,-133551.08562398973,4500.0,12,54000,False,432000,95,8,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-14-42,1708020882,155.2149260044098,1261.2662670612335,26837,COM2134,172.19.177.241,1261.2662670612335,432000,8,4,24561808,0,-11015.288955260688,-9399.554073325562,-10273.160432614613,6.613465790459077,1.7411922832235225,0.48091763402280396,5615616,432000,122328.941,88.536,35126.085,34.46,21.460633484162898,25.049321266968327,0.0015625000232830644,4.999999873689376e-05,2282.8906,-0.00032102218,2282.8909,-3.70627e-09,0.0021654305,1.1437594,0.0
-117223.82890477945,-142916.0150765309,-131225.93599380576,4500.0,12,54000,False,486000,107,9,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-17-18,1708021038,156.07876586914062,1417.3450329303741,26837,COM2134,172.19.177.241,1417.3450329303741,486000,9,4,24561808,0,-10993.539621271688,-9017.217608059735,-10094.302768754324,6.608905332245955,1.7641859234433184,0.4815968696710767,6317568,486000,122221.689,88.097,35060.818,30.89,21.44753363228699,25.09417040358744,0.0007812500116415322,4.999999873689376e-05,2052.5642,-0.00014670019,2052.5642,-4.9018407e-09,0.0016412544,1.1069314,0.0
-114548.89816594648,-141360.73284000438,-128229.06692796765,4500.0,12,54000,False,540000,119,10,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-19-52,1708021192,154.30938410758972,1571.6544170379639,26837,COM2134,172.19.177.241,1571.6544170379639,540000,10,4,24561808,0,-10873.902526154112,-8811.453705072814,-9863.774379074473,6.610671360755681,1.775590703452652,0.4830709369966868,7019520,540000,121931.904,88.004,35037.264,28.003,21.47272727272727,25.111363636363638,0.0003906250058207661,4.999999873689376e-05,1945.178,-0.00020529675,1945.178,-5.5974456e-09,0.0018334684,1.0719999,0.0
-110148.97314617391,-138663.75773238446,-125185.58561736392,4500.0,12,54000,False,594000,131,11,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-22-27,1708021347,154.2853012084961,1725.93971824646,26837,COM2134,172.19.177.241,1725.93971824646,594000,11,4,24561808,0,-10666.442902491026,-8472.99793432089,-9629.660432104938,6.617880531667055,1.7853695525952227,0.4848331191817314,7721472,594000,121477.601,83.924,34870.49,2.462,21.553181818181823,25.136363636363637,0.00019531250291038305,4.999999873689376e-05,1791.4865,-0.00034933668,1791.487,-5.3583316e-09,0.0023471818,1.0289636,0.0
-109566.13567083912,-136918.99105458503,-122104.74608461425,4500.0,12,54000,False,648000,143,12,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-25-02,1708021502,155.09990310668945,1881.0396213531494,26837,COM2134,172.19.177.241,1881.0396213531494,648000,12,4,24561808,0,-10532.230081122214,-8428.164282372347,-9392.672775739595,6.617747667158228,1.7909396337103902,0.4854334362134151,8423424,648000,121256.303,84.841,34954.691,2.572,21.442342342342346,25.14144144144144,9.765625145519152e-05,4.999999873689376e-05,1675.8064,-0.00032592606,1675.8065,-5.4126756e-09,0.002169252,0.98990005,0.0
-105558.68562638822,-134374.1475359014,-118816.1167968878,4500.0,12,54000,False,702000,155,13,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-27-36,1708021656,154.68847703933716,2035.7280983924866,26837,COM2134,172.19.177.241,2035.7280983924866,702000,13,4,24561808,0,-10336.472887377362,-8119.898894337344,-9139.70129206831,6.610614872328025,1.7933991991395146,0.48487266035325016,9125376,702000,121412.941,85.149,34979.249,2.503,21.438636363636363,25.155454545454546,4.882812572759576e-05,4.999999873689376e-05,1497.9088,-0.00028239898,1497.909,-8.314652e-09,0.0020523511,0.9460725,0.0
-100262.04133046388,-130956.42289046665,-115369.7565936999,4500.0,12,54000,False,756000,167,14,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-30-11,1708021811,154.81429314613342,2190.54239153862,26837,COM2134,172.19.177.241,2190.54239153862,756000,14,4,24561808,0,-10073.570991574396,-7712.464717727925,-8874.596661053838,6.602893912899626,1.7946842402892025,0.48403597083139993,9827328,756000,120668.156,85.808,34866.394,2.359,21.568325791855205,25.176470588235293,2.441406286379788e-05,4.999999873689376e-05,1324.358,-0.0002199824,1324.3583,-2.7389442e-09,0.0018703088,0.8989005,0.0
-95413.4057245104,-127058.13697608522,-111858.09348429671,4500.0,12,54000,False,810000,179,15,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-32-47,1708021967,155.53909039497375,2346.0814819335938,26837,COM2134,172.19.177.241,2346.0814819335938,810000,15,4,24561808,0,-9773.702844314104,-7339.492748039143,-8604.468729561268,6.595775119203275,1.7953057767603264,0.48328906748374273,10529280,810000,120208.477,86.878,34862.199,2.338,21.431981981981984,25.187837837837833,1.220703143189894e-05,4.999999873689376e-05,1172.7407,-0.00010040361,1172.7408,-5.4126756e-09,0.0016498083,0.860803,0.0
-94363.70747462487,-124511.30784003604,-108406.03081376218,4500.0,12,54000,False,864000,191,16,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-35-21,1708022121,154.51304388046265,2500.5945258140564,26837,COM2134,172.19.177.241,2500.5945258140564,864000,16,4,24561808,0,-9577.792910771966,-7258.746728817519,-8338.925447212441,6.5904143929023675,1.7958292312153556,0.4826763717773435,11231232,864000,120063.843,86.573,34822.21,2.311,21.534841628959274,25.2,6.10351571594947e-06,4.999999873689376e-05,1103.0734,-0.00026395364,1103.0736,-6.336526e-09,0.002203908,0.82539743,0.0
-89450.16845091629,-120350.0654216573,-105041.70522042738,4500.0,12,54000,False,918000,203,17,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-37-56,1708022276,154.56354522705078,2655.158071041107,26837,COM2134,172.19.177.241,2655.158071041107,918000,17,4,24561808,0,-9257.69734012789,-6880.782188532159,-8080.131170802078,6.585449837664087,1.7962133789423824,0.48213533784047935,11933184,918000,119952.142,86.345,34793.639,2.327,21.478636363636365,25.225454545454546,3.051757857974735e-06,4.999999873689376e-05,993.13684,-0.00033732728,993.1372,-6.2930505e-09,0.002243688,0.7835625,0.0
-86543.35990366213,-117572.86604623527,-101679.98688624999,4500.0,12,54000,False,972000,215,18,d2215591abd847ecb7692e44c1bc329c,2024-02-15_13-40-31,1708022431,154.617103099823,2809.77517414093,26837,COM2134,172.19.177.241,2809.77517414093,972000,18,4,24561808,0,-9044.06661894127,-6657.181531051057,-7821.537452788424,6.5810786670200425,1.7966721838415933,0.48165262060945246,12635136,972000,119999.406,85.877,34687.519,2.329,21.528054298642534,25.24298642533937,1.5258789289873675e-06,4.999999873689376e-05,897.78217,-0.00022661894,897.7825,-6.0321987e-09,0.0021420603,0.73891366,0.0
