episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/av,policy_reward_max/av,policy_reward_mean/av,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/av/cur_kl_coeff,info/learner/av/cur_lr,info/learner/av/total_loss,info/learner/av/policy_loss,info/learner/av/vf_loss,info/learner/av/vf_explained_var,info/learner/av/kl,info/learner/av/entropy,info/learner/av/entropy_coeff
-139969.64887709782,-143433.12384455817,-141655.55919485708,4500.0,10,54000,False,54000,10,1,d977ffcf949a42bd8c19107572a97c3f,2024-02-15_12-56-44,1708019804,161.63130140304565,161.63130140304565,27608,COM2134,172.19.177.241,161.63130140304565,54000,1,4,31346110,0,-11033.317218812163,-10766.896067468697,-10896.581476527514,6.805571984313614,1.5465895473390119,0.46884546722234743,701952,54000,125163.627,126.758,35883.384,367.888,21.11125541125541,24.126406926406936,0.20000000298023224,4.999999873689376e-05,3442.0828,-4.0044473e-05,3442.0825,-3.5214998e-09,6.182579e-05,1.4131998,0.0
-139969.64887709782,-143433.12384455817,-141468.2804440166,4500.0,13,54000,False,108000,23,2,d977ffcf949a42bd8c19107572a97c3f,2024-02-15_12-59-22,1708019962,157.52985525131226,319.1611566543579,27608,COM2134,172.19.177.241,319.1611566543579,108000,2,4,31346110,0,-11033.317218812163,-10766.896067468697,-10882.175418770548,6.693310997231872,1.6311509051369673,0.46558830743248836,1403904,108000,123765.82,107.189,35442.416,184.981,21.066666666666666,24.886666666666667,0.10000000149011612,4.999999873689376e-05,3387.1484,-0.00014230411,3387.1484,-1.9835609e-08,0.0006355276,1.3855164,0.0
-137415.94543579916,-143433.12384455817,-140665.8970595233,4500.0,12,54000,False,162000,35,3,d977ffcf949a42bd8c19107572a97c3f,2024-02-15_13-01-58,1708020118,156.18532705307007,475.346483707428,27608,COM2134,172.19.177.241,475.346483707428,162000,3,4,31346110,0,-11033.317218812163,-10570.457341215262,-10820.4536199633,6.648718117366013,1.6580198977467873,0.46461754476955114,2105856,162000,121920.933,100.958,36223.061,124.052,21.41345291479821,24.904932735426005,0.05000000074505806,4.999999873689376e-05,3223.6477,-0.00018669688,3223.648,-3.6660552e-08,0.0011975206,1.354527,0.0
-134024.0222277876,-143433.12384455817,-139428.28484363417,4500.0,12,54000,False,216000,47,4,d977ffcf949a42bd8c19107572a97c3f,2024-02-15_13-04-41,1708020281,163.2132158279419,638.5596995353699,27608,COM2134,172.19.177.241,638.5596995353699,216000,4,4,31346110,0,-11033.317218812163,-10309.540171368477,-10725.252680279531,6.648716656207759,1.6800350261033934,0.4683199145076342,2807808,216000,122919.017,96.849,36450.798,93.632,21.609442060085836,24.90772532188841,0.02500000037252903,4.999999873689376e-05,3012.46,-0.0001913957,3012.46,-2.695469e-09,0.0013535174,1.3179055,0.0
-130857.9107186932,-143433.12384455817,-138158.00556330036,4500.0,12,54000,False,270000,59,5,d977ffcf949a42bd8c19107572a97c3f,2024-02-15_13-07-20,1708020440,158.67548441886902,797.2351839542389,27608,COM2134,172.19.177.241,797.2351839542389,270000,5,4,31346110,0,-11033.317218812163,-10065.993132207042,-10627.538889484613,6.651570518482593,1.695167957624272,0.47137181477580875,3509760,270000,122820.645,93.09,36377.635,75.402,21.629646017699113,24.974336283185846,0.012500000186264515,4.999999873689376e-05,2842.511,-0.00018604528,2842.5112,-4.206236e-09,0.0015404645,1.2790127,0.0
-128047.67060424926,-143433.12384455817,-136779.76678077024,4500.0,12,54000,False,324000,71,6,d977ffcf949a42bd8c19107572a97c3f,2024-02-15_13-09-56,1708020596,155.8483967781067,953.0835807323456,27608,COM2134,172.19.177.241,953.0835807323456,324000,6,4,31346110,0,-11033.317218812163,-9849.820815711144,-10521.520521597682,6.65161447619656,1.7055691370664325,0.47315076019185043,4211712,324000,122341.308,90.891,36272.467,63.178,21.51081081081081,25.01081081081081,0.0062500000931322575,4.999999873689376e-05,2657.5652,-0.00022409424,2657.5652,-2.6411249e-09,0.0017983255,1.2380937,0.0
-123421.6267606413,-143433.12384455817,-135218.24747490365,4500.0,12,54000,False,378000,83,7,d977ffcf949a42bd8c19107572a97c3f,2024-02-15_13-12-31,1708020751,154.87886953353882,1107.9624502658844,27608,COM2134,172.19.177.241,1107.9624502658844,378000,7,4,31346110,0,-11033.317218812163,-9493.971289279994,-10401.403651915627,6.648803465171694,1.7132222416471405,0.4741037470620545,4913664,378000,121899.508,88.756,36159.309,54.522,21.428054298642536,25.03348416289593,0.0031250000465661287,4.999999873689376e-05,2421.196,-0.00022832166,2421.1963,-4.1084163e-09,0.0017799367,1.1951195,0.0
-119134.39868666163,-143433.12384455817,-133718.8306372793,4500.0,12,54000,False,432000,95,8,d977ffcf949a42bd8c19107572a97c3f,2024-02-15_13-15-06,1708020906,155.95023345947266,1263.912683725357,27608,COM2134,172.19.177.241,1263.912683725357,432000,8,4,31346110,0,-11033.317218812163,-9164.184514358383,-10286.063895175299,6.6460417797029985,1.7192409272866918,0.47473493727215016,5615616,432000,121678.657,88.161,36094.629,48.117,21.42242152466368,25.063677130044837,0.0015625000232830644,4.999999873689376e-05,2285.354,-0.00032389272,2285.3545,-2.3367976e-09,0.0032437458,1.1771138,0.0
-113634.15405696715,-142605.38339134376,-131133.33613053945,4500.0,12,54000,False,486000,107,9,d977ffcf949a42bd8c19107572a97c3f,2024-02-15_13-17-42,1708021062,155.2593138217926,1419.1719975471497,27608,COM2134,172.19.177.241,1419.1719975471497,486000,9,4,31346110,0,-10969.64487625713,-8741.088773612988,-10087.179702349153,6.631457492770644,1.7400724695600842,0.4755749038711625,6317568,486000,121476.375,87.022,35998.925,43.029,21.481081081081083,25.09324324324324,0.0007812500116415322,4.999999873689376e-05,1968.5396,-0.00015583911,1968.5398,-5.0322666e-09,0.0015929685,1.1329824,0.0
-112204.42191195674,-142131.1040988823,-127945.8305033022,4500.0,12,54000,False,540000,119,10,d977ffcf949a42bd8c19107572a97c3f,2024-02-15_13-20-16,1708021216,154.5789225101471,1573.7509200572968,27608,COM2134,172.19.177.241,1573.7509200572968,540000,10,4,31346110,0,-10933.161853759459,-8631.109377842731,-9841.986961792438,6.627424379357548,1.7492056934062041,0.4772068417198846,7019520,540000,121249.687,86.755,35920.214,38.931,21.46227272727273,25.11181818181818,0.0003906250058207661,4.999999873689376e-05,1861.9119,-0.00027427866,1861.9121,-4.8148903e-09,0.00196075,1.0910351,0.0
-108254.87245673897,-140471.39147983707,-124516.32385456571,4500.0,12,54000,False,594000,131,11,d977ffcf949a42bd8c19107572a97c3f,2024-02-15_13-22-51,1708021371,154.28402256965637,1728.0349426269531,27608,COM2134,172.19.177.241,1728.0349426269531,594000,11,4,31346110,0,-10805.49165229501,-8327.297881287586,-9578.178758043487,6.630708832176363,1.7556606922940856,0.4787867899328628,7721472,594000,120618.944,81.911,35858.903,2.403,21.542272727272724,25.13772727272727,0.00019531250291038305,4.999999873689376e-05,1697.934,-0.0003706841,1697.9343,-6.5865087e-09,0.002600661,1.0522325,0.0
-108254.87245673897,-135403.86920237713,-121309.92690720927,4500.0,12,54000,False,648000,143,12,d977ffcf949a42bd8c19107572a97c3f,2024-02-15_13-25-25,1708021525,154.5426263809204,1882.5775690078735,27608,COM2134,172.19.177.241,1882.5775690078735,648000,12,4,31346110,0,-10415.682246336535,-8327.297881287586,-9331.532839016081,6.628873148976304,1.758878698065718,0.479022787278845,8423424,648000,120303.921,81.775,35873.919,2.47,21.47782805429864,25.14298642533936,9.765625145519152e-05,4.999999873689376e-05,1688.8903,-0.00020265592,1688.8906,-7.695129e-09,0.0019392031,1.0182066,0.0
